,,,,,FILL THESE COLUMNS FOR ALL VARIABLES,,,,,,ONLY NEEDED FOR NOISED VARIABLES,,,,,
Implemented,study-id,result-ids,variable-id,desc,query type,query notes,noised,reg-role,interaction variable?,constructed from microdata by authors,data-dependent-bounds,component-variables,data domain,data type,dataset publisher,dataset
1,autor-2013,d_tradeusch_pw-empl,l_shind_manuf_cbp,"% employment in manufacturing, lagged",count / count,,1,control,0,1,,"count_l_shind_manuf_cbp, l_popcount",employment/occupation,Survey,Census Bureau,"PUMS, ACS"
1,autor-2013,d_tradeusch_pw-empl,d_sh_empl_mfg,first differences in 10 × annual change in manufacturing emp/working-age pop (in % pts),complex,,0,dep,1,1,,,employment/occupation,Survey,Census Bureau,"PUMS, ACS"
1,autor-2013,d_tradeusch_pw-empl,l_sh_popedu_c,"% pop with college degree, lagged",count / count,,1,control,0,1,,"count_l_sh_popedu_c, l_popcount",education,Survey,Census Bureau,"PUMS, ACS"
1,autor-2013,d_tradeusch_pw-empl,l_sh_popfborn,"% foreign born, lagged",count / count,,1,control,0,1,,"count_l_sh_popfborn, l_popcount",birth nation,Survey,Census Bureau,"PUMS, ACS"
1,autor-2013,d_tradeusch_pw-empl,l_sh_empl_f," % female, lagged",count / count,"can't noise, # women not available",0,control,0,1,,"count_l_sh_empl_f, l_popcount",sex/gender,Survey,Census Bureau,"PUMS, ACS"
1,autor-2013,d_tradeusch_pw-empl,l_sh_routine33,"% employment in routine occupation, lagged",count / count,,1,control,0,1,,"count_l_sh_routine33, l_no_workers_totcbp",employment/occupation,Blended,Census Bureau,County Business Patterns
1,autor-2013,d_tradeusch_pw-empl,l_popcount,CZ population,count,,1,weights,0,1,,l_popcount,population,Survey,Census Bureau,"PUMS, ACS"
1,autor-2013,d_tradeusch_pw-empl,l_no_workers_totcbp,No. workers total in CZ,count,,1,dep,0,1,,l_no_workers_totcbp,employment/occupation,Blended,Census Bureau,County Business Patterns
1,autor-2013,d_tradeusch_pw-empl,d_tradeusch_pw,change in imports from china to US per worker,invariant / count,,1,instrumented,0,1,,l_no_workers_totcbp,employment/occupation,Blended,Census Bureau,County Business Patterns
1,autor-2013,d_tradeusch_pw-empl,d_tradeotch_pw_lag,"change in imports from china to other per worker, lagged",invariant / count,,1,instrument,0,1,,l_no_workers_totcbp,employment/occupation,Blended,Census Bureau,County Business Patterns
1,guidetti-2021,pm10-resp,hrate_resp,,count / count,,1,dep,0,0,,"count_hrate_resp, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,,hrate_asthma,,count / count,,1,dep,0,0,,"count_hrate_asthma, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,,hrate_pneu,,count / count,,1,dep,0,0,,"count_hrate_pneu, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,,hrate_influ,,count / count,,1,dep,0,0,,"count_hrate_influ, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,pm10-appendicitis,hrate_append,,count / count,,1,dep,0,0,,"count_hrate_append, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,pm10-epilepsy,hrate_epilep,,count / count,,1,dep,0,0,,"count_hrate_epilep, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,pm10-phimosis,hrate_phimo,,count / count,,1,dep,0,0,,"count_hrate_phimo, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,pm10-fracture,hrate_bonefrac,,count / count,,1,dep,0,0,,"count_hrate_bonefrac, population",medical,Administrative,Brazilian Hospital Data System,
1,guidetti-2021,all,population,,count,,1,weights,0,0,,population,population,Administrative,Brazilian Hospital Data System,
1,wilson-2012,,obl_lessDOL_mill_cap,ARRA obligations per capita,invariant / count,,1,instrumented,0,0,,StatePopulation,population,,?,
1,wilson-2012,ann_lessDOL_mill_cap-ivreg_T_Emp_Rate_Ann__cer,ann_lessDOL_mill_cap,ARRA spending announcements per capita,invariant / count,,1,instrumented,0,0,,StatePopulation,population,,?,
1,wilson-2012,pay_lessDOL_mill_cap-ivreg_T_Emp_Rate_Pay__cer,pay_lessDOL_mill_cap,ARRA payments per capita,invariant / count,,1,instrumented,0,0,,StatePopulation,population,,?,
1,wilson-2012,all,taxbenefits_cap,taxbenefits/(1000000*(StatePopulation*1000)),invariant / count,,1,control,0,0,,StatePopulation,population,,?,
1,wilson-2012,all,change_emp_rate,change in total nonfarm employment per capita 2009,change in count / count,could not reconstruct accurately,0,dep,0,0,,,employment/occupation,Survey,Bureau of Labor Statistics,Current Employment Statistics (CES)
1,wilson-2012,all,RealAnnualPI_3yrMADifference,difference in 3yr avg of real personal income per capita 2005-2006,complex,"ASSUMPTION: 1,000,000 max personal income",1,control,0,0,,AnnualStatePI,income,,?,
1,wilson-2012,all,ED_instrument,state's school-aged population share,count / count,,1,instrument,0,0,,hhs_school_age,age,,?,
1,wilson-2012,all,DOT_predict_instrument,"per paper, constructed by regressing DOT ARRA obls on total lane miles of federal highways, total vehicle miles, estimated tax payments attributable to highway users, and FHWA obl limitations",,tax payments the only personal variable; but can't deconstruct,0,instrument,0,0,,,taxes,,?,
1,wilson-2012,all,HHS_instrument,pre-ARRA state Medicaid expenditures per capita,invariant / count,does not reconstruct accurately,0,instrument,0,0,,,population,,?,
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,arDm_tot2_good1976,"total enrollment in secondary boundary, 1976",count,,1,custom computation,0,0,,arDm_tot2_good1976,age,Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,sch1ageshindnh_df2,"delta share of MSA's non-Hispanic population in district, 1970-2000",complex,"not derived in authors' code, not enough component vars to deconstruct",0,dep,0,0,,,race/ethnicity,Census,"U.S. Dep Ed, National Center for Education Statistics","US Census of Population, School District Tabulation"
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,ppexptot72,"per pupil expenditure, 1972",invariant / count,"not derived in authors' code, not enough component vars to deconstruct",0,control,0,0,,,age,Administrative,Census Bureau,Census of Governments
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,arhisesl_sdf,"change in hispanic esl enrollment share, 1976 to 2000",change in count / count,"ASSUMPTION: 2000 share is invariant, since not enough vars to reconstruct",1,instrumented,0,0,,arDm_his_esl1976,"age, race/ethnicity",Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
1,cascio-2010,arhisesl_sdf-ivvar3a1_b,inst_sca,((arDm_his_esl_good1976+instca)/(arDm_tot2_good1976+instca))-arhisesl_s1976,complex,,1,instrument,0,0,,"arDm_his_esl_good1976, arDm_tot2_good1976","age, race/ethnicity",Survey,"U.S. Dep Ed, Office for Civil Rights",Elementary and Secondary School Civil Rights Surveys
