"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"txmsban","-.0373986",".0272313","-1.373369",".176019","","","","","","","","","","","","","","","",""
"lpop","-.3345885","1.317208","-.2540135",".8005701","-.2375561","1.179989","-.2013205",".8412987","-.2792147","1.18003","-.2366167",".813961","-2.699589","1.821423","-1.482132",".1448411","1.181109","1.307305",".9034687",".3707891"
"lunemp","-.1971626",".1214545","-1.623346",".1110657","-.1797967",".1205136","-1.49192",".1422637","-.1277383",".1185656","-1.077364",".2867028","-.0863188",".0654748","-1.318351",".1936428",".2977794",".1837788","1.620314",".111717"
"permale2","-.012999",".0400161","-.3248454",".7467097","-.0178968",".0253559","-.7058243",".4837091","-.0143879",".0259121","-.5552589",".5812963","-.0010185",".0376788","-.0270307",".9785473","-.0711644",".0322768","-2.204814",".0322924"
"lrgastax","-.0604551",".1012001","-.5973817",".5530604","-.0420744",".0853703","-.492846",".6243685","-.0362414",".0780559","-.4643005",".6445316","-.1112978",".1050779","-1.059193",".2948128",".0232316",".0778436",".2984387",".7666565"
"st1","2.382679","2.824036",".843714",".4030144","2.146381","2.54877",".8421242",".4038949","1.882442","2.555095",".7367404",".4648661","6.924722","3.995133","1.733289",".0894646","-1.378093","2.856063","-.4825151",".6316333"
"st2","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"st3","1.982465","3.244728",".6109805",".5440951","1.722104","2.91057",".5916725",".5568464","1.443789","2.916311",".4950738",".6228068","7.217195","4.60682","1.566633",".1237701","-2.23993","3.290801","-.6806641",".4993544"
"st4","1.844061","2.17752",".8468629",".4012742","1.670808","1.963935",".8507452",".399135","1.471091","1.968623",".747269",".4585463","5.279636","3.084288","1.711784",".0933914","-1.37736","2.17494","-.6332867",".5295524"
"st5","4.057953","5.529836",".7338288",".4666225","3.63887","4.953075",".7346688",".4661154","3.185575","4.962672",".6419071",".5239874","12.87567","7.777189","1.655569",".1043336","-3.148194","5.549094","-.5673348",".5731307"
"st6","1.599885","2.904856",".5507622",".5843511","1.378822","2.603575",".5295879",".5988388","1.210135","2.607341",".4641259",".6446557","6.334838","4.099607","1.545231",".1288587","-2.215568","2.924153","-.7576785",".4523473"
"st7","1.113543","2.450446",".4544245",".6515718",".9018186","2.20819",".4083972",".6847983",".8208533","2.211141",".3712351",".712096","5.353161","3.463805","1.545457",".128804","-2.290921","2.452594","-.9340806",".3549377"
"st8","-.298679",".6300576","-.4740503",".6376134","-.3722786",".5809529","-.6408067",".524696","-.3497629",".5818114","-.601162",".5505607","1.185672",".9120033","1.300074",".199784","-1.150547",".6366259","-1.807258",".0769915"
"st9","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"st10","3.556333","4.6268",".7686378",".4458739","3.184226","4.154991",".7663616",".4472138","2.741063","4.164891",".6581355",".5135954","10.77215","6.506478","1.655605",".1043264","-2.50893","4.656654","-.5387838",".5925262"
"st11","2.923062","3.767476",".7758674",".4416334","2.625336","3.388451",".7747894",".4422642","2.297388","3.395298",".6766381",".5018834","8.896316","5.327003","1.670042",".1014207","-2.154061","3.794201","-.5677244",".5728682"
"st12","-.1763174","1.167402","-.1510339",".8805819","-.2782485","1.046417","-.265906",".7914504","-.2481243","1.046984","-.2369897",".8136733","1.872655","1.631598","1.147743",".2567629","-1.622434","1.168158","-1.388883",".1712793"
"st13",".5577057","1.363363",".4090662",".6843106",".4351933","1.229797",".3538741",".724983",".3803443","1.231667",".3088045",".7588066","2.931587","1.929932","1.51901",".1353198","-1.257646","1.380229","-.9111861",".3667508"
"st14","2.620011","4.148256",".6315934",".5306492","2.295048","3.717266",".6174022",".5398875","2.019483","3.72321",".5424038",".5900499","9.485388","5.872467","1.61523",".1128158","-2.781046","4.176965","-.6658053",".5087227"
"st15","2.263068","3.228024",".7010692",".4866448","1.951819","2.902156",".6725409",".5044643","1.713714","2.907646",".5893819",".5583691","7.571761","4.563754","1.659108",".103615","-2.05079","3.246993","-.6315968",".530647"
"st16","1.246462","2.256407",".5524102",".5832307","1.060964","2.03376",".5216762",".6042948",".9343791","2.037553",".4585791",".6486061","5.113417","3.190647","1.602627",".1155782","-1.727398","2.268876","-.7613455",".4501752"
"st17","1.312344","2.162283",".6069252",".5467608","1.131512","1.944982",".5817599",".5634508",".995733","1.948563",".5110088",".6116874","4.871686","3.056944","1.593646",".1175799","-1.713316","2.169249","-.7898199",".4335175"
"st18","2.231844","2.694986",".8281468",".4116862","2.003031","2.425583",".8257938",".4130068","1.744189","2.430918",".7175023",".4765417","6.663312","3.826968","1.741146",".0880646","-1.521209","2.707729","-.5618025",".5768646"
"st19","2.163692","2.753406",".7858239",".4358328","1.964598","2.483533",".7910497",".4328064","1.717022","2.489727",".6896427",".4937397","6.623426","3.856684","1.717389",".0923545","-1.419065","2.751698","-.5157052",".6084277"
"st20",".3479285","1.158358",".3003635",".765197",".2316533","1.052578",".2200818",".8267408",".2178442","1.053947",".2066938",".8371233","2.634036","1.68259","1.565465",".1240436","-1.418539","1.17351","-1.2088",".2326607"
"st21","1.666843","3.083054",".5406466",".5912513","1.426888","2.780859",".5131103",".6102278","1.246563","2.786054",".4474294",".6565777","6.731661","4.331669","1.554057",".1267401","-2.43123","3.090064","-.7867894",".4352727"
"st22","1.54503","3.258279",".474186",".6375173","1.278948","2.934804",".4357864",".6649453","1.187663","2.938096",".404229",".6878398","7.197264","4.592824","1.567067",".1236686","-2.696579","3.265579","-.8257585",".4130266"
"st23","2.452509","3.801205",".6451925",".5218746","2.140847","3.412886",".6272834",".5334461","1.853988","3.418854",".5422834",".5901322","8.565882","5.413987","1.582176",".1201769","-2.981173","3.834177","-.7775262",".4406639"
"st24","1.483928","2.971675",".4993576",".6198087","1.267928","2.668149",".475209",".6367934","1.120117","2.671764",".4192423",".6769094","6.700933","4.198119","1.596175",".1170134","-2.27855","2.97855","-.7649861",".4480247"
"st25","2.141657","2.196747",".974922",".3344868","1.948496","1.982629",".9827839",".3306418","1.702179","1.987718",".8563484",".3960601","5.771737","3.148384","1.833238",".0729725","-1.014254","2.216707","-.4575497",".6493404"
"st26","2.441297","3.122939",".7817304",".4382122","2.141522","2.816441",".7603647",".4507555","1.88667","2.822222",".6685052",".5070135","7.431754","4.42043","1.681229",".0992151","-1.954942","3.138678","-.6228552",".5363279"
"st27",".4298787",".7709339",".5576078",".5797036",".3549072",".693598",".51169",".6112141",".2857208",".6955283",".4107968",".6830497","1.992198","1.120568","1.777847",".0817642","-.459565",".7914846","-.5806366",".5642017"
"st28",".523357","1.590587",".3290339",".7435615",".3748419","1.440549",".2602077",".7958166",".3463209","1.443217",".2399645",".8113797","3.377045","2.231465","1.513376",".1367413","-1.479743","1.592581","-.9291476",".3574619"
"st29",".8826242","2.053101",".4298981",".6691936",".701715","1.83659",".3820749",".7040923",".5686401","1.838806",".3092442",".7584742","4.457372","2.909588","1.53196",".1320972","-1.741532","2.064054","-.8437436",".4029981"
"st30","-.0246781","1.166922","-.021148",".9832152","-.1168417","1.056078","-.1106374",".9123652","-.0827229","1.056795","-.0782772",".937933","2.112155","1.692684","1.247814",".2181524","-1.738179","1.192292","-1.457847",".1513948"
"st31","1.86702","3.628999",".5144725",".6092825","1.606617","3.263662",".4922743",".6247696","1.40438","3.268227",".429707",".6693317","8.097635","5.140869","1.575149",".1217908","-2.727639","3.666294","-.7439772",".4605169"
"st32",".9168367","1.713827",".5349645",".5951442",".7693739","1.549487",".4965346",".6217837",".6234927","1.553228",".4014172",".6898946","3.811623","2.418852","1.575798",".121641","-1.337019","1.724296","-.7753998",".441907"
"st33","2.82543","4.703991",".6006452",".550902","2.414408","4.223762",".5716251",".5702433","2.12953","4.231279",".5032827",".6170674","10.52191","6.61859","1.589751",".1184566","-3.311327","4.725796","-.700692",".4868781"
"st34","3.004099","3.722671",".806974",".4236621","2.715206","3.332333",".8148063",".4192076","2.377425","3.339258",".7119619",".4799346","8.976997","5.23253","1.715613",".092682","-1.746584","3.726925","-.4686393",".6414489"
"st35","-.5384797",".2649474","-2.032402",".0476657","-.5709436",".2485422","-2.297169",".0260132","-.5307237",".2494594","-2.127495",".0385433",".1292725",".3556816",".3634501",".7178645","-1.057823",".2497119","-4.236174",".0001024"
"st36","2.808416","3.996753",".7026746",".4856526","2.479474","3.59325",".6900364",".4934943","2.196345","3.599745",".6101391",".5446476","9.381911","5.649218","1.660745",".103284","-2.611351","4.016128","-.6502159",".5186529"
"st37","1.926152","2.514022",".7661638",".4473304","1.723146","2.264532",".760928",".4504221","1.501966","2.269889",".6616914",".5113332","5.781975","3.539272","1.633662",".1088729","-1.59023","2.52402","-.6300386",".5316573"
"st38","1.335295","2.536186",".5264972",".6009674","1.129698","2.277875",".4959437",".6221974",".9853176","2.280854",".431995",".6676795","5.82728","3.601814","1.617873",".1122434","-1.956074","2.546053","-.768277",".4460861"
"st39","3.024902","4.123843",".7335153",".4668119","2.689156","3.70896",".7250429",".4719456","2.386744","3.716541",".6421949",".5238021","9.748557","5.794068","1.682506",".0989657","-2.420428","4.133925","-.5855036",".560952"
"st40","-.2907093",".8474372","-.3430452",".7330624","-.3792945",".7733176","-.4904771",".6260311","-.2848747",".7730258","-.3685191",".7141066","1.502758","1.272496","1.180953",".2434401","-1.929552",".8703721","-2.216927",".0313989"
"st41","2.408845","2.758393",".8732786",".3868593","2.174138","2.486782",".8742776",".3863205","1.896672","2.492465",".7609623",".4504019","6.829993","3.89217","1.754803",".0856744","-1.446139","2.755563","-.5248072",".6021328"
"st42","-.1616209",".5396341","-.2995009",".7658509","-.2126025",".4900069","-.4338766",".666322","-.1824459",".4907275","-.3717865",".7116881",".9911276",".7820975","1.267269",".2111732","-.8670978",".5527152","-1.568797",".1232648"
"st43","2.691038","3.190349",".8434933",".4031366","2.440984","2.872477",".8497836",".3996642","2.157103","2.878703",".7493314",".4573143","7.851322","4.503307","1.743457",".0876564","-1.680852","3.195155","-.5260626",".601267"
"st44","3.955627","5.009651",".7896013",".433644","3.566253","4.494109",".7935393",".4313691","3.132018","4.503706",".6954312",".4901384","11.71909","7.000674","1.673995",".1006368","-2.615124","5.005959","-.5224022",".6037932"
"st45",".5932392","2.130958",".2783909",".7819081",".4393537","1.911136",".2298914",".819153",".3686499","1.913452",".1926622",".8480364","4.360985","2.989787","1.458628",".1511807","-1.864045","2.146251","-.8685123",".3894359"
"st46","-.6342973",".1849022","-3.430447",".001248","-.6620777",".1746379","-3.791145",".0004191","-.5589341",".1763895","-3.168749",".0026638",".0330139",".3168455",".1041956",".9174483","-1.150746",".2153182","-5.344396","2.47e-06"
"st47","2.435682","3.512415",".6934494",".4913697","2.11517","3.162124",".668908",".5067587","1.908446","3.167807",".6024502",".5497102","8.283075","4.921437","1.68306",".0988578","-1.883356","3.527863","-.5338517",".595908"
"st48","1.881852","3.270261",".5754441",".567679","1.525159","2.934172",".5197918",".6055977","1.357595","2.938367",".4620235",".6461518","7.270757","4.600829","1.580315",".1206028","-2.567851","3.268049","-.7857441",".4358791"
"st49","1.293307","1.591034",".8128724",".4203049","1.150298","1.43197",".8032977",".4257628","1.026241","1.435188",".7150564",".4780379","4.000544","2.281686","1.753328",".08593","-.8741281","1.619431","-.5397749",".5918477"
"st50","1.986961","3.072375",".6467181",".520895","1.731605","2.762197",".6268942",".5336991","1.544007","2.767063",".557995",".5794412","7.186753","4.337434","1.656914",".1040601","-2.118486","3.081817","-.6874146",".4951297"
"t1","-.0935365",".0808561","-1.156826",".2530683","-.0939632",".0806322","-1.165332",".2496431","-.0762254",".0825514","-.9233688",".3604336","","","","","0",".",".","."
"t2","-.1409048",".0569799","-2.472888",".0169958","-.1411065",".0569259","-2.478777",".0167498","-.1134774",".0545959","-2.078498",".0430327","","","","","-.0259733",".0601561","-.4317657",".667845"
"t3","0",".",".",".","0",".",".",".","0",".",".",".","","","","",".0998141",".0798157","1.250557",".2171581"
"t4",".0099575",".0414171",".2404208",".8110279",".009931",".0414305",".2397016",".8115822",".014687",".0431781",".3401499",".7352278","","","","",".1195252",".074337","1.607882",".1144198"
"t5",".207149",".0565988","3.659955",".0006269",".2070967",".0564829","3.666537",".0006144",".2035732",".0559527","3.63831",".0006695","","","","",".3146756",".0693874","4.535055",".0000385"
"t6",".1607172",".0671454","2.393572",".0206427",".160452",".0668223","2.401174",".0202649",".149456",".0640953","2.331776",".0239564","","","","",".2637688",".0692527","3.808788",".0003968"
"t7",".2018998",".0633282","3.188148",".0025209",".2013461",".0631033","3.190739",".0025023",".1799032",".0603093","2.983012",".0044762","","","","",".2966636",".0800705","3.705031",".0005463"
"t8",".1662439",".0620451","2.679403",".0100729",".1654212",".0613296","2.697248",".0096169",".1479731",".0580243","2.55019",".0140129","","","","",".2671034",".0626621","4.262601",".000094"
"t9",".2178663",".069292","3.144175",".0028558",".216903",".0685151","3.165767",".0026864",".2100022",".0664557","3.160031",".0027305","","","","",".3323269",".0657519","5.054258","6.70e-06"
"t10",".16235",".0579802","2.800091",".0073391",".1612425",".0569822","2.829702",".0067825",".1420353",".0562583","2.524701",".0149392","","","","",".269588",".0565726","4.765347",".0000178"
"t11",".0058978",".0492921",".11965",".9052598",".0048043",".0485558",".0989435",".9215952","-.0032234",".0482798","-.0667655",".9470457","","","","",".1300474",".0677747","1.91882",".0609642"
"t12","-.0885567",".0464362","-1.90706",".0625072","-.0897611",".0462831","-1.939392",".0583433","-.0920255",".0445473","-2.065794",".0442687","","","","",".0469224",".0689504",".6805241",".4994423"
"t13","-.1263515",".0719679","-1.755666",".0855254","-.1335601",".0686763","-1.944777",".0576733","-.1101595",".0674295","-1.6337",".1088649","","","","",".0127062",".0514518",".2469533",".8059976"
"t14","-.1622417",".0799241","-2.029948",".0479241","-.1695224",".0752472","-2.252874",".0288747","-.1448233",".074174","-1.952482",".0567263","","","","","-.0163552",".0605491","-.270115",".7882297"
"t15","-.1084789",".0715635","-1.51584",".1361181","-.1146708",".0700962","-1.635907",".1084005","-.0816138",".0722739","-1.12923",".2644129","","","","",".0461462",".0678688",".6799329",".4998132"
"t16",".0323729",".0706846",".457991",".6490256",".0258237",".065043",".3970249",".693109",".0441828",".0631826",".699288",".487747","","","","",".1705569",".0382355","4.4607",".0000492"
"t17",".0706553",".0512948","1.377435",".1747669",".0635245",".0463407","1.370813",".1768095",".0669601",".0462897","1.446544",".1545236","","","","",".1854907",".0504703","3.675244",".0005983"
"t18",".1953028",".0608192","3.211203",".0023604",".1876686",".0568342","3.302034",".0018173",".1880701",".0541948","3.470264",".0011092","","","","",".2990691",".0615441","4.859426",".000013"
"t19",".2038503",".0775281","2.629374",".011459",".1962541",".0729711","2.689477",".0098131",".188611",".0679582","2.775397",".0078353","","","","",".2916586",".0570099","5.115932","5.43e-06"
"t20",".2685044",".0706492","3.80053",".0004071",".2609411",".0646299","4.037465",".0001936",".2399126",".0609616","3.935473",".0002672","","","","",".3357324",".0532547","6.304281","8.58e-08"
"t21",".1530867",".0657361","2.328805",".0241271",".144874",".0608286","2.381676",".0212467",".1461544",".0601038","2.431699",".0188098","","","","",".2332546",".0690053","3.380241",".0014468"
"t22",".1569009",".0603821","2.598468",".0124003",".1476993",".0555601","2.658371",".0106357",".1283379",".0547807","2.342758",".0233348","","","","",".2053036",".054946","3.736462",".0004961"
"t23",".0172729",".062322",".2771549",".7828513",".0067708",".060873",".1112288",".9118987","-.0039914",".0597723","-.0667775",".9470362","","","","",".0563612",".0760059",".7415369",".4619808"
"t24","-.0606882",".0841989","-.7207723",".4745455","-.0724779",".0781143","-.9278442",".3581307","-.0913696",".0766417","-1.192166",".239057","","","","","-.0494725",".05846","-.8462623",".4016058"
"t25","-.1129888",".098685","-1.144944",".2579092","-.1208988",".0934992","-1.293046",".2021841","-.1062624",".0910818","-1.16667",".2491074","","","","","-.1020829",".0752143","-1.357228",".1810567"
"t26","-.0848219",".097453","-.8703871",".388421","-.0935834",".0954063","-.9808934",".3315637","-.0535429",".0940402","-.5693618",".5717656","","","","","-.0657819",".0871104","-.7551558",".4538451"
"t27","-.0251259",".1019825","-.2463749",".8064426","-.0346468",".0961985","-.3601594",".7203079","-.0121153",".0948608","-.1277169",".8989066","","","","","-.0340272",".0822433","-.4137382",".6809087"
"t28",".0442521",".12025",".3680006",".7144907",".0341787",".1125269",".3037378",".7626404",".0333578",".1103416",".3023139",".7637189","","","","",".0073444",".0784827",".0935797",".9258326"
"t29",".1528543",".1144753","1.33526",".1880893",".1427341",".1076718","1.325641",".1912334",".1264172",".1075283","1.175664",".2455275","","","","",".0977979",".0894163","1.093736",".2795293"
"t30",".1709928",".0979148","1.746343",".0871488",".1606621",".0931555","1.724667",".0910223",".1478313",".0906025","1.631646",".1092986","","","","",".1189787",".0751011","1.584248",".1197044"
"t31",".1890507",".1001538","1.887603",".0651331",".1740973",".0964186","1.80564",".0772479",".1564269",".095213","1.642917",".106936","","","","",".1283067",".0825887","1.553561",".1268585"
"t32",".1888585",".1077556","1.752656",".0860467",".171548",".0974552","1.760276",".0847319",".1419267",".0953095","1.489114",".1429989","","","","",".1180257",".0676095","1.745697",".0872621"
"t33",".0837422",".1179767",".7098203",".4812498",".0663218",".1103148",".6012052",".5505321",".0519599",".1077952",".4820242",".6319795","","","","",".0324792",".0650987",".498923",".6201126"
"t34",".0764284",".1000023",".7642667",".4484492",".0601145",".0940397",".639246",".525702",".045135",".091016",".4959023",".6222264","","","","",".02982",".0619731",".481176",".6325777"
"t35","-.0240882",".122523","-.1966018",".8449693","-.0475206",".11548","-.4115047",".6825342","-.0585001",".1143114","-.5117611",".6111647","","","","","-.0701725",".0853318","-.8223495",".4149446"
"t36","-.040524",".0998846","-.4057077",".6867602","-.0620356",".0893912","-.6939791",".4910405","-.0659003",".0885301","-.7443828",".4602738","","","","","-.0741702",".0661567","-1.12113",".2678103"
"t37","-.1902582",".1132746","-1.679619",".09953","-.2119036",".1060485","-1.998177",".0513799","-.1868975",".1026326","-1.821034",".0748378","","","","","-.2231319",".057554","-3.876918",".000321"
"t38","-.4604437",".1257558","-3.661412",".0006241","-.4820432",".1216115","-3.963797",".0002444","-.4391762",".1233482","-3.560458",".0008471","","","","","-.4671877",".0787138","-5.935267","3.15e-07"
"t39","-.1142702",".1230128","-.9289295",".3575737","-.1356862",".1184313","-1.145695",".2576015","-.1133404",".1164802","-.9730439",".3354097","","","","","-.1280935",".0556141","-2.303257",".0256403"
"t40",".1011423",".1019478",".9920993",".3261242",".0798748",".0913296",".8745772",".3861591",".0765285",".088463",".8650899",".3912925","","","","",".0755221",".0512569","1.473403",".1471704"
"t41",".1944724",".1005501","1.934084",".0590101",".1734322",".093491","1.855069",".0697336",".1659109",".0903529","1.836254",".0725176","","","","",".1792179",".0695178","2.578014",".0130617"
"t42",".11282",".1143447",".9866662",".3287539",".0919475",".1030058",".8926438",".3765014",".0890845",".0989742",".9000784",".3725722","","","","",".1129146",".0625917","1.803988",".0775103"
"t43",".197554",".1038253","1.902754",".0630804",".1789261",".0967652","1.849076",".0706104",".1548833",".0944087","1.640561",".1074263","","","","",".1874687",".0680752","2.753845",".0082935"
"t44",".1935787",".1112912","1.73939",".0883761",".1749975",".1025013","1.707271",".0942335",".1557866",".1002219","1.554417",".1266545","","","","",".1972358",".0673923","2.926681",".0052219"
"t45",".1493585",".1194467","1.25042",".2172078",".1308524",".1120577","1.167724",".2486861",".1099444",".1101571",".9980692",".3232509","","","","",".1618122",".0603072","2.683132",".009976"
"t46",".1481283",".0953691","1.553211",".126942",".1310807",".0892558","1.468596",".1484659",".1071189",".0874686","1.224656",".2266814","","","","",".1665674",".0709967","2.346129",".0231469"
"t47","-.0057445",".100633","-.0570837",".9547155","-.0227755",".0959284","-.2374222",".8133397","-.036494",".0937495","-.3892717",".6987969","","","","",".0310081",".0716443",".4328061",".6670942"
"t48","-.0577692",".1313491","-.4398144",".6620456","-.0739273",".1242099","-.5951804",".5545187","-.0753323",".1234471","-.6102401",".5445813","","","","","0",".",".","."
