		(1)	(2)	(3)	(4)	(5)	(6)
		Crime as a	Crime as	Crime	Feeling	Will be	Principal
		1st or 2nd	Impacting	Affecting	Unsafe	Victim	Component
		Concern	Pers.Life	Qual-Life			Summary
VARIABLES	LABELS						Index (PCI)
							
lnrate_stock_imm	Log Imm Rate	2.00	3.95***	3.59*	2.67**	2.02	3.07**
		(1.49)	(1.44)	(1.81)	(1.25)	(3.20)	(1.31)
		[0.180]	[0.007]	[0.050]	[0.035]	[0.531]	[0.021]
							
Observations		242,539	232,570	243,449	213,203	214,375	180,039
R-squared		0.02	0.02	0.04	0.05	0.03	0.05
Mean DV		36.08	34.87	63.15	17.39	43.83	39.42
