		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
		Theft	Theft	Larceny	Larceny	MV Theft	MV Theft	Burglary	Burglary	Assault	Assault	Robbery	Robbery	Total	Total
VARIABLES	LABELS	OLS	IV	OLS	IV	OLS	IV	OLS	IV	OLS	IV	OLS	IV	OLS	IV
															
deltaimm	$\Delta migr_{mt}$	0.93	0.32	-0.03	-0.60	0.34	-0.95	2.03***	1.13	0.05	1.87	0.36	3.09	3.03*	3.50
		(1.07)	(3.56)	(0.73)	(2.95)	(0.26)	(0.71)	(0.64)	(1.83)	(0.60)	(1.59)	(0.66)	(2.10)	(1.66)	(5.21)
		[0.384]	[0.928]	[0.967]	[0.838]	[0.196]	[0.181]	[0.002]	[0.538]	[0.934]	[0.240]	[0.584]	[0.141]	[0.072]	[0.501]
															
Observations		101	101	101	101	101	101	101	101	101	101	101	101	101	101
Mean DV		8.45	8.45	4.57	4.57	0.77	0.77	4.75	4.75	1.87	1.87	4.43	4.43	21.46	21.46
$ \widehat{\Delta migr_{mt}} $			6.81		6.81		6.81		6.81		6.81		6.81		6.81
\hspace{1cm}			1.64		1.64		1.64		1.64		1.64		1.64		1.64
F-stat			17.35		17.35		17.35		17.35		17.35		17.35		17.35
Part. $ R^2 $			0.10		0.10		0.10		0.10		0.10		0.10		0.10
