		(1)	(2)	(3)	(4)	(5)	(6)
		Crime is rising	Crime is rising	Crime is rising	Crime is rising	Crime is rising	Crime is rising
		(neighborhood)	(neighborhood)	(municipality)	(municipality)	(country)	(country)
VARIABLES	LABELS	OLS	IV	OLS	IV	OLS	IV
							
deltaimm	$\Delta migr_{mt}$	9.75***	13.44	6.94***	8.74	2.73**	1.71
		(2.57)	(8.27)	(2.38)	(8.65)	(1.19)	(4.82)
		[0.000]	[0.104]	[0.004]	[0.312]	[0.023]	[0.722]
							
Observations		101	101	101	101	101	101
Mean DV		42.10	42.10	64.86	64.86	78.91	78.91
$ \widehat{\Delta migr_{mt}} $			6.81		6.81		6.81
\hspace{1cm}			1.64		1.64		1.64
F-stat			17.35		17.35		17.35
Part. $ R^2 $			0.10		0.10		0.10
