		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
		Investment in Home	Investment in Home	Neighbors Security	Neighbors Security	Owns a Weapon	Owns a Weapon	Principal Component	Principal Component
		Security Index	Security Index	System Index	System Index			Summary Index	Summary Index
VARIABLES	LABELS	OLS	IV	OLS	IV	OLS	IV	OLS	IV
									
deltaimm	$\Delta migr_{mt}$	1.84*	10.03**	0.80	12.44***	0.45	0.92	1.38	11.44***
		(1.09)	(4.70)	(0.95)	(4.06)	(0.75)	(1.62)	(0.84)	(4.04)
		[0.093]	[0.033]	[0.399]	[0.002]	[0.548]	[0.571]	[0.104]	[0.005]
									
Observations		101	101	101	101	101	101	101	101
Mean DV		22.78	22.78	13.16	13.16	4.78	4.78	16.41	16.41
$ \widehat{\Delta migr_{mt}} $			6.81		6.81		6.81		6.81
\hspace{1cm}			1.64		1.64		1.64		1.64
F-stat			17.35		17.35		17.35		17.35
Part. $ R^2 $			0.10		0.10		0.10		0.10
