"","A","","","","B","","","","C","","","","A_FE","","","","B_FE","","","","C_FE","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"pblack","16.56199","5.246286","3.156898",".0016403","21.37758","6.71077","3.185563",".0014876","49.94774","19.66419","2.540036",".0112283","-17.61051","10.45186","-1.684917",".0923038","-18.69034","10.56786","-1.768602",".0772525","-14.60268","11.91418","-1.225656",".2206049"
"hprime","-1.791145","2.590483","-.6914328",".4894475","-2.412013","2.541116","-.9491944",".3427416",".6102042","2.162912",".2821216",".7779062","-.6983968",".7802048","-.8951455",".3709158","-.5684295",".7881732","-.7211987",".4709489","-.6164514",".5853238","-1.05318",".2925024"
"shrink","-.4494049","1.422608","-.3159022",".75214","1.64583","1.544977","1.065277",".286997","","","","","-.1082695",".4452957","-.2431407",".8079442","-.43105",".5198229","-.8292247",".407167","","","",""
"population",".0002347",".0000217","10.8072","7.04e-26",".0002344",".0000217","10.81412","6.58e-26",".0002348",".0000216","10.88444","3.30e-26","-.0001818",".0001683","-1.080309",".2802544","-.000182",".0001683","-1.0814",".279769","-.0001815",".0001682","-1.078993",".2808402"
"pop2","4.42e-11","6.31e-12","7.005605","4.40e-12","4.43e-11","6.30e-12","7.037232","3.55e-12","4.43e-11","6.28e-12","7.051806","3.21e-12","3.85e-10","1.18e-10","3.259244",".0011532","3.85e-10","1.18e-10","3.259368",".0011527","3.85e-10","1.18e-10","3.258858",".0011547"
"phispanic","-10.94289","8.435604","-1.297227",".19484","-10.78711","8.439233","-1.27821",".2014598","-10.15472","8.436652","-1.203643",".2290007","4.849222","9.686349",".5006244",".6167411","4.827499","9.6912",".4981323",".6184958","4.866748","9.662718",".5036624",".614605"
"pasian","2.558134","6.672538",".3833825",".7015143","2.372705","6.690534",".3546361",".7229339","2.311036","6.628453",".3486539",".7274195","-5.065495","13.94532","-.3632398",".7164993","-5.1672","13.941","-.3706478",".7109752","-5.155522","14.03457","-.3673444",".7134367"
"paian","32.55541","24.27642","1.34103",".1802026","34.40753","24.31022","1.415352",".1572638","37.87457","24.29649","1.558849",".1193354","109.3755","51.6516","2.117563",".0344482","109.5553","51.68363","2.11973",".0342645","109.5195","51.57565","2.123474",".0339491"
"punemployed","132.7762","37.1504","3.574018",".0003676","129.7762","36.68737","3.537355",".0004219","131.0467","37.67471","3.478374",".0005253","20.57629","21.90486",".9393483",".3477694","21.22983","21.94094",".9675897",".3334736","20.22073","21.94311",".921507",".3569989"
"pnohsdiploma","50.24434","26.43451","1.90071",".0576155","51.08935","26.36198","1.937994",".0528936","50.17516","26.58082","1.887646",".0593509","-15.703","30.04155","-.5227095",".6012875","-16.15644","30.07346","-.5372325",".5912216","-15.74202","29.92795","-.5259974",".5990018"
"pbachelors","49.02923","10.40574","4.711748","2.79e-06","49.95114","10.38546","4.809718","1.73e-06","50.08924","10.45172","4.792442","1.89e-06","41.51152","12.30398","3.373828",".0007686","41.51347","12.30596","3.373444",".0007696","41.51486","12.32255","3.369015",".000782"
"page65_up","-82.49235","23.3388","-3.534558",".0004264","-82.7269","23.26167","-3.556361",".0003929","-81.57865","23.09256","-3.53268",".0004294","-50.17359","22.35816","-2.244084",".0250361","-49.94093","22.35972","-2.233522",".0257259","-50.10904","22.29025","-2.248025",".0247828"
"page0_24","-48.17849","12.58583","-3.827995",".0001369","-46.57639","12.659","-3.679311",".0002458","-44.11759","12.77292","-3.453993",".0005746","-67.4822","19.82521","-3.403858",".0006897","-67.34683","19.81971","-3.397973",".0007045","-67.26403","19.67259","-3.419175",".0006524"
