"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11","","est12",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"age1618","2.305613",".6299957","2.310438",".6305491","2.310012",".6303997",".7223567",".1816505",".7236263",".1817747",".7204561",".1806364",".6026208",".1942334",".6046161",".194982",".6031639",".1943038","1.000953",".3022739","1.002708",".3022042","1.003316",".3027728"
"mda18","-25.47116","7.085736","-26.12219","5.122716","-16.02559","3.851026","-11.43347","3.376722","-11.14223","2.025197","-3.590203","2.173323","-4.500932","3.443903","-5.055387","2.323759","-2.852686","1.627197","-13.67091","2.468494","-13.49251","2.382833","-11.72055","2.45301"
"mda18_age1618","32.53394","3.916286","32.51508","3.903239","32.47355","3.896171","8.570711","1.301388","8.557341","1.310044","8.55606","1.3119","6.799473",".9753345","6.791027",".9702993","6.781683",".9701722","14.08182","2.15848","14.08985","2.14756","14.08213","2.149258"
"_Iyear_1981","1.751365","1.962651","-.1874637","2.018074","1.43355","1.783207","2.712298","2.587428","1.636908","2.473752","3.006267","2.438718","1.90203","1.779358","1.034298","1.674374","2.007038","1.67216",".2430013","1.786018",".3111288","1.781482","-.1672493","1.799823"
"_Iyear_1982",".8621981","2.273985","-3.299529","2.863705","1.178534","2.355351","1.714177","3.364223","-1.030488","2.872765","2.498001","2.726489",".8738168","2.115443","-.4913762","2.279347",".947842","1.872154",".8628905","1.581585","-.5231527","1.504652","-1.050355","1.624199"
"_Iyear_1983","-4.943266","2.975153","-12.3906","4.304884","-5.232533","2.720552",".1471255","3.546024","-4.600447","4.422827","1.736644","3.339708","-.1221021","2.128635","-2.936552","2.215791","-.5711215","1.84","-.6071199","1.469147","-2.320472","1.532833","-2.83067","1.649172"
"_Iyear_1984","-5.748513","3.116515","-15.06548","5.39619","-5.288215","3.142964","-3.652368","3.318352","-9.530019","4.777532","-1.048944","3.513398",".3819053","1.930486","-2.838733","2.302679","-.169106","1.719342","-.7317499","2.129544","-3.700573","1.677652","-4.164837","1.774844"
"_Iyear_1985","1.225093","3.271968","-11.29767","5.902386",".5070007","3.398825",".1025959","2.865436","-7.70153","4.650416","3.085188","3.068644","3.130404","1.653468","-1.554235","1.976779","1.932779","1.775771",".5492597","1.906944","-2.516004","1.577406","-3.379415","1.483127"
"_Iyear_1986",".8659034","3.076776","-13.40023","5.479013",".3891704","3.275552","-.1968692","3.682866","-9.059242","5.666339","3.485922","3.811666","3.85027","1.560259","-1.6378","2.206503","2.22956","1.933137","-2.207288","1.455589","-5.615683","1.583408","-6.841615","1.762367"
"_Iyear_1987","2.134769","2.988849","-15.97705","6.189123",".7563618","3.214795","1.180118","2.436976","-9.944254","4.343409","5.146033","2.583035","2.139012","2.842275","-5.065489","3.936124","-.2977406","3.170152","3.370234","2.677778","-.2727081","2.721399","-1.950301","3.237995"
"_Iyear_1988","1.557153","4.37875","-18.79669","8.2086",".2337089","4.128502","2.082157","2.152685","-10.44602","3.843824","6.886035","2.905543","4.74574","2.727697","-3.318955","3.872516","1.989328","3.119834",".9377761","2.194645","-3.203798","2.665583","-5.143822","2.643356"
"_Iyear_1989","11.16328","4.357317","-9.436332","7.143458","10.27597","3.793802","5.235469","2.643214","-7.284112","4.372332","11.06776","3.011492","6.239089","2.706726","-1.948513","3.608791","3.373707","2.935251","2.658257","2.474072","-1.632096","2.805848","-3.851694","2.819224"
"_Iyear_1990","14.7685","2.910112","-7.268682","6.088382","14.47389","3.632022","3.746794","4.331605","-10.3802","6.242035","9.993039","3.666849","7.719043","1.947469","-.9654908","2.971151","4.889996","2.674183",".8255516","2.396559","-3.810932","2.860284","-6.214704","2.582504"
"_Iyear_1991","16.44594","3.266165","-3.773694","6.242838","16.43173","3.847905","1.437564","5.047566","-10.90581","7.143961","8.836942","4.503872","9.216033","3.425314","1.389832","4.422413","6.244721","3.426241","1.663371","1.383123","-2.540018","2.359493","-5.224441","2.377606"
"_Iyear_1992","11.4942","4.140923","-5.517224","7.429716","13.36399","3.271398","3.514623","3.411195","-6.562977","5.358824","12.44084","2.832151","13.23435","2.442697","6.464831","3.64603","10.37423","3.219018","2.735675","2.65256","-1.193935","3.012331","-4.128872","2.827257"
"_Iyear_1993","16.32058","2.749203","-1.791779","4.321543","17.49359","3.39951","-2.175254","3.443452","-12.99652","5.104466","6.589591","2.85675","11.81626","2.468043","4.833322","3.818763","8.621925","2.469977","2.969631","1.23299","-1.711495","2.177668","-4.996527","2.024578"
