"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"age1618",".3353117",".090573",".1862121",".0563008",".1477566",".0477287",".0281396",".0553504",".0514115",".0373077",".0137964",".0327629",".1207531",".0578563",".1627914",".0697851",".1957925",".0546746",".1791005",".0819527",".7352258",".2065844"
"mda18","-3.125961","1.646446",".1727037","1.593646","-3.451416","2.558999","-2.741997",".9110702","-1.022397","1.4039",".2996737","2.022021","-8.630002","4.304692","-.2091825","1.613743","-6.183986","4.056725",".1614556","1.396053","-5.448484","1.758287"
"mda18_age1618","4.677498",".539491","2.213093",".8750293","3.191478","1.539644",".2898237",".6327635","1.1728",".708499",".6610331",".7728215","5.17502","2.100647","2.440538","1.041224","3.673614","1.932311","1.676755",".8933734","11.69753","1.750406"
"mlda19",".4458685","1.353453","2.044235","1.584586","-.1317928","2.05466",".6852661","1.529977","2.112841","1.9129","2.548619","1.916258","-1.405776","1.446487","-1.493726","1.578292",".1457062","1.403571","-.1631792","1.424351","-1.443465","2.20405"
"mlda20","1.175729","3.291978","-6.403243","4.10911","-1.37336","3.572745","-3.096194","2.477358","-2.322851","2.828187","4.328555","2.27853","-5.905453","1.711766","-3.535986","2.513067","2.052609","2.626898","-4.835984","2.600338","-3.114197","2.373233"
"mlda21","3.843149","1.896342","1.255793","1.914971","-4.019252","2.811793",".1574899","1.697362","4.372496","2.505845","1.331401","2.436495","-.4640523","1.620025",".6652496","2.283622",".0639323","2.216465","-.5672915","1.960118","-4.158202","2.034218"
"log_wage","13.16814","8.283451","2.580281","3.95572","-14.01038","6.65414","4.247771","3.062571","-2.765639","3.789645","11.03888","4.74309","4.673252","6.686605","4.977469","4.350687","-6.870646","5.700771","-3.181973","5.082548","-9.209877","5.946366"
"log_income","1.06e-08","3.60e-07","8.48e-07","5.55e-07","5.58e-07","3.66e-07","8.15e-07","4.79e-07","-1.01e-06","5.65e-07","1.41e-07","3.11e-07","-1.86e-07","2.91e-07","-4.64e-07","3.16e-07","-3.53e-08","3.78e-07","-2.43e-07","2.88e-07","2.01e-07","3.04e-07"
"popratio1315","-.0227898",".0185082",".0087377",".0175232","-.0020208",".0186775","-.0031761",".0185923",".0092944",".0176997",".0137579",".0180844",".001796",".0154363",".0126725",".0187563","-.0108012",".0206738","-.0205173",".0192157",".0168518",".021454"
"popratio1618","-.0096854",".0157848","-.0193718",".0169819",".0063535",".017103","-.0047587",".017329",".0059591",".0176008","-.0084713",".0171495",".0032368",".0183942",".0086086",".016682",".003357",".0175197","-.0138276",".0228389",".0298361",".0219764"
"pop_dense_thou","-4.11094","3.190671","-2.009636","1.954051","-.0176074","1.288364","-.2861077",".6255658","1.32629",".818997","-.2959008",".5919391",".7878151",".4287953",".8344786","1.161835","1.518783","2.118934","6.386221","5.332128","1.924465","1.908101"
"popratio_male","-.0001304",".0181285",".0000842",".0175165",".0113789",".0172086",".0238717",".0251623","-.0434392",".0187975",".024374",".0191413","-.0245453",".0215775","-.02295",".0187936",".0089212",".0172432",".012263",".0203195",".0182976",".0221865"
"popratio_black",".0117976",".0178252",".0215082",".0201855",".0120591",".0183839","-.018409",".0148216","-.0074986",".0214108","-.0077831",".0151773",".0112015",".018067",".0006398",".015703",".0100551",".020088",".0020436",".0139357",".0178333",".0149383"
"agency_count",".2767405",".0673611",".0804728",".0289256",".0405307",".0335939","-.0152909",".061722","-.149451",".0566757","-.0638734",".0431214",".0302003",".0338188","-.1052203",".0487228",".0252077",".0462811","-.0673432",".0414927",".233177",".0463099"
"_Iyear_1981","-.2567699","2.258206",".7222651","2.251997","-4.110806","1.772293",".6473064","2.634116","-.6600544","1.683484",".2293411","2.498257","-.2674209","1.98432",".1412027","1.624317","-.9852946","1.320795",".4353244","1.067382",".3664051","2.150769"
"_Iyear_1982","3.366222","1.664364",".1599363","1.458818","-2.085878","1.289303","-2.080887","1.40381","-4.12405","1.882974","-.3500335","1.404206","1.712238","1.786511","2.417818","2.353808","3.499847","1.52895",".2041786","1.274749","-3.248914","1.652068"
