"","est1","","",""
"","b","se","t","p"
"focs",".0022634",".0747303",".030287",".9759637"
"f_focs",".0470282",".1279755",".3674782",".7148777"
"gncs",".1756504",".0825895","2.126787",".0386051"
"f_gncs","-.3701384",".1459844","-2.535465",".0145415"
"focs0","-.0107254",".0738723","-.1451883",".8851702"
"f_focs0",".1337221",".1510169",".8854781",".3803134"
"gncs0","-.1245286",".0624865","-1.992888",".0519756"
"f_gncs0",".3024066",".1145988","2.638828",".0111843"
"phd_rank",".0141205",".0117559","1.201145",".2355884"
"phd_rank_miss","-.3226589",".0703713","-4.585096",".0000326"
"post_doc",".1309922",".0838666","1.561912",".1248784"
"ug_students","-.0055808",".0112735","-.4950355",".6228336"
"grad_students",".0025035",".0177033",".1414169",".8881325"
"faculty","-.0017812",".0049978","-.3563873",".7231123"
"full_av_salary",".0024467",".0039325",".6221842",".5367652"
"assist_av_salary",".0028615",".0076372",".3746714",".7095551"
"revenue","-.0010887",".0033752","-.3225669",".7484242"
"female_ratio",".5145031",".6858073",".7502153",".4567868"
"full_ratio","-.2321352",".247231","-.9389406",".3524622"
"faculty_miss","0",".",".","."
"revenue_miss","-.2452686",".0877194","-2.796061",".0074181"
"female_ratio_miss","0",".",".","."
"full_ratio_miss","0",".",".","."
"_Ipol_job_s_2","-.5807758",".1810532","-3.207762",".0023837"
"_Ipol_job_s_3","-.3686421",".1500999","-2.455978",".0177204"
"_Ipol_job_s_4","-.4645768",".1913251","-2.428206",".0189714"
"_Ipol_job_s_5","-.2058097",".0980002","-2.100093",".0410007"
"_Ipol_job_s_6","-.3740615",".1654202","-2.26128",".0283111"
"_Ipol_job_s_7","-.6069573",".2564986","-2.366319",".0220498"
"_Ipol_job_s_8","-.261724",".1056889","-2.476362",".0168503"
"_Ipol_job_s_9","-.1074406",".0841849","-1.276246",".2080093"
"_Ipol_job_s_10","-.5604659",".2671111","-2.098251",".0411707"
"_Ipol_job_s_11","-.1604388",".1032103","-1.554485",".1266381"
"_Ipol_job_s_12","-.1423154",".125095","-1.137658",".2609104"
"_Ipol_job_s_13","-.2043222",".100937","-2.024255",".0485281"
"_Ipol_job_s_14","-.2749415",".0991656","-2.77255",".0078945"
"_Ipol_job_s_15","-.0057145",".1093164","-.0522747",".9585268"
"_Ipol_job_s_16","-.4155239",".1578148","-2.632985",".0113534"
"_Ipol_job_s_17","-.4975724",".2251324","-2.210132",".0318974"
"_Ipol_job_s_18","-.3465006",".100344","-3.453126",".001167"
"_Ipol_job_s_19","-.1740738",".0913823","-1.904896",".0627947"
"_Ipol_job_s_20","-.5360571",".2146018","-2.497915",".0159724"
"_Ipol_job_s_21","-.2809608",".1596728","-1.759603",".0848474"
"_Ipol_job_s_22","-.3408882",".1180212","-2.888365",".0057936"
"_Ipol_job_s_23","-.3274795",".1279654","-2.559125",".0137008"
