"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"y1964",".1351268",".1041328","1.29764",".1949105","-.2434594",".4113867","-.5918018",".5542066","-1.293492",".4508788","-2.868825",".0042652","-1.491386",".5443537","-2.739737",".006332","","","","","","","","","","","","","","","",""
"y1964lnfracdeaths","-.0344454",".3674114","-.0937514",".9253379",".046726",".3639781",".1283757",".8978947",".0587888",".3783857",".1553674",".876584",".0578482",".374963",".1542772",".8774431","","","","","","","","","","","","","","","",""
"y1982","-.3436645",".1613542","-2.129877",".0335888","1.545504",".5929672","2.606391",".0093779","-1.222765",".6636285","-1.842544",".0658897","-1.159354",".7531203","-1.539401",".1242345","-.5521288",".0813638","-6.785931","1.66e-11","1.477545",".3586864","4.119324",".0000401","-.2358072",".3643387","-.6472198",".5175897","-.0132246",".40443","-.0326994",".9739187"
"y1982lnfracdeaths","-1.213876",".5080926","-2.389084",".0171989","-.8477923",".4574083","-1.85347",".0643066","-.8159903",".4828634","-1.689899",".0915677","-.8244476",".4914572","-1.677557",".0939552","-1.128397",".2479908","-4.550157","5.80e-06","-.8736374",".2273742","-3.842289",".000127","-1.138819",".2879217","-3.955307",".00008","-1.101235",".2932566","-3.755194",".0001799"
"y1990",".7151804",".1282216","5.577688","3.69e-08","2.271264",".5096733","4.456314","9.95e-06","-1.260665",".6608233","-1.907718",".0569055","-1.322954",".7424808","-1.781802",".0752881",".5336921",".0659184","8.096255","1.17e-15","2.159444",".3231798","6.681868","3.33e-11","-.3153983",".3609671","-.8737593",".3823906",".0156676",".3916787",".0400011",".9680977"
"y1990lnfracdeaths","-.8015889",".5267563","-1.521745",".1286006","-.5020374",".4900684","-1.024423",".3060489","-.4614625",".5379375","-.8578366",".3913258","-.506008",".5466683","-.9256216",".3550154","-.584746",".2063477","-2.833789",".0046622","-.4132739",".1969933","-2.097908",".0360819","-.7963137",".276459","-2.880404",".0040287","-.768469",".2839511","-2.706343",".0068808"
"y2000","1.281126",".1337146","9.581046","2.52e-20","2.359202",".5830386","4.046392",".0000588","-2.127302",".7540571","-2.821142",".0049439","-2.040017",".7708645","-2.646402",".0083491","1.187198",".0756906","15.68488","2.02e-51","2.707679",".3958712","6.839798","1.16e-11","-.7190265",".4105667","-1.751303",".0801002","-.4634257",".4414446","-1.049793",".2939839"
"y2000lnfracdeaths","-.4339227",".5651678","-.7677767",".4429224","-.0875393",".5362862","-.1632324",".8703905","-.0359981",".6215788","-.057914",".9538365","-.0982853",".6396749","-.1536488",".8779384",".1414718",".3431429",".4122825",".6801919",".429139",".3316365","1.294004",".1958652","-.1012238",".4220321","-.2398485",".8104808","-.1727292",".4345142","-.3975226",".6910392"
"y1964Xln_charity",".016853",".0202503",".8322385",".405606",".0140355",".0203986",".6880639",".4916789",".0212353",".0223478",".9502184",".3423845",".0206514",".0226193",".9130018",".3616089","","","","","","","","","","","","","","","",""
"y1982Xln_charity",".016354",".0383828",".4260779",".6702042",".0191748",".0369396",".5190865",".6038921",".038156",".03542","1.077244",".281805",".0403764",".0355188","1.136762",".2560924","-.0060567",".0222399","-.2723361",".7854014","-.0040065",".0212621","-.1884344",".8505619",".0119276",".0214117",".557062",".577569",".0116607",".0215583",".5408908",".588664"
"y1990Xln_charity","-.00568",".0322804","-.175959",".8603856","-.0036287",".031436","-.1154303",".9081428",".0205887",".032487",".6337509",".5264853",".0226106",".0326319",".6929004",".4886406","-.0221219",".0183981","-1.202403",".2293993","-.0194825",".0176358","-1.104713",".2694631",".0035335",".0200737",".176028",".8602959",".0040195",".0201331",".1996492",".8417823"
"y2000Xln_charity","-.0369683",".0316886","-1.166612",".2438314","-.0346453",".031015","-1.117051",".2644205","-.0038827",".0408503","-.0950475",".9243089","-.0062771",".0407575","-.1540114",".8776526","-.0148297",".0203358","-.729241",".4659692","-.0143064",".0204878","-.6982914",".4851043",".0175619",".0251209",".6990958",".4846016",".0134406",".0247354",".5433737",".5869541"
"y1964Xln_ethf",".0291853",".0146089","1.997767",".0461937",".0244852",".0137375","1.782368",".0751956",".0309066",".014556","2.123295",".0341385",".0310415",".0145314","2.136176",".0330697","","","","","","","","","","","","","","","",""
