"","est1","","","","est2","","","","est3","","","","D_betterpoli","","","","est5","","","","est6","","","","est7","","","","D_jobs","","","","est9","","","","est10","","","","est11","","","","est12","","","","est13","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"betterpoli","-.22768",".1201569","-1.894856",".0581887","-.2692811",".1187868","-2.266928",".0234516","-.2668179",".1149141","-2.321889",".0202924","-.3007818",".1150434","-2.614507",".0089715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gouv","","","","","","","","",".0661239",".025433","2.599928",".0093611",".0791466",".0255796","3.094126",".0019885","","","","","","","","",".0642427",".0251748","2.551863",".0107544",".0780673",".025314","3.083954",".0020576","","","","","","","","",".0645868",".0251779","2.56522",".0103495",".0774931",".0254146","3.049159",".0023108",".0510892",".0235988","2.164908",".0304575"
"entry","","","","","","","","",".131382",".0150039","8.75655","3.00e-18",".134828",".0149022","9.047534","2.30e-19","","","","","","","","",".1316168",".0149642","8.795437","2.14e-18",".1353595",".0148499","9.115152","1.25e-19","","","","","","","","",".1319437",".0149334","8.835481","1.50e-18",".1353488",".014842","9.119337","1.20e-19",".1383936",".0135524","10.21174","3.62e-24"
"incumbent","","","","","","","","","-.0830081",".0169648","-4.89295","1.04e-06","-.065956",".0162392","-4.061529",".0000498","","","","","","","","","-.083191",".0168975","-4.923262","8.88e-07","-.064885",".0161231","-4.024353",".0000583","","","","","","","","","-.0830425",".0169103","-4.910756","9.46e-07","-.0664316",".0161585","-4.111258",".0000402","-.0437124",".0148917","-2.935353",".0033519"
"_Ilocalmand_1","","","","","","","","","-.1259522",".0193537","-6.507923","8.63e-11","-.1240657",".0193624","-6.40757","1.66e-10","","","","","","","","","-.126669",".0192863","-6.567836","5.81e-11","-.1247051",".0192805","-6.467951","1.12e-10","","","","","","","","","-.1244146",".0193014","-6.445872","1.30e-10","-.1225858",".0193104","-6.348161","2.44e-10","-.1138083",".0183945","-6.187081","6.79e-10"
"_Ilocalmand_2","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".",".","0",".",".",".","","","","","","","","","0",".",".",".","0",".",".",".","0",".",".","."
"scoreP1","","","","","","","","","","","","","-.5452673",".1268298","-4.299204",".0000176","","","","","","","","","","","","","-.5858389",".1259167","-4.652592","3.39e-06","","","","","","","","","","","","","-.5309605",".1269886","-4.181167",".0000297","-.9181769",".129356","-7.098062","1.51e-12"
"jobs","","","","","","","","","","","","","","","","","-.2678665",".076258","-3.512634",".0004489","-.2902469",".0755338","-3.84261",".0001238","-.2985306",".0715631","-4.171569",".0000309","-.332291",".0710846","-4.674586","3.05e-06","","","","","","","","","","","","","","","","","","","",""
"age_ind_occ_egap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-.4731952",".1575907","-3.002685",".0026937","-.4810498",".1585987","-3.033126",".0024369","-.4935908",".1520508","-3.246224",".0011797","-.524759",".1522906","-3.445774",".0005757","-.6474108",".2731462","-2.370199",".0178287"
"_cons",".2790052",".0215768","12.9308","1.90e-37",".2859938",".0214398","13.33941","1.09e-39",".3016663",".0243815","12.37276","1.73e-34",".4283336",".0388876","11.01464","8.66e-28",".3154343",".0231094","13.64962","1.97e-41",".3217206",".0230282","13.97069","2.84e-43",".3404713",".0255986","13.30038","1.80e-39",".4798834",".0389568","12.31833","3.30e-34",".2994167",".0214424","13.96376","3.06e-43",".3004759",".0215918","13.9162","5.78e-43",".3174203",".0242191","13.10621","2.08e-38",".4390923",".0383792","11.4409","8.09e-30",".5370998",".0468371","11.46739","6.02e-30"
"N","6989","","","","6983","","","","6983","","","","6983","","","","6989","","","","6983","","","","6983","","","","6983","","","","7038","","","","7032","","","","7032","","","","7032","","","","7032","","",""
"r2",".1266605","","","",".1630992","","","",".2078643","","","",".2111587","","","",".1287188","","","",".1652737","","","",".2102599","","","",".2140399","","","",".1279051","","","",".1638578","","","",".2085198","","","",".2116565","","","",".3437205","","",""
"df_m","1","","","","1","","","","5","","","","6","","","","1","","","","1","","","","5","","","","6","","","","1","","","","1","","","","5","","","","6","","","","6","","",""
"df_r","3734","","","","3733","","","","3733","","","","3733","","","","3734","","","","3733","","","","3733","","","","3733","","","","3760","","","","3759","","","","3759","","","","3759","","","","3759","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
