"","est1","","",""
"","b","se","t","p"
"op_win_prev1","-.0312595",".1102764","-.283465",".7769659"
"op_win_prev2","-.1192679",".0762569","-1.564028",".1185958"
"op_win_prev3","-.0920326",".0763994","-1.204626",".2290548"
"op_win_prev4","-.0066406",".106833","-.0621587",".9504673"
"op_win_prev5","-.1890503",".0920961","-2.05275",".0407421"
"op_win_prev6","-.2185589",".108453","-2.015239",".044543"
"op_win_prev7","-.0339889",".106624","-.3187736",".7500633"
"op_win_prev8","-.2035192",".1042442","-1.952331",".0515909"
"op_win_prev9",".0302017",".1444237",".2091188",".8344611"
"op_win_prev10",".0632517",".1889142",".3348168",".7379375"
"op_win_prev11",".1188415",".1880942",".6318191",".5278634"
"op_win_prev12",".0690748",".2045787",".3376441",".7358072"
"op_win_prev13",".1466935",".1949138",".7526071",".4521254"
"op_win_prev14",".0333544",".2039903",".1635096",".8701992"
"op_win_prev15","-.016785",".2286854","-.073398",".9415258"
"op_win_prev16",".1719044",".3320466",".5177119",".6049434"
"op_win_prev17",".8143783",".7407075","1.09946",".2722238"
"op_win_prev18","-1.374791","1.56673","-.8774907",".380743"
"bond_win_prev1","-.2865037",".1483224","-1.931628",".0541063"
"bond_win_prev2","-.1454148",".083172","-1.748363",".0811627"
"bond_win_prev3","-.25786",".0980006","-2.631207",".0088346"
"bond_win_prev4","-.0934836",".116809","-.8003122",".4240014"
"bond_win_prev5","-.130379",".096582","-1.349931",".1777957"
"bond_win_prev6","-.0296606",".1203388","-.2464757",".8054395"
"bond_win_prev7","-.0514246",".1197173","-.4295502",".6677524"
"bond_win_prev8",".0054099",".1193313",".045335",".9638627"
"bond_win_prev9","-.0116317",".1272846","-.0913834",".9272334"
"bond_win_prev10",".037948",".136587",".2778305",".7812849"
"bond_win_prev11",".0627508",".2018771",".3108367",".7560855"
"bond_win_prev12","-.0864591",".1699877","-.5086199",".611297"
"bond_win_prev13",".088265",".1873054",".471236",".6377272"
"bond_win_prev14",".2931492",".2533922","1.156899",".2479989"
"bond_win_prev15",".3931798",".2907956","1.352083",".177107"
"bond_win_prev16",".1322004",".2446509",".5403636",".5892448"
"bond_win_prev17",".3100644",".3825734",".8104704",".4181482"
"bond_win_prev18",".5439238",".4673569","1.16383",".2451816"
"yrdums1",".2091842",".1724545","1.212982",".2258472"
"yrdums2",".204938",".1613056","1.270495",".2046413"
"yrdums3",".0912829",".1622409",".5626381",".5739942"
"yrdums4",".1832933",".1689319","1.085013",".2785646"
"yrdums5",".1003656",".1653522",".6069808",".5442054"
"yrdums6",".0974053",".1524982",".6387311",".5233607"
"yrdums7",".0713836",".1512632",".4719167",".6372416"
"yrdums8","-.1125571",".1638238","-.6870621",".4924387"
"yrdums9",".4330543",".1464939","2.956125",".0032984"
"yrdums10","-.0187048",".1433799","-.1304564",".8962704"
"yrdums11",".3616603",".1314691","2.750914",".0062109"
"yrdums12",".4344242",".1322121","3.285812",".0011059"
"yrdums13",".286701",".1272171","2.253636",".0247558"
"yrdums14",".3060839",".1243941","2.460598",".0142891"
"yrdums15",".2501774",".1156978","2.162335",".0311802"
"yrdums16",".0566761",".1045081",".5423132",".5879025"
"yrdums17",".0393299",".08141",".4831093",".6292804"
"yrdums18","-.0233063",".0696791","-.3344798",".7381915"
"yrdums19","0",".",".","."
"op_ismeas_prev1","-.018175",".3796352","-.0478749",".9618396"
"op_ismeas_prev2","-.2826078",".4462592","-.6332817",".5269089"
"op_ismeas_prev3",".0115529",".4747338",".0243355",".980597"
"op_ismeas_prev4","-.46601",".3428844","-1.359088",".1748789"
"op_ismeas_prev5","-.1673685",".4949114","-.3381786",".7354047"
"op_ismeas_prev6","-.4454631",".523718","-.8505782",".3955088"
"op_ismeas_prev7","-.0265804",".5003048","-.0531284",".957656"
"op_ismeas_prev8",".2162077",".5159873",".4190174",".6754266"
"op_ismeas_prev9",".1049515",".5729329",".1831828",".8547467"
"op_ismeas_prev10",".0627582",".5588558",".1122977",".9106432"
"op_ismeas_prev11",".6131963",".5814214","1.054651",".2922171"
"op_ismeas_prev12",".2346455",".6455855",".3634616",".7164507"
"op_ismeas_prev13","-.3261362",".6512034","-.5008209",".6167706"
"op_ismeas_prev14","-.0018112",".9190658","-.0019706",".9984286"
"op_ismeas_prev15","1.023661","1.216765",".8412971",".4006804"
"op_ismeas_prev16",".0033078","1.089733",".0030354",".9975796"
"op_ismeas_prev17","-1.526149","1.351597","-1.129145",".2595082"
"op_ismeas_prev18","106.6897","73.98922","1.441963",".1500896"
"bond_ismeas_prev1","-.057877",".4155758","-.1392694",".8893069"
"bond_ismeas_prev2",".2688706",".4562732",".5892754",".5560067"
"bond_ismeas_prev3","-.0248017",".3728193","-.0665247",".9469931"
"bond_ismeas_prev4",".1177161",".5121975",".2298256",".8183439"
"bond_ismeas_prev5",".7636992",".5284666","1.445123",".1492004"
"bond_ismeas_prev6",".1722625",".4554447",".3782292",".7054595"
"bond_ismeas_prev7","1.505717",".6508027","2.31363",".0211905"
"bond_ismeas_prev8",".8051758",".5283833","1.523848",".1283311"
"bond_ismeas_prev9","1.188181",".5258714","2.259452",".0243887"
"bond_ismeas_prev10",".8170525",".5240532","1.559102",".1197571"
"bond_ismeas_prev11",".1898422",".6088807",".3117889",".7553622"
"bond_ismeas_prev12",".2821114",".6188094",".455894",".6487118"
"bond_ismeas_prev13","1.179725",".6518674","1.809762",".0710776"
"bond_ismeas_prev14","1.390907",".9548433","1.456686",".1459818"
"bond_ismeas_prev15","1.87839","1.377715","1.363409",".1735147"
"bond_ismeas_prev16","1.703292","1.670346","1.019724",".3084712"
