	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Margin		interaction		gains	
						
lmargin	-0.005	-0.005	-0.007	-0.008	-0.006	-0.007
	(0.002)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)
gov_age	0.003	0.003	0.003	0.003	0.002	0.003
	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)
pop_1000	-0.035	0.209	-0.035	0.214	-0.092	-0.085
	(0.025)	(0.196)	(0.025)	(0.196)	(0.032)	(0.210)
aged	0.017	0.002	0.012	-0.007	0.017	-0.005
	(0.039)	(0.071)	(0.040)	(0.071)	(0.045)	(0.087)
kids	0.022	0.034	0.020	0.035	0.024	0.036
	(0.020)	(0.020)	(0.020)	(0.020)	(0.021)	(0.021)
_Istate_4	-0.099	51.986	-0.107	52.379	-0.135	9.437
	(0.126)	(48.501)	(0.127)	(48.299)	(0.133)	(52.836)
_Istate_5	0.047	-13.715	0.061	-11.710	-0.029	-10.950
	(0.142)	(29.102)	(0.144)	(29.792)	(0.155)	(33.882)
_Istate_6	1.389	272.367	1.369	275.064	0.317	77.042
	(0.622)	(166.970)	(0.626)	(166.175)	(0.954)	(171.410)
_Istate_8	-0.020	83.769	-0.044	88.196	-0.121	66.205
	(0.199)	(33.913)	(0.203)	(32.828)	(0.206)	(37.781)
_Istate_9	-0.166	39.643	-0.165	35.829	-0.354	59.649
	(0.119)	(24.066)	(0.120)	(24.715)	(0.142)	(29.922)
_Istate_10	-0.099	-21.925	-0.121	-28.748	-0.292	-19.020
	(0.153)	(31.723)	(0.160)	(32.663)	(0.175)	(36.960)
o._Istate_11	-	-	-	-	-	-
						
_Istate_12	0.422	145.523	0.429	147.194	0.767	15.667
	(0.376)	(112.580)	(0.378)	(112.111)	(0.440)	(120.649)
_Istate_13	0.369	64.186	0.334	58.908	0.407	11.478
	(0.171)	(52.460)	(0.174)	(52.004)	(0.204)	(61.468)
_Istate_16	-0.167	-15.163	-0.164	-20.890	-0.302	-10.413
	(0.155)	(25.820)	(0.156)	(26.269)	(0.171)	(28.384)
_Istate_17	0.576	60.732	0.566	60.053	0.566	33.803
	(0.285)	(30.145)	(0.287)	(30.193)	(0.323)	(40.083)
_Istate_18	0.000	7.029	-0.009	5.257	0.022	8.300
	(0.109)	(26.694)	(0.113)	(26.777)	(0.118)	(29.968)
_Istate_19	-0.104	11.488	-0.102	9.590	-0.227	25.023
	(0.120)	(24.384)	(0.120)	(24.464)	(0.133)	(27.261)
_Istate_20	-0.120	10.460	-0.136	10.787	-0.248	23.878
	(0.116)	(25.105)	(0.121)	(25.325)	(0.134)	(29.057)
_Istate_21	-0.096	19.802	-0.117	16.549	-0.191	25.149
	(0.153)	(29.518)	(0.156)	(29.078)	(0.165)	(32.039)
_Istate_22	0.006	-7.005	-0.013	-12.859	-0.041	1.976
	(0.153)	(28.538)	(0.157)	(29.060)	(0.168)	(32.928)
_Istate_23	-0.240	13.064	-0.251	11.492	-0.428	29.394
	(0.113)	(21.663)	(0.118)	(21.934)	(0.137)	(24.947)
_Istate_24	0.172	12.348	0.158	12.531	0.097	-1.388
	(0.209)	(40.487)	(0.208)	(40.389)	(0.225)	(43.987)
_Istate_25	0.164	21.509	0.167	20.612	-0.056	2.921
	(0.130)	(25.487)	(0.130)	(25.073)	(0.151)	(26.812)
_Istate_26	0.264	-1.400	0.251	-2.786	-0.110	-67.484
	(0.162)	(26.409)	(0.164)	(26.639)	(0.247)	(32.906)
_Istate_27	0.108	7.124	0.102	6.218	-0.011	-1.555
	(0.105)	(29.565)	(0.106)	(29.782)	(0.117)	(31.483)
_Istate_28	-0.009	-0.301	-0.020	-2.681	-0.091	11.880
	(0.134)	(25.899)	(0.138)	(26.342)	(0.148)	(30.173)
_Istate_29	0.023	20.581	0.013	20.762	-0.013	22.119
	(0.124)	(24.276)	(0.127)	(24.786)	(0.133)	(28.468)
_Istate_30	-0.124	-15.339	-0.132	-13.622	-0.301	0.329
	(0.136)	(22.711)	(0.135)	(22.594)	(0.149)	(24.924)
_Istate_32	-0.051	18.266	-0.087	21.989	-0.204	6.560
	(0.237)	(33.005)	(0.241)	(33.976)	(0.259)	(38.006)
_Istate_33	-0.041	-20.782	-0.040	-23.984	-0.174	-11.001
	(0.138)	(27.497)	(0.138)	(27.308)	(0.156)	(30.772)
_Istate_34	0.260	25.472	0.249	19.702	0.194	0.609
	(0.184)	(30.308)	(0.187)	(31.052)	(0.217)	(38.633)
_Istate_35	-0.048	-16.661	-0.050	-17.356	-0.183	-7.299
	(0.159)	(26.086)	(0.163)	(25.836)	(0.176)	(29.509)
_Istate_36	0.411	68.021	0.415	64.504	-0.299	58.172
	(0.384)	(26.991)	(0.389)	(27.244)	(0.544)	(40.104)
_Istate_37	0.226	8.583	0.210	7.999	0.289	-39.555
	(0.141)	(39.035)	(0.142)	(38.998)	(0.158)	(43.821)
_Istate_38	-0.072	-46.862	-0.059	-55.422	-0.220	-37.294
	(0.145)	(33.206)	(0.148)	(33.737)	(0.162)	(37.754)
_Istate_39	0.333	22.916	0.314	24.866	0.288	27.530
	(0.200)	(25.178)	(0.201)	(25.110)	(0.236)	(26.892)
_Istate_40	0.055	10.587	0.049	9.288	-0.020	21.886
	(0.152)	(31.704)	(0.152)	(31.626)	(0.158)	(35.295)
_Istate_41	-0.084	32.047	-0.099	31.550	-0.212	30.118
	(0.115)	(23.290)	(0.118)	(23.240)	(0.131)	(26.880)
_Istate_42	0.254	0.525	0.252	-1.884	0.234	-18.389
	(0.269)	(23.099)	(0.270)	(23.211)	(0.310)	(28.874)
_Istate_44	-0.149	-25.557	-0.129	-24.172	-0.325	-10.346
	(0.188)	(41.061)	(0.188)	(40.668)	(0.206)	(46.000)
_Istate_45	0.082	6.089	0.053	2.714	0.036	-2.094
	(0.154)	(29.922)	(0.156)	(29.527)	(0.172)	(34.044)
_Istate_46	-0.132	-2.764	-0.141	-5.510	-0.315	12.635
	(0.176)	(30.707)	(0.179)	(30.365)	(0.196)	(32.771)
_Istate_47	0.038	2.544	0.019	2.118	0.083	-18.776
	(0.114)	(29.896)	(0.117)	(30.455)	(0.126)	(35.679)
_Istate_48	0.704	115.306	0.688	113.954	1.366	-34.357
	(0.318)	(113.139)	(0.323)	(112.599)	(0.404)	(121.107)
_Istate_49	0.030	-9.163	0.023	-15.575	-0.119	-34.953
	(0.233)	(33.026)	(0.234)	(33.087)	(0.261)	(31.620)
_Istate_50	-0.282	38.204	-0.272	33.768	-0.501	41.914
	(0.150)	(26.627)	(0.149)	(26.712)	(0.164)	(27.412)
_Istate_51	0.159	43.347	0.146	42.795	0.232	15.489
	(0.136)	(32.363)	(0.142)	(32.556)	(0.156)	(37.016)
_Istate_53	0.085	14.427	0.077	12.380	-0.045	-15.931
	(0.138)	(35.803)	(0.141)	(36.097)	(0.166)	(40.155)
_Istate_54	-0.039	11.193	-0.036	7.095	-0.183	36.473
	(0.160)	(34.028)	(0.161)	(33.904)	(0.187)	(41.702)
_Istate_55	0.380	90.044	0.382	87.333	0.194	65.896
	(0.200)	(36.772)	(0.198)	(36.915)	(0.191)	(42.825)
_Istate_56	-0.034	0.877	-0.046	-2.908	-0.193	21.617
	(0.237)	(33.011)	(0.239)	(33.750)	(0.272)	(39.995)
o.year		-		-		-
						
_IstaXyear_4		-0.026		-0.026		-0.005
		(0.024)		(0.024)		(0.027)
_IstaXyear_5		0.007		0.006		0.006
		(0.015)		(0.015)		(0.017)
_IstaXyear_6		-0.139		-0.141		-0.039
		(0.086)		(0.086)		(0.089)
_IstaXyear_8		-0.042		-0.044		-0.033
		(0.017)		(0.016)		(0.019)
_IstaXyear_9		-0.020		-0.018		-0.030
		(0.012)		(0.012)		(0.015)
_IstaXyear_10		0.011		0.015		0.009
		(0.016)		(0.016)		(0.019)
o._IstaXyear_11		-		-		-
						
_IstaXyear_12		-0.074		-0.075		-0.007
		(0.057)		(0.057)		(0.062)
_IstaXyear_13		-0.032		-0.030		-0.006
		(0.027)		(0.026)		(0.031)
_IstaXyear_16		0.008		0.011		0.005
		(0.013)		(0.013)		(0.014)
_IstaXyear_17		-0.031		-0.031		-0.017
		(0.015)		(0.015)		(0.020)
_IstaXyear_18		-0.004		-0.003		-0.004
		(0.013)		(0.013)		(0.015)
_IstaXyear_19		-0.006		-0.005		-0.013
		(0.012)		(0.012)		(0.014)
_IstaXyear_20		-0.005		-0.005		-0.012
		(0.013)		(0.013)		(0.015)
_IstaXyear_21		-0.010		-0.008		-0.013
		(0.015)		(0.015)		(0.016)
_IstaXyear_22		0.003		0.006		-0.001
		(0.014)		(0.015)		(0.017)
_IstaXyear_23		-0.006		-0.006		-0.015
		(0.011)		(0.011)		(0.013)
_IstaXyear_24		-0.006		-0.006		0.001
		(0.020)		(0.020)		(0.022)
_IstaXyear_25		-0.011		-0.010		-0.002
		(0.013)		(0.013)		(0.013)
_IstaXyear_26		0.000		0.001		0.034
		(0.013)		(0.013)		(0.017)
_IstaXyear_27		-0.004		-0.003		0.001
		(0.015)		(0.015)		(0.016)
_IstaXyear_28		0.000		0.002		-0.006
		(0.013)		(0.013)		(0.015)
_IstaXyear_29		-0.010		-0.011		-0.011
		(0.012)		(0.012)		(0.014)
_IstaXyear_30		0.008		0.007		-0.000
		(0.012)		(0.011)		(0.013)
_IstaXyear_32		-0.009		-0.011		-0.003
		(0.016)		(0.017)		(0.019)
_IstaXyear_33		0.011		0.012		0.005
		(0.014)		(0.014)		(0.016)
_IstaXyear_34		-0.013		-0.010		-0.000
		(0.015)		(0.016)		(0.020)
_IstaXyear_35		0.009		0.009		0.004
		(0.013)		(0.013)		(0.015)
_IstaXyear_36		-0.036		-0.034		-0.030
		(0.014)		(0.014)		(0.021)
_IstaXyear_37		-0.005		-0.004		0.020
		(0.020)		(0.020)		(0.022)
_IstaXyear_38		0.024		0.028		0.019
		(0.017)		(0.017)		(0.019)
_IstaXyear_39		-0.012		-0.013		-0.014
		(0.013)		(0.013)		(0.014)
_IstaXyear_40		-0.005		-0.005		-0.011
		(0.016)		(0.016)		(0.018)
_IstaXyear_41		-0.016		-0.016		-0.015
		(0.012)		(0.012)		(0.013)
_IstaXyear_42		-0.001		0.000		0.009
		(0.012)		(0.012)		(0.014)
_IstaXyear_44		0.013		0.012		0.005
		(0.021)		(0.021)		(0.023)
_IstaXyear_45		-0.003		-0.001		0.001
		(0.015)		(0.015)		(0.017)
_IstaXyear_46		0.002		0.003		-0.006
		(0.016)		(0.015)		(0.017)
_IstaXyear_47		-0.001		-0.001		0.009
		(0.015)		(0.015)		(0.018)
_IstaXyear_48		-0.059		-0.059		0.018
		(0.058)		(0.058)		(0.062)
_IstaXyear_49		0.005		0.008		0.017
		(0.017)		(0.017)		(0.016)
_IstaXyear_50		-0.019		-0.017		-0.021
		(0.014)		(0.014)		(0.014)
_IstaXyear_51		-0.022		-0.022		-0.008
		(0.016)		(0.016)		(0.019)
_IstaXyear_53		-0.007		-0.006		0.008
		(0.018)		(0.018)		(0.020)
_IstaXyear_54		-0.005		-0.003		-0.018
		(0.017)		(0.017)		(0.021)
_IstaXyear_55		-0.045		-0.044		-0.033
		(0.018)		(0.018)		(0.021)
_IstaXyear_56		-0.000		0.002		-0.011
		(0.017)		(0.017)		(0.020)
int_lameduck_margin			0.008	0.010	0.008	0.011
			(0.004)	(0.005)	(0.005)	(0.006)
lameduck			-0.048	-0.061	-0.046	-0.080
			(0.068)	(0.072)	(0.077)	(0.083)
l2afdctanf_exp_r_1mio					0.000	0.001
					(0.000)	(0.000)
Constant	-0.332	-1.429	-0.211	-1.315	-0.135	-0.120
	(0.735)	(1.378)	(0.752)	(1.382)	(0.824)	(1.633)
						
Observations	1,376	1,376	1,376	1,376	1,286	1,286
R-squared	0.265	0.289	0.267	0.292	0.276	0.302
Year FE	YES	YES	YES	YES	YES	YES
State FE	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses						
