	(1)	(2)	(3)	(4)
VARIABLES	gains	lameduck	Rep	margin
				
afdctanf_exp_r_10mio	-0.001	-0.001	-0.001	-0.001
	(0.001)	(0.001)	(0.001)	(0.001)
lameduck		-0.000	-0.001	
		(0.046)	(0.047)	
gov_rep			-0.075	
			(0.028)	
gov_age	0.002	0.002	0.002	0.003
	(0.003)	(0.003)	(0.003)	(0.003)
pop_1000	0.068	0.068	0.084	0.064
	(0.029)	(0.029)	(0.030)	(0.032)
kids	0.047	0.047	0.052	0.048
	(0.028)	(0.028)	(0.030)	(0.028)
aged	0.072	0.072	0.072	0.072
	(0.055)	(0.055)	(0.058)	(0.054)
_Istate_4	0.090	0.090	0.068	0.119
	(0.047)	(0.048)	(0.051)	(0.049)
_Istate_5	0.388	0.388	0.477	0.285
	(0.075)	(0.077)	(0.069)	(0.081)
_Istate_6	-1.444	-1.444	-1.844	-1.323
	(1.320)	(1.314)	(1.313)	(1.440)
_Istate_8	0.306	0.306	0.300	0.296
	(0.174)	(0.176)	(0.186)	(0.176)
_Istate_9	0.071	0.071	0.119	0.078
	(0.049)	(0.049)	(0.047)	(0.058)
_Istate_10	0.271	0.271	0.281	0.240
	(0.112)	(0.113)	(0.118)	(0.146)
o._Istate_11	-	-	-	-
				
_Istate_12	-0.931	-0.931	-1.097	-0.876
	(0.532)	(0.530)	(0.565)	(0.560)
_Istate_13	0.050	0.050	-0.030	0.065
	(0.186)	(0.187)	(0.179)	(0.192)
_Istate_16	0.226	0.226	0.287	0.216
	(0.166)	(0.166)	(0.179)	(0.181)
_Istate_17	-0.267	-0.267	-0.390	-0.236
	(0.272)	(0.271)	(0.270)	(0.297)
_Istate_18	-0.094	-0.094	-0.153	-0.095
	(0.062)	(0.062)	(0.059)	(0.064)
_Istate_19	-0.081	-0.081	-0.086	-0.086
	(0.090)	(0.090)	(0.089)	(0.090)
_Istate_20	0.261	0.261	0.281	0.244
	(0.066)	(0.070)	(0.068)	(0.086)
_Istate_21	0.093	0.093	0.078	0.082
	(0.040)	(0.042)	(0.045)	(0.053)
_Istate_22	0.112	0.112	0.105	0.096
	(0.082)	(0.083)	(0.086)	(0.084)
_Istate_23	0.099	0.099	0.142	0.085
	(0.094)	(0.096)	(0.112)	(0.110)
_Istate_24	0.241	0.241	0.205	0.248
	(0.091)	(0.092)	(0.092)	(0.090)
_Istate_25	-0.050	-0.050	-0.046	-0.025
	(0.114)	(0.114)	(0.118)	(0.118)
_Istate_26	-0.259	-0.259	-0.339	-0.237
	(0.226)	(0.224)	(0.226)	(0.243)
_Istate_27	0.033	0.033	0.059	0.033
	(0.060)	(0.060)	(0.067)	(0.061)
_Istate_28	0.031	0.031	0.050	0.023
	(0.092)	(0.095)	(0.100)	(0.095)
_Istate_29	-0.013	-0.013	-0.061	-0.007
	(0.059)	(0.059)	(0.064)	(0.060)
_Istate_30	0.371	0.371	0.432	0.349
	(0.108)	(0.110)	(0.107)	(0.131)
_Istate_32	0.340	0.340	0.379	0.312
	(0.144)	(0.146)	(0.159)	(0.163)
_Istate_33	0.202	0.202	0.220	0.181
	(0.135)	(0.134)	(0.142)	(0.156)
_Istate_34	-0.305	-0.305	-0.371	-0.293
	(0.156)	(0.155)	(0.158)	(0.168)
_Istate_35	0.282	0.282	0.309	0.268
	(0.138)	(0.140)	(0.148)	(0.147)
_Istate_36	-0.651	-0.651	-0.806	-0.596
	(0.729)	(0.726)	(0.733)	(0.784)
_Istate_37	-0.245	-0.245	-0.348	-0.232
	(0.121)	(0.122)	(0.119)	(0.130)
_Istate_38	0.343	0.343	0.430	0.317
	(0.122)	(0.122)	(0.111)	(0.152)
_Istate_39	-0.485	-0.484	-0.560	-0.468
	(0.272)	(0.270)	(0.276)	(0.286)
_Istate_40	0.055	0.055	0.064	0.051
	(0.046)	(0.051)	(0.048)	(0.050)
_Istate_41	0.099	0.099	0.068	0.090
	(0.030)	(0.035)	(0.039)	(0.042)
_Istate_42	-0.687	-0.687	-0.801	-0.657
	(0.357)	(0.355)	(0.373)	(0.376)
_Istate_44	0.159	0.159	0.241	0.139
	(0.098)	(0.099)	(0.092)	(0.112)
_Istate_45	0.143	0.143	0.152	0.150
	(0.065)	(0.067)	(0.067)	(0.067)
_Istate_46	0.277	0.277	0.353	0.252
	(0.121)	(0.122)	(0.113)	(0.136)
_Istate_47	0.183	0.183	0.158	0.181
	(0.057)	(0.059)	(0.057)	(0.058)
_Istate_48	-0.971	-0.971	-1.214	-0.893
	(0.492)	(0.490)	(0.486)	(0.539)
_Istate_49	0.203	0.203	0.242	0.179
	(0.287)	(0.288)	(0.310)	(0.297)
_Istate_50	0.482	0.482	0.526	0.455
	(0.131)	(0.131)	(0.136)	(0.164)
_Istate_51	-0.089	-0.089	-0.138	-0.075
	(0.109)	(0.118)	(0.118)	(0.110)
_Istate_53	0.220	0.220	0.152	0.223
	(0.107)	(0.107)	(0.101)	(0.107)
_Istate_54	0.098	0.098	0.122	0.079
	(0.113)	(0.113)	(0.114)	(0.126)
_Istate_55	0.020	0.020	0.001	0.029
	(0.053)	(0.053)	(0.054)	(0.053)
_Istate_56	0.524	0.524	0.575	0.502
	(0.169)	(0.171)	(0.181)	(0.182)
lmargin				0.001
				(0.003)
Constant	-2.134	-2.134	-2.257	-2.156
	(1.031)	(1.032)	(1.088)	(1.007)
				
Observations	561	561	549	548
R-squared	0.150	0.150	0.158	0.150
Year FE	YES	YES	YES	YES
State FE	YES	YES	YES	YES
Robust standard errors in parentheses				
