"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"i_povrate_enacted","-.0170673",".0018969","-8.997483","1.14e-18","","","","",".0033425",".0022201","1.505531",".1325034","","","",""
"i_povrate_exLAW","-.0118959",".0015646","-7.60296","6.65e-14","","","","","-.0004987",".0015588","-.3199582",".7490668","","","",""
"i_povrate_exSAW",".0065273",".0016278","4.00988",".0000653","","","","",".0061304",".0016834","3.641579",".0002849","","","",""
"_Iyearmonth_319",".0722762",".0719166","1.005",".3151398",".0722762",".0719166","1.005",".3151398",".3469327",".0753897","4.601861","4.73e-06",".3469327",".0753897","4.601861","4.73e-06"
"_Iyearmonth_320","-.049676",".0726683","-.6835995",".4943865","-.049676",".0726683","-.6835995",".4943865",".1864905",".0730803","2.551858",".0108628",".1864905",".0730803","2.551858",".0108628"
"_Iyearmonth_321","-.0577812",".0707342","-.8168781",".4141927","-.0577812",".0707342","-.8168781",".4141927",".2317212",".0710651","3.260689",".001149",".2317212",".0710651","3.260689",".001149"
"_Iyearmonth_322",".1316466",".0803905","1.637588",".1018223",".2274543",".0874569","2.600758",".0094391",".0696669",".0736944",".9453492",".344709",".1242853",".0798768","1.555962",".1200334"
"_Iyearmonth_323",".0443242",".0784751",".5648182",".5723241",".1401319",".0853454","1.641938",".1009172",".0084071",".0726583",".1157077",".9079074",".0630255",".0788813",".7989908",".4244855"
"_Iyearmonth_324",".3083964",".0805336","3.829411",".0001364",".4042042",".0873991","4.624811","4.24e-06",".1526641",".0774171","1.97197",".0488882",".2072825",".0829923","2.497611",".0126631"
"_Iyearmonth_325",".1101968",".0801827","1.374322",".1696496",".2060046",".0878617","2.344646",".01924",".0907577",".0783635","1.158162",".2470743",".145376",".0838379","1.734013",".083224"
"_Iyearmonth_326",".167177",".0822456","2.032656",".0423511",".2629847",".0879109","2.991492",".0028443",".2331613",".0774134","3.011899",".0026615",".2877796",".0838313","3.432842",".0006218"
"_Iyearmonth_327","-.5615745",".0829535","-6.76975","2.20e-11","-.4657667",".089783","-5.187694","2.58e-07",".111281",".0771171","1.443013",".1493299",".1658994",".0818204","2.027603",".0428655"
"_Iyearmonth_328","-.2896161",".0848896","-3.411677",".0006715","-.1938083",".0905856","-2.139505",".0326363",".1695867",".07836","2.1642",".0306851",".2242051",".085594","2.619402",".0089418"
"_Iyearmonth_329","-.2597474",".0841091","-3.088219",".0020691","-.1639397",".0913638","-1.794362",".0730574",".2521659",".0755297","3.338631",".000873",".3067842",".0802724","3.82179",".0001407"
"_Iyearmonth_330","-.2064783",".083873","-2.461798",".0139921","-.1106705",".0901904","-1.227077",".2200825",".2265987",".0774223","2.926788",".0035023",".2812171",".0845837","3.32472",".0009172"
"_Iyearmonth_331","-.0549314",".0855664","-.6419745",".5210369",".0408763",".0917932",".4453091",".6561928",".3365283",".0803308","4.189279",".0000305",".3911467",".0872608","4.482504","8.23e-06"
"_Iyearmonth_332","-.0698717",".0836142","-.8356433",".4035552",".0259361",".0895762",".2895424",".7722263",".3674208",".080592","4.559021","5.78e-06",".4220391",".086227","4.894514","1.15e-06"
"_Iyearmonth_333",".0083776",".0830164",".1009152",".919638",".1041854",".0882214","1.180953",".237902",".3330895",".0787211","4.231261",".0000254",".3877079",".0856626","4.525989","6.73e-06"
"_Iyearmonth_334","-.1273534",".0826095","-1.541632",".1234795","-.0315456",".0889983","-.3544517",".7230751",".3223254",".0773563","4.166761",".0000336",".3769437",".0830067","4.541126","6.28e-06"
"_Iyearmonth_335","-.2485922",".0851695","-2.918794",".0035926","-.1527845",".0908779","-1.681205",".0930353",".2767465",".0816845","3.387992",".0007315",".3313648",".0874377","3.789725",".0001598"
"_Iyearmonth_336","-.0016621",".0832094","-.0199751",".9840672",".0941456",".0901281","1.044575",".2964717",".4616597",".0833017","5.542023","3.82e-08",".5162781",".0887899","5.814604","8.17e-09"
"_Iyearmonth_337","-.0811419",".0867391","-.9354713",".3497713",".0146658",".0912321",".1607527",".8723206",".3927352",".0812764","4.832094","1.56e-06",".4473535",".0873534","5.121193","3.64e-07"
"_Iyearmonth_338","-.0815578",".0858106","-.9504398",".3421185",".0142499",".0896916",".1588767",".8737981",".3806116",".0807585","4.712961","2.79e-06",".4352299",".0853769","5.097746","4.11e-07"
"_Iyearmonth_339",".0022109",".0896816",".0246524",".9803371",".0980186",".0957683","1.023497",".3063203",".5036853",".0822314","6.125222","1.30e-09",".5583037",".0883249","6.321025","3.91e-10"
"_Iyearmonth_340","-.4501423",".0806413","-5.582033","3.06e-08","-.3254363",".0903641","-3.601389",".0003321",".3205406",".0804123","3.986215",".000072",".3968204",".0899063","4.413708",".0000113"
"_Iyearmonth_341","-.4616768",".0836691","-5.517889","4.37e-08","-.3369708",".0933901","-3.608206",".0003236",".3335013",".0767936","4.342828",".0000155",".4097811",".0850523","4.817987","1.67e-06"
"_Iyearmonth_342","-.3411352",".0835185","-4.084545",".0000477","-.2164292",".094178","-2.298086",".0217626",".2732027",".0772563","3.536318",".0004244",".3494824",".0868927","4.022",".0000621"
"_Iyearmonth_343","-.3071534",".0833962","-3.683064",".0002428","-.1824474",".0912359","-1.999734",".0457991",".2267222",".0748291","3.029868",".0025095",".3030019",".0843267","3.593189",".0003426"
"_Iyearmonth_344","-.3821082",".0827724","-4.616371","4.41e-06","-.2574022",".0931821","-2.762358",".0058438",".161001",".0742182","2.169293",".0302955",".2372807",".0826347","2.871441",".0041723"
"_Iyearmonth_345","-.4203902",".0846251","-4.967681","7.97e-07","-.2956843",".0936007","-3.158996",".0016306",".214081",".0757643","2.825617",".0048129",".2903608",".0854456","3.398193",".0007051"
"_Iyearmonth_346","-.4231388",".0841363","-5.029205","5.84e-07","-.2984328",".0921945","-3.236991",".0012477",".1941146",".0767605","2.528834",".0115971",".2703944",".085518","3.161842",".0016149"
"_Iyearmonth_347","-.4441226",".0839765","-5.288652","1.51e-07","-.3112074",".0947285","-3.285256",".0010543",".1017941",".0784836","1.297012",".1949263",".1279146",".0857633","1.491484",".1361497"
