"","est1","","",""
"","b","se","t","p"
"t15000","-.0341523",".3482328","-.0980731",".9219098"
"pop15000","-.0002794",".0004354","-.6418187",".5212569"
"pop15000_2","-1.82e-07","1.96e-07","-.9273504",".3541492"
"pop15000_3","-2.13e-11","2.52e-11","-.8438031",".3991443"
"t15000_int1",".000436",".0006709",".6497813",".5161033"
"t15000_int2","5.58e-08","3.42e-07",".1630594",".8705312"
"t15000_int3","4.78e-11","4.85e-11",".9850712",".3250199"
"north","0",".",".","."
"CE","-.502955",".1780593","-2.824648",".0049041"
"south","-.610179",".2588161","-2.357578",".018742"
"area","-.0038041",".0009673","-3.932683",".0000947"
"alt_max",".0003155",".0001042","3.027442",".0025813"
"end_rev_transf_pc","-.0007872",".0002713","-2.901237",".0038649"
"income_pc",".0000412",".0000332","1.238884",".2159142"
"elderly_index","-.0131615",".1906025","-.0690521",".9449731"
"active_pop","-5.282694","1.994197","-2.649034",".008303"
"family_size","-.9115199",".3640101","-2.504106",".012563"
"duration","-.0003895",".0000727","-5.358351","1.23e-07"
"term_limit","0",".",".","."
"_cons","11.08134","1.545261","7.171177","2.40e-12"
"N","783","","",""
"r2",".1662314","","",""
"df_m","15","","",""
"df_r","553","","",""
"df_b","","","",""
"df","","","",""
