"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"t15000","1.158951",".2996163","3.868117",".0001149","2.259239",".3921672","5.760907","1.04e-08",".2824904",".1704784","1.657045",".097744","1.74636",".3078584","5.672608","1.72e-08",".1516266",".1811879",".8368471",".4028274"
"_Iyear_elec_1994",".1716363",".273406",".6277706",".5302609",".1314443",".3578607",".3673057",".7134489",".0690382",".1555651",".4437901",".6572659",".0448247",".2809271",".1595598",".8732518",".0389106",".1653377",".2353399",".8139808"
"_Iyear_elec_1995","-.1176743",".245162","-.4799858",".6313156","-.0193903",".3208921","-.0604264",".951825",".1080731",".1394945",".7747481",".4386249",".1009926",".2519061",".4009137",".6885474","-.1075446",".1482576","-.7253901",".4683391"
"_Iyear_elec_1996","-.2919155",".3753097","-.777799",".4368245","-.0748508",".4912422","-.1523704",".8789177",".0483506",".2135472",".2264163",".8209121",".3791294",".385634",".9831327",".3257192","-.2270239",".2269622","-1.000272",".3173593"
"_Iyear_elec_1997","-.7873054",".1923633","-4.092804",".0000452",".3290744",".2517841","1.306971",".1914464",".3195331",".1094527","2.919372",".0035659",".0309723",".197655",".1566988",".8755058",".2728549",".1163285","2.345555",".0191436"
"_Iyear_elec_1998","-.2514616",".2763721","-.9098662",".3630563",".4890352",".3617429","1.351886",".1766394",".2708982",".1572527","1.722693",".0851742",".2895698",".2839747","1.019703",".3080531","-.190961",".1671313","-1.142581",".2534164"
"_Iyear_elec_1999","-.1033277",".2799525","-.36909",".7121188","1.036255",".3664294","2.827981",".0047538",".4371565",".15929","2.744407",".0061428",".0000723",".2876537",".0002513",".9997995",".2233194",".1692966","1.319102",".1873599"
"_Iyear_elec_2000","-.972191",".3275613","-2.967967",".0030509",".353886",".4287444",".8254009",".4092906",".4173944",".1863788","2.239495",".0252869","-.7639308",".3365721","-2.269739",".0233814",".2991918",".1980872","1.510405",".1311754"
"_Iyear_elec_2001","-.717616",".2343152","-3.06261",".0022378",".4460628",".3066947","1.454419",".1460637",".4215042",".1333228","3.161531",".0016045","-.0921942",".2407609","-.3829286",".7018333",".0889323",".1416982",".6276179",".530361"
"_Iyear_elec_2002","-.7015385",".2521306","-2.782441",".0054707",".2583348",".3300133",".7828012",".4338819",".3723882",".1434596","2.595771",".0095408",".1180917",".2590664",".4558358",".6485818","-.2488977",".1524717","-1.632419",".1028257"
"_Iyear_elec_2003","1.272383",".3173371","4.009563",".0000642",".5278789",".4153619","1.270889",".2039883",".1868524",".1805614","1.034842",".3009292",".1046582",".3260666",".3209719",".7482817","-.0995705",".1919042","-.518855",".6039473"
"_Iyear_elec_2004",".3946231",".2875294","1.372462",".1701489",".1250587",".3763467",".3322965",".7397173",".0585535",".1636011",".3579038",".7204715","-.00651",".295439","-.022035",".9824233","-.3070392",".1738785","-1.765826",".0776523"
"_Iyear_elec_2005",".3475458",".3460539","1.004311",".3154095",".5980327",".4529494","1.320308",".1869571",".183894",".1969009",".9339419",".3505018",".4222189",".3555735","1.187431",".2352677","-.1312687",".2092703","-.6272688",".5305897"
"_Iyear_elec_2006","-.3876012",".262929","-1.474167",".1406711","-.1204508",".3441473","-.3499977",".7263953",".164648",".1496037","1.100561",".2712852",".0438301",".2701618",".1622366",".8711439","-.3532577",".1590019","-2.22172",".0264684"
"_Iyear_elec_2007","1.03347",".3257233","3.172846",".0015437",".0741928",".4263386",".1740233",".8618734","-.0385725",".185333","-.2081253",".8351627","-.0061089",".3346836","-.0182529",".9854398","-.2778351",".1969757","-1.410505",".1586222"
"north","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"CE","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"south","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"area",".4162677",".9496617",".4383326",".6612157",".0669951","1.243011",".0538975",".9570249",".1247951",".5403473",".2309536",".817386","1.61971",".9757858","1.659903",".0971674","-1.397286",".5742919","-2.433058",".0151017"
"alt_max","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"end_rev_transf_pc","-.0002317",".0001777","-1.304086",".1924278","-.0001554",".0002325","-.6684173",".5039821","-.0000828",".0001011","-.8188355",".4130255","-.0000622",".0001826","-.3405436",".7335004","-.0000576",".0001074","-.5356493",".5922896"
"income_pc","-3250.6","2155","-1.508399",".1316876","-7895.134","2820.675","-2.799022",".0051991","-1571.293","1226.172","-1.281463",".2002524","-5512.428","2214.281","-2.489489",".012913","-167.2945","1303.2","-.1283721",".8978737"
"elderly_index","-1.67e+07","1.04e+07","-1.6009",".1096342","-2.30e+07","1.36e+07","-1.684609",".0922964","-3489495","5930587","-.5883896",".5563698","-2.05e+07","1.07e+07","-1.911932",".0560976","2554654","6303147",".4052982",".6853229"
