"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"t15000","-.4503903",".1704697","-2.642055",".0084826","-.6269698",".2758274","-2.273052",".0257052"
"pop15000",".0003299",".0001879","1.756011",".0796608",".0007512",".0003343","2.247016",".0273941"
"pop15000_2","1.08e-07","6.35e-08","1.697292",".0902252","3.38e-07","1.40e-07","2.408923",".0182978"
"pop15000_3","1.06e-11","6.52e-12","1.627643",".1041916","4.26e-11","1.75e-11","2.430292",".0173248"
"t15000_int1","-.0001062",".0002224","-.4777163",".633048","-.0006155",".0004242","-1.450983",".1506946"
"t15000_int2","-1.69e-07","7.14e-08","-2.361911",".0185396","-3.61e-07","2.10e-07","-1.719154",".0894535"
"t15000_int3","-7.68e-12","6.79e-12","-1.131102",".2585208","-4.37e-11","2.46e-11","-1.781392",".0786438"
"north","-.0765826",".1106997","-.6918052",".4893609","-.3777687",".2698063","-1.400148",".1653354"
"CE","-.0440955",".0963428","-.4576939",".6473589","-.1544965",".339713","-.4547855",".6504953"
"area",".0000167",".0004655",".0358678",".9714012","-.0026311",".001949","-1.349988",".1808271"
"alt_max","-.0000128",".0000426","-.300127",".7641973","-.000207",".0002157","-.9594209",".3402375"
"end_rev_transf_pc","-.0002052",".0001252","-1.638504",".1019067","","","",""
"income_pc","-.0000162",".0000142","-1.139751",".254902","","","",""
"elderly_index","-.0242418",".0706962","-.342901",".7318081","","","",""
"active_pop",".1977089",".8049337",".2456214",".8060699","","","",""
"family_size","-.4663201",".1724982","-2.703333",".0070839","","","",""
"duration","-.0003148",".0001494","-2.107454",".0355447","","","",""
"term_limit","-.0688822",".1558382","-.442011",".6586605","","","",""
"_cons","2.782312",".7169033","3.881014",".0001171","1.360942",".3920043","3.471753",".0008367"
"N","575","","","","92","","",""
"r2",".056108","","","",".1857542","","",""
"df_m","16","","","","9","","",""
"df_r","533","","","","80","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
