	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	number_parties	number_parties	number_parties	number_parties	number_parties	number_parties
						
t15000	2.184***	1.497**	2.163***	1.736***	1.739**	2.291***
	(0.526)	(0.624)	(0.413)	(0.540)	(0.794)	(0.436)
pop15000	0.001	0.002*	0.000	0.001*	0.003	0.000
	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.000)
pop15000_2	0.000	0.000	0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000	0.000				
	(0.000)	(0.000)				
pop15000_4		0.000				
		(0.000)				
t15000_int1	-0.001	-0.000	0.000	-0.001	-0.003	0.000
	(0.001)	(0.002)	(0.000)	(0.001)	(0.003)	(0.000)
t15000_int2	0.000	-0.000*	-0.000*			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000*				
		(0.000)				
						
Observations	2,027	2,027	2,027	364	175	761
R-squared	0.263	0.265	0.262	0.201	0.174	0.247
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
