	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	ratio	ratio	ratio	ratio	ratio	ratio
						
t15000	0.031	-0.159	0.001	-0.154	-0.116	0.076
	(0.186)	(0.220)	(0.140)	(0.184)	(0.290)	(0.153)
pop15000	0.000	0.001**	0.000**	0.000*	0.001*	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
pop15000_2	0.000	0.000**	0.000**			
	(0.000)	(0.000)	(0.000)			
pop15000_3	-0.000	0.000**				
	(0.000)	(0.000)				
pop15000_4		0.000**				
		(0.000)				
t15000_int1	0.000	-0.001	0.000	-0.000	-0.002**	0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)
t15000_int2	-0.000	-0.000	-0.000***			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000	-0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
north	-0.323***	-0.317***	-0.323***	-0.605**	-0.118	
	(0.099)	(0.099)	(0.099)	(0.292)	(0.170)	
CE	-0.233***	-0.233***	-0.233***	-0.337		0.139
	(0.088)	(0.087)	(0.088)	(0.250)		(0.099)
o.south	-	-	-	-		
						
area	0.001**	0.001**	0.001**	0.002**	0.002*	0.003***
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
alt_max	-0.000	-0.000	-0.000	-0.000***	-0.000**	-0.000**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
end_rev_transf_pc	-0.000	-0.000	-0.000	0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
income_pc	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
elderly_index	-0.005	-0.013	-0.005	-0.186	0.185	-0.199*
	(0.080)	(0.080)	(0.080)	(0.201)	(0.241)	(0.119)
active_pop	-0.624	-0.644	-0.619	0.557	1.971	0.381
	(0.814)	(0.811)	(0.814)	(1.832)	(2.608)	(1.226)
family_size	-0.526***	-0.534***	-0.525***	-0.746	0.087	-0.571**
	(0.148)	(0.148)	(0.148)	(0.587)	(0.482)	(0.289)
duration	0.000	0.000	0.000	-0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
term_limit	0.208***	0.211***	0.208***	0.392**	0.303**	0.251***
	(0.056)	(0.056)	(0.056)	(0.164)	(0.128)	(0.095)
o.CE					-	
						
south					0.073	0.434**
					(0.272)	(0.176)
o.north						-
						
						
Observations	2,027	2,027	2,027	364	175	761
R-squared	0.096	0.097	0.096	0.111	0.158	0.114
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
