	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	number_parties	number_parties	number_parties	number_parties	number_parties	number_parties
						
t15000	-0.178	-0.231	-0.121	-0.033	-0.128	-0.336
	(0.449)	(0.544)	(0.349)	(0.506)	(0.668)	(0.365)
pop15000	-0.000	-0.001	0.000	-0.000	-0.001	0.000
	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.000)
pop15000_2	-0.000	-0.000	-0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	-0.000	-0.000				
	(0.000)	(0.000)				
pop15000_4		-0.000				
		(0.000)				
t15000_int1	0.000	0.002	-0.000	0.001	0.002	-0.000
	(0.001)	(0.002)	(0.000)	(0.001)	(0.003)	(0.000)
t15000_int2	-0.000	-0.000	0.000			
	(0.000)	(0.000)	(0.000)			
t15000_int3	0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
						
Observations	783	783	783	137	67	284
R-squared	0.027	0.030	0.025	0.010	0.017	0.004
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
