	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	number_parties	number_parties	number_parties	number_parties	number_parties	number_parties
						
t15000	-0.034	-0.202	-0.124	0.069	0.069	-0.244
	(0.348)	(0.419)	(0.290)	(0.351)	(0.502)	(0.292)
pop15000	-0.000	-0.000	0.000	-0.000	-0.002	0.000
	(0.000)	(0.001)	(0.000)	(0.000)	(0.002)	(0.000)
pop15000_2	-0.000	-0.000	-0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	-0.000	-0.000				
	(0.000)	(0.000)				
pop15000_4		-0.000				
		(0.000)				
t15000_int1	0.000	0.001	-0.000	0.000	0.003	0.000
	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.000)
t15000_int2	0.000	-0.000	0.000			
	(0.000)	(0.000)	(0.000)			
t15000_int3	0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
o.north	-	-	-			-
						
CE	-0.503***	-0.507***	-0.503***	0.380		-0.514*
	(0.178)	(0.177)	(0.178)	(0.478)		(0.264)
south	-0.610**	-0.613**	-0.612**		-1.823***	-0.512
	(0.259)	(0.262)	(0.259)		(0.635)	(0.481)
area	-0.004***	-0.004***	-0.004***	-0.006**	-0.004	-0.005***
	(0.001)	(0.001)	(0.001)	(0.002)	(0.003)	(0.002)
alt_max	0.000***	0.000***	0.000***	0.000	0.000**	0.000*
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
end_rev_transf_pc	-0.001***	-0.001***	-0.001***	0.001**	0.001	-0.000
	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)
income_pc	0.000	0.000	0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
elderly_index	-0.013	-0.006	0.007	0.557	0.978**	0.113
	(0.191)	(0.192)	(0.191)	(0.352)	(0.392)	(0.274)
active_pop	-5.283***	-5.313***	-5.221***	-7.581**	-14.295***	-2.356
	(1.994)	(2.000)	(1.994)	(3.403)	(5.161)	(3.412)
family_size	-0.912**	-0.902**	-0.896**	-0.826	1.492	-1.082*
	(0.364)	(0.363)	(0.365)	(1.015)	(0.990)	(0.597)
duration	-0.000***	-0.000***	-0.000***	-0.001***	-0.001**	-0.001***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
o.term_limit	-	-	-	-	-	-
						
north				1.170**	1.098**	
				(0.583)	(0.500)	
o.south				-		
						
o.CE					-	
						
						
Observations	783	783	783	137	67	284
R-squared	0.166	0.168	0.165	0.334	0.420	0.187
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
