	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	var_ord	var_ord	var_ord	var_ord	var_ord	var_ord
						
t15000	-0.455**	-0.647***	-0.238*	-0.651**	-0.697*	-0.378**
	(0.182)	(0.240)	(0.140)	(0.255)	(0.389)	(0.160)
pop15000	0.000*	0.001	0.000	0.000	0.001	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
pop15000_2	0.000	0.000	0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000	0.000				
	(0.000)	(0.000)				
pop15000_4		0.000				
		(0.000)				
t15000_int1	-0.000	0.000	-0.000	0.000	-0.001	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
t15000_int2	-0.000**	-0.000**	-0.000*			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
						
Observations	575	575	575	118	59	236
R-squared	0.021	0.027	0.012	0.108	0.193	0.034
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
