	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	var_ord	var_ord	var_ord	var_ord	var_ord	var_ord
						
t15000	-0.450***	-0.614***	-0.237*	-0.563***	-0.167	-0.377***
	(0.170)	(0.224)	(0.132)	(0.211)	(0.167)	(0.140)
pop15000	0.000*	0.001	0.000	0.000	-0.001*	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
pop15000_2	0.000*	0.000	0.000			
	(0.000)	(0.000)	(0.000)			
pop15000_3	0.000	0.000				
	(0.000)	(0.000)				
pop15000_4		0.000				
		(0.000)				
t15000_int1	-0.000	0.000	-0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)
t15000_int2	-0.000**	-0.000**	-0.000			
	(0.000)	(0.000)	(0.000)			
t15000_int3	-0.000	0.000				
	(0.000)	(0.000)				
t15000_int4		-0.000				
		(0.000)				
north	-0.077	-0.082	-0.077	0.580**	0.174	-0.066
	(0.111)	(0.111)	(0.111)	(0.261)	(0.404)	(0.228)
CE	-0.044	-0.043	-0.043	0.614***	0.600	0.038
	(0.096)	(0.097)	(0.096)	(0.226)	(0.391)	(0.197)
area	0.000	0.000	0.000	0.001	0.001	-0.000
	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)
alt_max	-0.000	-0.000	-0.000	-0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
end_rev_transf_pc	-0.000	-0.000	-0.000*	-0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
income_pc	-0.000	-0.000	-0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
elderly_index	-0.024	-0.032	-0.032	-0.564***	-0.237	-0.174
	(0.071)	(0.072)	(0.070)	(0.197)	(0.292)	(0.113)
active_pop	0.198	0.174	0.167	-5.879***	-2.017	-1.410
	(0.805)	(0.806)	(0.812)	(1.886)	(2.426)	(1.455)
family_size	-0.466***	-0.471***	-0.464***	-0.366	-1.079**	-0.724*
	(0.172)	(0.174)	(0.169)	(0.348)	(0.414)	(0.384)
duration	-0.000**	-0.000**	-0.000**	-0.001***	-0.002***	-0.001***
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
term_limit	-0.069	-0.071	-0.050	0.295	1.357***	0.371
	(0.156)	(0.155)	(0.156)	(0.379)	(0.306)	(0.287)
						
Observations	575	575	575	118	59	236
R-squared	0.056	0.061	0.048	0.374	0.671	0.160
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
