"","est1","","",""
"","b","se","t","p"
"block1","-.0241576",".0090911","-2.657276",".0080497"
"block2","-.0372287",".0121735","-3.058185",".0023082"
"1991.year","0",".",".","."
"1992.year",".0055463",".0034616","1.602216",".1095405"
"1993.year",".0085752",".0050142","1.710177",".0876581"
"1995.year",".0320358",".0073273","4.372128",".0000141"
"1996.year",".0453827",".00853","5.320336","1.38e-07"
"1997.year",".0522901",".0091397","5.72117","1.54e-08"
"1998.year",".0603535",".0103048","5.856823","7.13e-09"
"1999.year",".0716839",".0111587","6.424049","2.39e-10"
"2000.year",".0833349",".0125528","6.638775","6.17e-11"
"2001.year",".0896366",".013919","6.43985","2.17e-10"
"2002.year",".1001166",".015273","6.555157","1.05e-10"
"2003.year",".1088045",".0168831","6.444593","2.10e-10"
"2004.year",".1175767",".0185345","6.343664","3.93e-10"
"2005.year",".1227824",".0200495","6.123971","1.49e-09"
"2006.year",".133821",".0219094","6.107923","1.64e-09"
"2007.year",".1420171",".0235479","6.03099","2.59e-09"
"2008.year",".1518129",".0256904","5.909324","5.27e-09"
"2009.year",".1598793",".0272876","5.859054","7.04e-09"
"2010.year",".1707227",".0285676","5.976085","3.57e-09"
"100654.unitid#c.year","-.0151823",".0012775","-11.88392","6.71e-30"
"100663.unitid#c.year",".003846",".0012417","3.097404",".002027"
"100751.unitid#c.year","-.0008648",".0008062","-1.072666",".2837756"
"100858.unitid#c.year",".0003125",".0012016",".260045",".7949024"
"101435.unitid#c.year","-.0082117",".0012569","-6.533469","1.21e-10"
"101480.unitid#c.year","-.0092563",".0012788","-7.238419","1.15e-12"
"101675.unitid#c.year","-.029969",".0013065","-22.93882","4.13e-88"
"101879.unitid#c.year","-.0092257",".0013112","-7.036044","4.56e-12"
"102049.unitid#c.year","-.0038708",".0012743","-3.037654",".0024693"
"102094.unitid#c.year","-.0044338",".0012603","-3.518042",".0004617"
"102234.unitid#c.year","-.0058065",".0013694","-4.240087",".0000252"
"102368.unitid#c.year","-.0188895",".0012922","-14.6176","1.24e-42"
"102377.unitid#c.year","-.0077128",".0012532","-6.154575","1.24e-09"
"104151.unitid#c.year",".0049552",".0002801","17.68992","1.51e-58"
"104179.unitid#c.year",".0012935",".0006736","1.920235",".0552175"
"105330.unitid#c.year",".0007454",".0010779",".691568",".4894286"
"106245.unitid#c.year","-.0071816",".0012131","-5.920069","4.95e-09"
"106342.unitid#c.year","-.0081354",".0013013","-6.251705","6.90e-10"
"106397.unitid#c.year",".0033452",".0009275","3.606695",".0003312"
"106412.unitid#c.year","-.0080665",".0013298","-6.065857","2.11e-09"
"106458.unitid#c.year","-.0021078",".0012327","-1.710006",".0876897"
"106467.unitid#c.year","-.0053994",".0012728","-4.24229",".000025"
"106485.unitid#c.year","-.0065251",".0013613","-4.793169","1.99e-06"
"106704.unitid#c.year","-.0024451",".0011614","-2.105305",".0356059"
"107044.unitid#c.year",".0006115",".0012123",".5044181",".6141198"
"107080.unitid#c.year",".0027563",".0017195","1.602998",".1093676"
"107141.unitid#c.year",".0077614",".0012996","5.971971","3.66e-09"
"107512.unitid#c.year",".0011366",".001327",".8565525",".3919733"
"107558.unitid#c.year",".0015986",".0013751","1.162552",".2453913"
"110097.unitid#c.year","-.0000518",".0013435","-.0385394",".9692681"
"110404.unitid#c.year","-.0018053",".0012997","-1.389044",".1652431"
"110422.unitid#c.year",".0069989",".0013318","5.255195","1.94e-07"
"110486.unitid#c.year","-.0063659",".0014361","-4.432738",".0000107"
"110495.unitid#c.year","-.0089433",".0014441","-6.192983","9.85e-10"
"110510.unitid#c.year","-.0053749",".0013651","-3.937254",".0000903"
"110529.unitid#c.year","-.0049738",".0014517","-3.426185",".0006464"
"110538.unitid#c.year","-.0026471",".0014318","-1.848813",".0648889"
"110547.unitid#c.year","-.0080407",".0013987","-5.748708","1.32e-08"
"110556.unitid#c.year","-.0069366",".0014209","-4.881942","1.29e-06"
"110565.unitid#c.year","-.0048259",".0011733","-4.113102",".0000435"
"110574.unitid#c.year","-.0077328",".0013918","-5.555794","3.87e-08"
"110583.unitid#c.year","-.0034835",".0012102","-2.878401",".0041138"
"110592.unitid#c.year","-.0076559",".0013852","-5.526817","4.54e-08"
"110617.unitid#c.year","-.0082972",".0013391","-6.196124","9.67e-10"
"113698.unitid#c.year",".0045229",".0017054","2.652089",".0081732"
"115755.unitid#c.year","-.0048212",".0014791","-3.259416",".0011682"
"119173.unitid#c.year","-.0062003",".0013848","-4.477434","8.76e-06"
"120184.unitid#c.year","-.0061697",".0013876","-4.446272",".0000101"
"121309.unitid#c.year",".0145503",".0013847","10.50812","3.79e-24"
"121345.unitid#c.year","-.0012946",".0015689","-.8251762",".4095412"
"122409.unitid#c.year",".0073242",".0012697","5.768446","1.18e-08"
"122436.unitid#c.year",".0022328",".0015882","1.405859",".1601915"
"122597.unitid#c.year","-.0043133",".0013086","-3.296141",".0010276"
"122612.unitid#c.year",".0024185",".0015595","1.550816",".1213793"
"122931.unitid#c.year","-.0027047",".0016319","-1.657418",".0978647"
"123554.unitid#c.year","-.013467",".0016396","-8.213387","9.76e-16"
"123572.unitid#c.year","-.0016262",".0013819","-1.176844",".2396414"
"126562.unitid#c.year","-.0077215",".0006481","-11.91472","4.93e-30"
"126580.unitid#c.year","-.0015742",".0012398","-1.269708",".2045932"
"126614.unitid#c.year","-.003321",".0007068","-4.698344","3.13e-06"
"126818.unitid#c.year","-.0023844",".0008587","-2.776735",".0056316"
"127060.unitid#c.year","-.0015215",".0013971","-1.089101",".2764686"
"127185.unitid#c.year",".0009155",".0015818",".578769",".5629236"
"127565.unitid#c.year","-.0075714",".0012977","-5.834235","8.12e-09"
"127741.unitid#c.year","-.0034076",".0013127","-2.595819",".0096263"
"128106.unitid#c.year","-.0032703",".0013878","-2.356491",".0187118"
"128744.unitid#c.year","-.0095174",".0013521","-7.038876","4.48e-12"
"128771.unitid#c.year","-.0003241",".0012112","-.2676286",".7890608"
"129020.unitid#c.year",".0111625",".0006146","18.16136","4.20e-61"
"129242.unitid#c.year","-.0055017",".0016488","-3.336755",".0008906"
"129941.unitid#c.year",".0062915",".0015732","3.999155",".00007"
"130253.unitid#c.year",".0092685",".0015385","6.024285","2.69e-09"
"130314.unitid#c.year","-.009335",".0013992","-6.671823","4.99e-11"
"130493.unitid#c.year","-.0069343",".0013309","-5.210376","2.45e-07"
"130590.unitid#c.year","-.0041348",".001536","-2.691968",".0072659"
"130697.unitid#c.year","-.0002966",".001566","-.1894245",".8498128"
"130776.unitid#c.year","-.0096642",".0013437","-7.192405","1.58e-12"
"130794.unitid#c.year","-.0094465",".0017674","-5.344816","1.21e-07"
"130934.unitid#c.year","-.0035954",".001306","-2.753047",".0060511"
"130943.unitid#c.year","-.0033095",".0008684","-3.8109",".0001501"
"131159.unitid#c.year",".0032944",".0013416","2.455554",".0142988"
"131283.unitid#c.year","-.0045507",".0014344","-3.172521",".0015745"
"131450.unitid#c.year","-.0010259",".001282","-.800258",".4238217"
"131469.unitid#c.year",".0022034",".0015355","1.434915",".1517395"
"131496.unitid#c.year","-.004081",".0014431","-2.827999",".0048123"
"131520.unitid#c.year","-.0026257",".000928","-2.829298",".0047931"
"132471.unitid#c.year","-.0136774",".0013442","-10.17528","7.84e-23"
"132602.unitid#c.year","-.0078478",".0013128","-5.978071","3.53e-09"
"132903.unitid#c.year","-.0004952",".0006213","-.797093",".4256562"
"133492.unitid#c.year","-.005584",".0014729","-3.791131",".0001623"
"133553.unitid#c.year",".0010761",".001598",".673412",".5008984"
"133650.unitid#c.year","-.0117014",".0011341","-10.31822","2.15e-23"
"133669.unitid#c.year","-.0067819",".0009952","-6.814401","1.98e-11"
"133711.unitid#c.year","-.0036035",".0012696","-2.838267",".0046619"
"133881.unitid#c.year",".0010533",".0014826",".7104082",".477678"
"133951.unitid#c.year","-.0056211",".0009381","-5.991957","3.26e-09"
"134079.unitid#c.year","-.0029079",".0014144","-2.055898",".0401474"
"134097.unitid#c.year",".003128",".0007231","4.325816",".0000173"
"134130.unitid#c.year",".0078644",".0011653","6.748585","3.04e-11"
"134945.unitid#c.year","-.0076087",".0013888","-5.478548","5.91e-08"
"135726.unitid#c.year",".0062298",".0015162","4.108972",".0000442"
"136172.unitid#c.year","-.0053962",".0011483","-4.699211","3.12e-06"
"136950.unitid#c.year",".0005007",".0015333",".3265682",".7440881"
"137546.unitid#c.year","-.0027519",".0014451","-1.904259",".0572693"
"138354.unitid#c.year","-.0033235",".0012808","-2.594895",".009652"
"138716.unitid#c.year","-.0053481",".001555","-3.439283",".0006164"
"138789.unitid#c.year","-.0036901",".0014632","-2.522037",".0118794"
"139144.unitid#c.year","-.0026187",".0013957","-1.876302",".0610125"
"139366.unitid#c.year","-.0033318",".0014594","-2.282996",".0227172"
"139393.unitid#c.year","-.0016764",".0013768","-1.217614",".2237643"
"139658.unitid#c.year","-.0076999",".0023745","-3.242733",".0012377"
"139719.unitid#c.year","-.0057333",".0015087","-3.800166",".0001567"
"139755.unitid#c.year",".0011945",".0009622","1.241488",".2148244"
"139764.unitid#c.year","-.0086326",".0015273","-5.652307","2.27e-08"
"139861.unitid#c.year",".0084375",".001412","5.975481","3.59e-09"
"139931.unitid#c.year","-.000052",".0013338","-.0389668",".9689275"
"139940.unitid#c.year",".0015977",".0011339","1.409093",".1592336"
"139959.unitid#c.year",".0042166",".0010505","4.013979",".0000659"
"140447.unitid#c.year",".0054865",".001505","3.645457",".0002859"
"140960.unitid#c.year","-.0055348",".0015127","-3.658892",".0002715"
"140988.unitid#c.year","-.0085935",".0012189","-7.050201","4.15e-12"
"141185.unitid#c.year",".0017151",".0013483","1.272071",".2037528"
"141264.unitid#c.year","-.0067091",".0014236","-4.712885","2.92e-06"
"141334.unitid#c.year","-.0029643",".0014267","-2.077668",".038089"
"141486.unitid#c.year","-.0036283",".0013246","-2.739062",".0063118"
"141565.unitid#c.year","-.0069675",".0012854","-5.42065","8.08e-08"
"141574.unitid#c.year","-.0030717",".0014432","-2.128387",".0336393"
"142276.unitid#c.year","-.0048461",".0012188","-3.976086",".000077"
"142285.unitid#c.year","-.001365",".0013293","-1.026837",".3048375"
"142461.unitid#c.year",".0001485",".00155",".0958312",".9236809"
"143084.unitid#c.year","-.0016725",".0014465","-1.156228",".2479663"
"143288.unitid#c.year","-.0057185",".0014079","-4.061796",".000054"
"144005.unitid#c.year","-.0083025",".0012964","-6.404226","2.71e-10"
"144281.unitid#c.year",".00381",".0011512","3.309487",".0009806"
"144740.unitid#c.year",".0035239",".0010724","3.285939",".001065"
"144892.unitid#c.year","-.0078805",".0011878","-6.634661","6.34e-11"
"144962.unitid#c.year",".0031481",".0015033","2.094114",".0365942"
"144971.unitid#c.year","-.0140202",".0013678","-10.25015","3.99e-23"
"145600.unitid#c.year",".002724",".0009856","2.763959",".0058544"
"145619.unitid#c.year","-.0079745",".0014589","-5.466193","6.32e-08"
"145637.unitid#c.year",".002186",".0008115","2.693928",".0072238"
"145691.unitid#c.year",".0057021",".0013034","4.374602",".0000139"
"145813.unitid#c.year",".0039506",".0010603","3.72591",".0002096"
"146481.unitid#c.year","-.0033701",".001496","-2.252747",".0245713"
"146612.unitid#c.year","-.0017943",".001343","-1.336029",".181956"
"146719.unitid#c.year",".0043588",".0017052","2.556252",".010782"
"146825.unitid#c.year","-.019028",".0013356","-14.24627","8.18e-41"
"147013.unitid#c.year","-.0047688",".0012898","-3.697196",".0002343"
"147244.unitid#c.year","-.0106324",".0013739","-7.739008","3.34e-14"
"147341.unitid#c.year","-.006615",".0013097","-5.050731","5.57e-07"
"147703.unitid#c.year","-.0061788",".0010763","-5.74066","1.38e-08"
"147767.unitid#c.year","-.0059875",".0014267","-4.196789",".0000304"
"147776.unitid#c.year","-.006327",".0012128","-5.216864","2.37e-07"
"147828.unitid#c.year","-.0006205",".0013468","-.4606968",".6451534"
"148131.unitid#c.year","-.0047371",".0013446","-3.523148",".000453"
"148496.unitid#c.year","-.0024862",".001306","-1.903649",".0573489"
"148584.unitid#c.year","-.0068542",".001412","-4.854161","1.48e-06"
"148627.unitid#c.year","-.0058878",".0013101","-4.494108","8.12e-06"
"149222.unitid#c.year","-.0021425",".0010097","-2.121809",".03419"
