	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	gradrate4yr	womengradrate4yr	mengradrate4yr	urmgradrate4yr	nonurmgradrate4yr	gradrate4yr	gradrate4yr
							
block1	-0.019**	-0.016	-0.023***	-0.021**	-0.017*	-0.017*	-0.013
	(0.008)	(0.011)	(0.008)	(0.011)	(0.010)	(0.009)	(0.016)
block2	-0.031***	-0.029**	-0.033***	-0.035**	-0.030**	-0.023**	-0.035*
	(0.010)	(0.014)	(0.010)	(0.014)	(0.012)	(0.011)	(0.021)
Constant	5.240***	10.693***	1.635	-2.945	5.891***	3.976*	-6.749***
	(1.558)	(1.562)	(1.669)	(1.990)	(1.650)	(2.168)	(2.432)
							
Observations	13,889	13,865	13,824	13,883	13,799	6,365	7,524
R-squared	0.972	0.962	0.957	0.902	0.947	0.968	0.953
School FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Controls	Yes	No	No	No	No	No	No
Time Trends	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
