"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"punemp1",".0728695",".0055228","13.19424","4.89e-31","","","",""
"punemp4","","","","",".0143609",".0143413","1.001363",".3175514"
"punemp7","","","","",".0220061",".0052341","4.204377",".0000357"
"punemp13","","","","",".0162949",".0071421","2.281529",".0232988"
"_cons",".5864794",".0404618","14.49465","1.22e-35",".5978357",".0386132","15.48267","4.26e-39"
"N","306","","","","306","","",""
"r2",".3911315","","","",".4204736","","",""
"df_m","34","","","","36","","",""
"df_r","271","","","","269","","",""
"df_b","1","","","","3","","",""
"df","","","","","","","",""
