"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"PovertyPercentAllAges","-7.304921","4.964688","-1.471376",".1477157","-.0437857",".0180615","-2.424255",".0191557","-7.950842","5.13533","-1.548263",".121559",".0272727",".0331744",".8221027",".4110184","-.9283564",".3324493","-2.792476",".0052306","-.6965557","1.080136","-.6448777",".5190065","-1.48642","1.607974","-.9244053",".3552753","-3.715446","2.690566","-1.380917",".1673046","-1.151336",".6506415","-1.76954",".0768038"
"lMedian","247.6076","147.6258","1.677265",".099992","-1.448136",".6784082","-2.134609",".0379268","111.1932","152.3358",".7299214",".4654382","2.697734","1.720446","1.568044",".116871","1.144761","7.392646",".1548513",".8769385","37.49238","31.04271","1.207768",".2271366","-31.36327","38.8085","-.8081545",".4190017","55.77973","89.51511",".623132",".5331978","45.44181","19.30033","2.354458",".0185498"
"Unempl_Rate","-22.52977","6.313803","-3.568335",".0008273","-.1221201",".0696139","-1.754249",".0857704","-30.91951","7.39708","-4.179962",".0000292","-.1400046",".0600896","-2.32993",".0198098","-2.092041",".8534124","-2.451384",".0142308","-2.020788","1.447883","-1.395685",".1628093","-5.931119","2.363258","-2.509721",".0120827","-15.55945","4.723008","-3.294395",".0009863","-5.176105",".7624956","-6.788373","1.13e-11"
"lpop","-722.8629","241.8201","-2.989258",".0044","-.1959448",".1740618","-1.12572",".2658813","-730.9435","238.3966","-3.066081",".0021688","-1.833904","1.025488","-1.788323",".073724","-10.18496","4.417948","-2.30536",".0211464","-61.83238","35.14705","-1.759248",".0785354","-118.1888","72.40006","-1.632441",".1025866","-498.4272","110.154","-4.524822","6.04e-06","-40.47626","23.55553","-1.718334",".0857358"
"sharemale","1586.711","1391.073","1.140638",".2596799","1.27532","5.992718",".2128116",".8323751","1492.304","1479.208","1.008854",".3130448","-10.98222","18.96064","-.5792118",".5624463","43.47243","69.58196",".6247658",".5321248","41.95644","208.0802",".201636",".8402013","265.3154","495.3928",".5355658",".5922587","863.5833","794.4422","1.087031",".2770231","288.9587","198.4197","1.4563",".1453097"
"shareblack","-3196.065","1713.308","-1.865435",".0682388","-11.83212","6.16526","-1.91916",".06092","-3467.042","1714.654","-2.022007",".0431756","-.3712785","7.718687","-.0481012",".9616356","-231.4531","132.6634","-1.744665",".0810433","384.0946","279.1454","1.375966",".1688321","-897.7747","451.0601","-1.990366",".0465506","-2190.309","947.0738","-2.312712",".0207385","-531.2288","313.5481","-1.69425",".0902178"
"shareage1519","2360.873","1501.394","1.572454",".1224144","-6.74165","8.13858","-.8283571",".4115683","1771.42","1424.829","1.243251",".2137753","-5.417436","13.19721","-.4104987",".6814402","136.3297","112.133","1.215786",".2240665","607.1866","337.6369","1.798342",".0721228","625.8801","497.8183","1.257246",".2086646","82.14624","758.6269",".1082828",".9137714","325.2956","298.277","1.090582",".2754567"
"shareage2024","2399.441","1770.882","1.354941",".1817793","1.152677","8.795719",".1310497",".8962837","2686.095","1788.253","1.502078",".1330771","-13.2423","23.23661","-.5698896",".5687526","91.02018","74.7567","1.217552",".2233942","-103.0069","225.5037","-.4567857",".6478251","1011.763","590.6512","1.712962",".0867196","1118.757","1133.466",".9870231",".3236313","580.8041","210.4505","2.759813",".0057834"
"shareage2529","77.9432","1559.651",".0499748",".9603499","-3.360125","5.26207","-.6385557",".5261472","-372.3969","1629.952","-.2284711",".81928","-1.32194","19.06695","-.0693315",".9447258","-113.2969","61.18778","-1.851627",".0640794","47.59851","236.954",".2008766",".8407951","-587.8932","444.8981","-1.321411",".1863643","102.0775","913.5221",".1117406",".9110291","180.4395","259.3596",".6957114",".4866096"
