"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"per_own_U55_total","-90.6392","17.45845","-5.19171","6.03e-07","-39.62554","14.00089","-2.830217",".0052683","-.434622",".0803595","-5.408471","2.19e-07","-.2769691",".0717334","-3.86109",".0001654","-2.550169",".7502736","-3.398985",".000847","-1.855023",".8962799","-2.069692",".0401408","-.2858978",".0600638","-4.759904","4.19e-06","-.2674813",".0584537","-4.575952","9.66e-06"
"ln_density","","","","","226.1816","155.8034","1.451712",".1486029","","","","","1.256926",".6947273","1.809236",".072352","","","","","15.85687","6.87965","2.304894",".0224994","","","","",".7893818",".4892317","1.613513",".1086671"
"inc_val","","","","","-3026.404","1531.893","-1.975598",".0499758","","","","","-2.965124","7.898665","-.3753956",".7078795","","","","","-41.61036","72.75554","-.5719202",".5682046","","","","","8.456364","6.015266","1.405817",".1617798"
"ln_city_pop","","","","","228.0797","148.0188","1.540884",".1253842","","","","",".3765369",".523653",".719058",".4731878","","","","","-1.42243","5.602314","-.2539005",".7999089","","","","","-.0939942",".2954385","-.3181513",".7507984"
"pop_change1980","","","","","-60.75496","105.4683","-.5760496",".5654171","","","","","-.3132171",".3839511","-.8157735",".4158815","","","","","4.669211","4.530888","1.030529",".3043671","","","","","-.1852336",".2126856","-.870927",".3851409"
"liabilities_pop","","","","",".0031644",".0135615",".2333388",".8158062","","","","","-.0000125",".0000525","-.2388209",".81156","","","","","-.0003802",".0002965","-1.282482",".2015881","","","","","-.000025",".0000374","-.669805",".5039787"
"regd1","","","","","1113.672","441.7719","2.520922",".0127158","","","","","5.120072","1.979972","2.585932",".010632","","","","","20.50349","21.2882",".9631385",".3369782","","","","","3.261402","1.318096","2.474327",".0144264"
"regd2","","","","","733.5972","378.5661","1.937831",".0544615","","","","","3.189359","1.502923","2.122104",".0354185","","","","","17.81903","21.27273",".8376468",".4035188","","","","","2.182735",".9455715","2.308377",".0222999"
"regd3","","","","","226.2939","246.6091",".9176217",".3602426","","","","",".6884021",".9748321",".706175",".4811394","","","","","-13.11475","13.77227","-.9522574",".342449","","","","",".1295853",".6026377",".2150302",".8300264"
"_cons","4018.315","546.5435","7.352232","8.46e-12","-1613.957","2071.675","-.7790589",".4371328","18.54327","2.487549","7.454437","4.74e-12","-1.303222","7.668102","-.1699536",".8652682","144.6797","22.57674","6.408352","1.46e-09","25.13974","93.64438",".2684597",".7887024","11.92766","1.862028","6.405736","1.48e-09","3.156696","4.679278",".6746118",".5009274"
"N","168","","","","165","","","","168","","","","165","","","","168","","","","165","","","","168","","","","165","","",""
"r2",".1717931","","","",".3090383","","","",".2121913","","","",".3381236","","","",".0618143","","","",".1596099","","","",".1959085","","","",".3664207","","",""
"df_m","1","","","","9","","","","1","","","","9","","","","1","","","","9","","","","1","","","","9","","",""
"df_r","166","","","","155","","","","166","","","","155","","","","166","","","","155","","","","166","","","","155","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
