"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"fpm",".014083",".0065401","2.153331",".0312927",".0220221",".0076632","2.873752",".0040563"
"pop","-.00004",".0000227","-1.760065",".0783968","-.0000224",".0000275","-.8141822",".4155406"
"pop_2","8.56e-10","7.66e-10","1.117772",".2636644","-2.63e-10","9.39e-10","-.2803929",".7791761"
"pop_3","-9.12e-15","9.78e-15","-.9324736",".3510918","5.62e-15","1.19e-14",".4705495",".6379625"
"_Iterm_2005",".1025586",".0365518","2.805846",".0050185",".0998572",".0459429","2.173508",".0297421"
"_Iregions_2",".0087197",".0694921",".1254773",".9001457","-.0111997",".0988234","-.11333",".9097689"
"_Iregions_3","-.0801168",".0780185","-1.026896",".3044695","-.0505113",".1078154","-.4684976",".6394288"
"_Iregions_4","-.1171096",".0712322","-1.644054",".100165","-.2054861",".0994389","-2.066457",".0387854"
"_Iregions_5",".0156429",".0652808",".2396254",".8106207",".1053489",".1027419","1.025374",".3051868"
"_Iregions_6","-.0739905",".0832054","-.8892514",".373868","-.0791854",".1082462","-.7315306",".4644551"
"_Iregions_7",".0768174",".1025427",".7491256",".4537815",".0616478",".1319194",".4673142",".6402751"
"_Iregions_8","-.026871",".0903228","-.2974999",".7660849","-.2626898",".1152309","-2.279681",".0226266"
"_Iregions_9","-.0217391",".0766967","-.2834418",".7768382","-.0708266",".1095831","-.646328",".5180669"
"_Iregions_10","-.0124763",".0567784","-.2197362",".8260766",".0495259",".0902012",".5490604",".582964"
"_Iregions_11","-.155337",".0690973","-2.248092",".0245703","-.1823795",".0999471","-1.82476",".0680372"
"_Iregions_12","-.146899",".0657861","-2.232978",".0255504","-.2344688",".0929215","-2.5233",".0116259"
"_Iregions_13","-.0644097",".0773676","-.8325152",".4051182","-.0785011",".1139728","-.6887703",".4909678"
"_Iregions_14","-.2849938",".0803335","-3.547634",".0003887","-.2911618",".097319","-2.991829",".0027731"
"_Iregions_15","-.0328036",".1103731","-.2972063",".766309","-.0576592",".1452481","-.3969705",".6913892"
"_Iregions_16","-.1800475",".0791254","-2.275471",".0228777","-.2453579",".0991699","-2.474117",".0133566"
"_Iregions_17","-.088908",".0604601","-1.470524",".1414199","-.2193787",".0932062","-2.353693",".0185879"
"_Iregions_18","-.2092317",".0958217","-2.183553",".0289951","-.2737651",".1064614","-2.571496",".010126"
"_Iregions_19",".0092767",".0787166",".1178496",".9061868","-.1271762",".1111162","-1.144533",".2524026"
"_Iregions_20","-.0990874",".071074","-1.394144",".1632743","-.0507548",".1016597","-.4992616",".6175951"
"_cons",".8452797",".1152332","7.335385","2.21e-13",".2672246",".1547724","1.726565",".0842458"
"N","1202","","","","1202","","",""
"r2",".0722044","","","",".1190454","","",""
"df_m","24","","","","24","","",""
"df_r","","","","","","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
