"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"fpm","-.0081833",".0037654","-2.173275",".0297596","-.0769507",".0258603","-2.975628",".0029239",".0120687",".0045284","2.6651",".0076965"
"pop",".0000518",".0000145","3.570548",".0003562",".0004085",".0001012","4.036875",".0000542","-.0000248",".0000174","-1.424716",".1542393"
"pop_2","-1.35e-09","4.84e-10","-2.782437",".0053952","-9.52e-09","3.32e-09","-2.868736",".0041212","2.09e-10","5.87e-10",".3562252",".7216719"
"pop_3","1.42e-14","5.87e-15","2.421695",".0154483","9.40e-14","3.94e-14","2.383863",".017132","8.52e-16","7.21e-15",".118132",".9059631"
"_Iterm_2005",".0272455",".0218652","1.246071",".2127384",".344523",".1580198","2.180252",".0292388",".0476649",".026628","1.790032",".0734487"
"_Iregions_2","-.1528982",".0333087","-4.590343","4.43e-06","-.7639856",".2253582","-3.390094",".0006987","-.0780123",".0400047","-1.950077",".0511669"
"_Iregions_3","-.0659758",".0413697","-1.594786",".11076","-.0445882",".2497073","-.1785618",".8582818","-.0790231",".0484772","-1.630109",".1030785"
"_Iregions_4","-.2978464",".0453651","-6.565538","5.18e-11","-2.406333",".3508766","-6.858061","6.98e-12",".054697",".0567403",".9639891",".3350514"
"_Iregions_5","-.2144834",".054695","-3.921442",".000088","-1.466243",".3971415","-3.69199",".0002225","-.0296113",".0698726","-.4237897",".6717192"
"_Iregions_6",".0351429",".0458073",".7671915",".4429677",".3813652",".2924538","1.304019",".1922272",".0068738",".0546776",".1257152",".8999573"
"_Iregions_7","-.0665802",".0482696","-1.379338",".1677905","-.261287",".3265896","-.8000469",".4236836","-.035296",".053602","-.6584827",".510228"
"_Iregions_8","-.2606201",".0464821","-5.606886","2.06e-08","-1.479459",".3541836","-4.177095",".0000295","-.0224237",".0610019","-.3675895",".7131793"
"_Iregions_9",".0093012",".045305",".2053018",".8373364","-.0514032",".309568","-.1660482",".868119",".0692269",".0511848","1.35249",".1762185"
"_Iregions_10","-.1573315",".0434764","-3.618779",".000296","-.7513235",".3275685","-2.293638",".0218113",".0345343",".0507663",".6802601",".4963398"
"_Iregions_11",".0951251",".0509612","1.866618",".0619549",".7921217",".3199772","2.475557",".0133029",".0459005",".0668355",".6867684",".4922287"
"_Iregions_12","-.3402867",".065468","-5.197757","2.02e-07","-2.83443",".5842966","-4.851012","1.23e-06","-.0894282",".0895695","-.998422",".3180748"
"_Iregions_13","-.0617207",".0405163","-1.523356",".1276695","-.2892542",".2739639","-1.055811",".2910544","-.0443906",".0457837","-.9695709",".3322604"
"_Iregions_14","-.1376947",".0394329","-3.491874",".0004796","-.8951398",".2773356","-3.227642",".0012482","-.1005264",".0458774","-2.191198",".0284375"
"_Iregions_15","-.0743841",".0574036","-1.295808",".1950415","-.730178",".3955649","-1.845912",".064905",".0538781",".0742269",".7258567",".4679266"
"_Iregions_16","-.1336964",".031001","-4.312649",".0000161","-1.00979",".2125715","-4.750355","2.03e-06","-.0320523",".0350803","-.9136846",".3608826"
"_Iregions_17","-.0115529",".045108","-.2561169",".7978606","-.0782626",".2884065","-.271362",".7861126","-.0039768",".0522934","-.0760484",".9393806"
"_Iregions_18","-.1925249",".0584279","-3.295085",".0009839","-1.130593",".3925508","-2.880119",".0039753",".0591604",".0670404",".8824583",".377529"
"_Iregions_19","-.046362",".0414225","-1.119247",".2630349","-.0948227",".2607989","-.3635856",".7161674",".0195065",".0466851",".4178322",".6760698"
"_Iregions_20","-.113381",".0605531","-1.872423",".0611481","-.7192266",".4493949","-1.600434",".1095024",".0548224",".0755126",".7260031",".4678369"
"_cons",".260666",".072761","3.582494",".0003403","10.417",".5249937","19.84214","0",".5239914",".0863744","6.066509","1.31e-09"
"N","2877","","","","2877","","","","2877","","",""
"r2",".061338","","","",".0660813","","","",".0198263","","",""
"df_m","24","","","","24","","","","24","","",""
"df_r","","","","","","","","","","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
