	(1)	(2)	(3)	(4)
VARIABLES	broad	narrow	fraction_broad	fraction_narrow
				
fpm	0.102**	0.139**	2.627**	1.407**
	(0.047)	(0.059)	(1.198)	(0.714)
fonz1	-0.007	-0.009	-0.090	-0.116
	(0.005)	(0.007)	(0.143)	(0.088)
opp_college	0.246	0.299	1.993	3.377
	(0.151)	(0.188)	(4.257)	(2.747)
pop	0.000	0.000	0.005	-0.001
	(0.000)	(0.000)	(0.004)	(0.002)
pop_2	-0.000	-0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
pop_3	0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
urb	0.673*	0.625	9.309	5.113
	(0.358)	(0.443)	(8.774)	(5.560)
literacy	5.054*	6.536**	135.209**	58.817
	(2.632)	(3.331)	(65.663)	(38.384)
income	-0.006**	-0.007**	-0.143**	-0.055
	(0.003)	(0.004)	(0.067)	(0.040)
inter_urb	-0.025*	-0.019	-0.177	-0.099
	(0.013)	(0.017)	(0.307)	(0.183)
inter_literacy	-0.206**	-0.273**	-5.962**	-2.854*
	(0.102)	(0.129)	(2.588)	(1.555)
inter_income	0.000**	0.000**	0.006**	0.003
	(0.000)	(0.000)	(0.003)	(0.002)
_Iterm_2005	0.095***	0.066	-0.484	-2.041***
	(0.036)	(0.050)	(0.990)	(0.576)
_Iregions_2	0.059	0.079	1.826	0.229
	(0.086)	(0.123)	(2.150)	(1.477)
_Iregions_3	-0.059	0.011	-0.582	-0.095
	(0.107)	(0.147)	(2.364)	(1.476)
_Iregions_4	-0.063	-0.110	-1.458	-1.098
	(0.099)	(0.131)	(1.985)	(1.379)
_Iregions_5	0.030	0.073	-0.282	-1.492
	(0.085)	(0.128)	(2.337)	(1.391)
_Iregions_6	-0.013	-0.078	1.092	-0.376
	(0.100)	(0.127)	(2.219)	(1.360)
_Iregions_7	0.030	0.006	-2.157	-0.554
	(0.130)	(0.152)	(2.413)	(1.674)
_Iregions_8	0.042	-0.172	0.578	0.613
	(0.105)	(0.155)	(2.758)	(2.051)
_Iregions_9	0.055	-0.008	-0.346	-1.291
	(0.083)	(0.126)	(2.075)	(1.353)
_Iregions_10	0.034	0.081	1.892	1.439
	(0.077)	(0.117)	(2.565)	(2.029)
_Iregions_11	-0.186*	-0.224*	-5.347**	-3.028*
	(0.100)	(0.135)	(2.228)	(1.692)
_Iregions_12	-0.227**	-0.243*	-0.701	-0.752
	(0.108)	(0.144)	(2.500)	(1.742)
_Iregions_13	-0.097	-0.084	5.699	0.276
	(0.132)	(0.161)	(4.227)	(1.940)
_Iregions_14	-0.346***	-0.244	-3.474	-1.264
	(0.124)	(0.155)	(2.605)	(1.847)
_Iregions_15	0.082	0.090	1.376	2.016
	(0.129)	(0.173)	(2.953)	(2.132)
_Iregions_16	-0.102	-0.093	4.092	2.647
	(0.109)	(0.135)	(3.196)	(2.549)
_Iregions_17	-0.024	-0.123	0.975	0.473
	(0.080)	(0.121)	(2.302)	(1.729)
_Iregions_18	-0.243	-0.267*	-2.140	-1.124
	(0.156)	(0.152)	(2.443)	(1.607)
_Iregions_19	0.044	0.019	3.713	0.317
	(0.112)	(0.151)	(3.766)	(1.978)
_Iregions_20	-0.066	-0.089	-1.535	-2.607
	(0.107)	(0.147)	(2.646)	(1.817)
				
Observations	828	828	778	778
R-squared	0.009	0.039	-0.033	-0.023
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
