	(1)	(2)	(3)	(4)
VARIABLES	broad	narrow	fraction_broad	fraction_narrow
				
fpm	0.138**	0.184**	3.155**	1.913**
	(0.061)	(0.076)	(1.480)	(0.921)
fonz1	-0.004**	-0.005**	-0.068*	-0.059**
	(0.002)	(0.002)	(0.042)	(0.026)
opp_yschool	0.100**	0.126**	1.478	1.525**
	(0.046)	(0.056)	(1.194)	(0.726)
pop	0.000	0.000	0.004	-0.001
	(0.000)	(0.000)	(0.004)	(0.002)
pop_2	-0.000	-0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
pop_3	0.000	0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
urb	0.597*	0.525	8.410	4.042
	(0.338)	(0.424)	(8.335)	(5.343)
literacy	5.052**	6.498**	124.429**	53.177
	(2.526)	(3.196)	(59.673)	(36.078)
income	-0.006**	-0.008**	-0.142**	-0.056
	(0.003)	(0.004)	(0.065)	(0.040)
inter_urb	-0.023*	-0.016	-0.155	-0.069
	(0.013)	(0.016)	(0.300)	(0.180)
inter_literacy	-0.206**	-0.272**	-5.524**	-2.644*
	(0.098)	(0.124)	(2.375)	(1.472)
inter_income	0.000**	0.000**	0.006**	0.003*
	(0.000)	(0.000)	(0.003)	(0.002)
_Iterm_2005	0.092**	0.063	-0.451	-2.052***
	(0.037)	(0.050)	(0.979)	(0.572)
_Iregions_2	0.037	0.053	1.281	-0.194
	(0.087)	(0.124)	(2.072)	(1.417)
_Iregions_3	-0.059	0.012	-0.610	-0.093
	(0.107)	(0.149)	(2.295)	(1.456)
_Iregions_4	-0.053	-0.096	-1.422	-0.930
	(0.098)	(0.133)	(2.003)	(1.392)
_Iregions_5	0.026	0.068	-0.419	-1.580
	(0.085)	(0.131)	(2.297)	(1.378)
_Iregions_6	-0.032	-0.100	0.532	-0.740
	(0.100)	(0.127)	(2.185)	(1.353)
_Iregions_7	0.014	-0.012	-2.455	-0.734
	(0.130)	(0.155)	(2.401)	(1.671)
_Iregions_8	0.047	-0.165	0.240	0.515
	(0.107)	(0.161)	(2.763)	(2.127)
_Iregions_9	0.060	-0.003	-0.001	-1.169
	(0.082)	(0.126)	(1.989)	(1.346)
_Iregions_10	0.029	0.076	1.662	1.359
	(0.078)	(0.119)	(2.509)	(2.018)
_Iregions_11	-0.195*	-0.235*	-5.362**	-3.110*
	(0.104)	(0.141)	(2.290)	(1.730)
_Iregions_12	-0.220**	-0.232	-0.758	-0.638
	(0.107)	(0.143)	(2.461)	(1.735)
_Iregions_13	-0.093	-0.073	5.247	0.287
	(0.132)	(0.162)	(4.227)	(1.932)
_Iregions_14	-0.355***	-0.252	-3.617	-1.315
	(0.124)	(0.156)	(2.548)	(1.818)
_Iregions_15	0.119	0.140	1.408	2.461
	(0.140)	(0.182)	(3.237)	(2.242)
_Iregions_16	-0.111	-0.102	3.605	2.514
	(0.111)	(0.139)	(3.156)	(2.524)
_Iregions_17	-0.024	-0.119	0.462	0.354
	(0.080)	(0.122)	(2.366)	(1.750)
_Iregions_18	-0.232	-0.251*	-2.182	-0.941
	(0.153)	(0.151)	(2.361)	(1.570)
_Iregions_19	0.059	0.040	3.538	0.484
	(0.112)	(0.153)	(3.840)	(2.005)
_Iregions_20	-0.094	-0.123	-2.165	-3.055
	(0.116)	(0.158)	(2.824)	(1.922)
				
Observations	828	828	778	778
R-squared	-0.023	0.008	-0.040	-0.039
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
