	(1)	(2)	(3)	(4)
VARIABLES	fpm	opp_college	opp_yschool	reele_inc
				
fpm100hat	0.638***	-0.011***	-0.099***	0.008*
	(0.028)	(0.004)	(0.027)	(0.005)
dumm100_1	-0.000	0.000	0.000	-0.000
	(0.001)	(0.000)	(0.001)	(0.000)
dumm100_2	0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm100_3	-0.000	-0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
fpm200hat	0.753***	-0.005*	-0.041**	0.006*
	(0.029)	(0.003)	(0.020)	(0.004)
dumm200_1	0.000	0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm200_2	0.000	-0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm200_3	-0.000	0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iterm_2005	-0.174	0.047*	0.492***	0.050*
	(0.183)	(0.025)	(0.176)	(0.030)
_Iregions_2	0.656***	-0.151***	-0.768***	-0.067*
	(0.246)	(0.033)	(0.221)	(0.040)
_Iregions_3	0.431*	-0.068*	-0.067	-0.074
	(0.236)	(0.041)	(0.249)	(0.049)
_Iregions_4	-0.845***	-0.303***	-2.415***	0.039
	(0.287)	(0.045)	(0.349)	(0.057)
_Iregions_5	0.793**	-0.218***	-1.521***	-0.014
	(0.343)	(0.055)	(0.400)	(0.070)
_Iregions_6	-0.416*	0.043	0.439	0.003
	(0.233)	(0.046)	(0.295)	(0.055)
_Iregions_7	0.340	-0.059	-0.229	-0.025
	(0.512)	(0.048)	(0.318)	(0.053)
_Iregions_8	-0.034	-0.276***	-1.592***	-0.025
	(0.375)	(0.047)	(0.358)	(0.062)
_Iregions_9	1.455***	0.003	-0.147	0.092*
	(0.238)	(0.044)	(0.301)	(0.050)
_Iregions_10	0.538	-0.156***	-0.754**	0.045
	(0.512)	(0.044)	(0.323)	(0.051)
_Iregions_11	0.794***	0.092*	0.753**	0.058
	(0.244)	(0.051)	(0.319)	(0.066)
_Iregions_12	-2.543***	-0.353***	-2.930***	-0.118
	(0.298)	(0.066)	(0.585)	(0.090)
_Iregions_13	0.031	-0.050	-0.214	-0.041
	(0.264)	(0.041)	(0.277)	(0.047)
_Iregions_14	-0.885***	-0.135***	-0.874***	-0.110**
	(0.270)	(0.039)	(0.275)	(0.046)
_Iregions_15	-0.655*	-0.077	-0.715*	0.040
	(0.339)	(0.057)	(0.393)	(0.074)
_Iregions_16	0.822***	-0.142***	-1.081***	-0.021
	(0.171)	(0.031)	(0.212)	(0.035)
_Iregions_17	-0.564**	-0.021	-0.149	-0.011
	(0.236)	(0.046)	(0.292)	(0.052)
_Iregions_18	-1.495***	-0.197***	-1.167***	0.044
	(0.290)	(0.058)	(0.392)	(0.067)
_Iregions_19	-0.018	-0.058	-0.170	0.017
	(0.204)	(0.042)	(0.266)	(0.047)
_Iregions_20	-1.105***	-0.125**	-0.801*	0.043
	(0.338)	(0.061)	(0.453)	(0.076)
				
Observations	2,877	2,877	2,877	2,877
R-squared	0.953	0.068	0.078	0.025
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
