	(1)	(2)	(3)	(4)
VARIABLES	broad	narrow	fraction_broad	fraction_narrow
				
fpm0	0.005	0.019	0.905**	0.294*
	(0.014)	(0.018)	(0.412)	(0.177)
fpm1	0.003	0.017	0.397	0.309**
	(0.010)	(0.013)	(0.265)	(0.133)
fpm2	0.022**	0.026**	0.380*	0.208*
	(0.009)	(0.011)	(0.221)	(0.114)
fpm3	0.004	0.007	-0.066	-0.030
	(0.010)	(0.015)	(0.504)	(0.202)
fpm4	0.012	0.018*	0.362*	0.242**
	(0.010)	(0.010)	(0.210)	(0.105)
fpm5	0.016	0.030***	0.540	0.489
	(0.010)	(0.011)	(0.433)	(0.317)
fpm6	0.012	0.020	0.666*	0.174*
	(0.011)	(0.014)	(0.361)	(0.090)
dumm0_1	-0.002	-0.003	0.120*	0.012
	(0.002)	(0.003)	(0.070)	(0.041)
dumm0_2	0.000	0.000	-0.000*	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm0_3	-0.000	-0.000	0.000*	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm1_1	-0.001	-0.001	0.079*	0.006
	(0.002)	(0.002)	(0.048)	(0.029)
dumm1_2	0.000	0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm1_3	-0.000	0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm2_1	-0.001	-0.002	0.061*	-0.001
	(0.001)	(0.001)	(0.037)	(0.022)
dumm2_2	0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm2_3	-0.000	-0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm3_1	-0.001	-0.001	0.041	0.005
	(0.001)	(0.001)	(0.028)	(0.017)
dumm3_2	0.000	0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm3_3	-0.000	-0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm4_1	-0.001	-0.001	0.041*	0.003
	(0.001)	(0.001)	(0.023)	(0.014)
dumm4_2	0.000	0.000	-0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm4_3	-0.000	-0.000	0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm5_1	-0.001	-0.001	0.029	-0.006
	(0.001)	(0.001)	(0.020)	(0.012)
dumm5_2	0.000	0.000	-0.000	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm5_3	-0.000	-0.000	0.000	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm6_1	0.000	-0.000	0.032**	0.003
	(0.001)	(0.001)	(0.016)	(0.009)
dumm6_2	-0.000	-0.000	-0.000**	-0.000
	(0.000)	(0.000)	(0.000)	(0.000)
dumm6_3	0.000	0.000	0.000*	0.000
	(0.000)	(0.000)	(0.000)	(0.000)
_Iterm_2005	0.119***	0.112**	-0.967	-2.007***
	(0.042)	(0.054)	(1.168)	(0.626)
_Iregions_2	-0.008	-0.001	1.133	-0.575
	(0.073)	(0.104)	(2.267)	(1.386)
_Iregions_3	-0.108	-0.026	0.011	-0.003
	(0.084)	(0.115)	(2.591)	(1.422)
_Iregions_4	-0.130*	-0.205**	-3.635*	-1.872
	(0.072)	(0.099)	(2.053)	(1.427)
_Iregions_5	0.033	0.139	0.409	-0.902
	(0.069)	(0.102)	(2.252)	(1.285)
_Iregions_6	-0.113	-0.076	-1.586	-0.792
	(0.089)	(0.119)	(2.385)	(1.430)
_Iregions_7	0.049	0.053	-1.737	-0.003
	(0.105)	(0.132)	(2.500)	(1.576)
_Iregions_8	-0.072	-0.261**	-0.501	-0.187
	(0.100)	(0.131)	(2.585)	(1.822)
_Iregions_9	-0.036	-0.062	-2.091	-1.391
	(0.078)	(0.111)	(2.098)	(1.347)
_Iregions_10	-0.011	0.075	0.503	0.958
	(0.056)	(0.090)	(2.239)	(1.618)
_Iregions_11	-0.140**	-0.142	-4.973***	-2.286*
	(0.068)	(0.099)	(1.930)	(1.318)
_Iregions_12	-0.163**	-0.209**	-3.822**	-1.658
	(0.066)	(0.094)	(1.937)	(1.320)
_Iregions_13	-0.078	-0.069	0.987	-1.795
	(0.078)	(0.112)	(2.945)	(1.335)
_Iregions_14	-0.303***	-0.272***	-4.829**	-2.204*
	(0.083)	(0.102)	(2.008)	(1.272)
_Iregions_15	-0.070	-0.041	0.404	0.822
	(0.125)	(0.161)	(3.065)	(1.789)
_Iregions_16	-0.167**	-0.201**	-2.237	-0.016
	(0.079)	(0.101)	(2.484)	(1.919)
_Iregions_17	-0.093	-0.192**	-2.618	-1.466
	(0.060)	(0.094)	(2.038)	(1.381)
_Iregions_18	-0.247**	-0.258**	-1.662	0.264
	(0.100)	(0.113)	(2.582)	(1.912)
_Iregions_19	-0.019	-0.115	1.556	-1.212
	(0.082)	(0.114)	(3.117)	(1.371)
_Iregions_20	-0.088	-0.020	-1.641	-1.933
	(0.071)	(0.101)	(2.187)	(1.368)
				
Observations	1,202	1,202	1,140	1,140
R-squared	0.084	0.135	0.033	0.033
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
