Yearly probability of conflict onset, within-cells									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
									Polity <=0
			Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Gov
	Polity >0	Polity <=0	Gov	Terr	Type 3	Type 4	Inter	Gov	+/- 5 yrs
VARIABLES	controls	controls	controls	controls	controls	controls	controls	+/- 5 years	avglogcapdist*post_capchange
									
logcapdist	2.96e-05**	-0.000353**	-0.000267**	-0.000139	-0.000289**	-6.40e-05*	1.02e-06	-0.000589**	-0.000475*
	[1.13e-05]	[0.000154]	[0.000122]	[8.93e-05]	[0.000144]	[3.77e-05]	[1.12e-06]	[0.000290]	[0.000283]
logbdist2	4.76e-06	-2.22e-05	1.64e-05	-3.26e-05*	-9.61e-06	-1.26e-05	6.07e-07	2.72e-05	6.68e-06
	[1.09e-05]	[2.34e-05]	[1.53e-05]	[1.71e-05]	[1.90e-05]	[1.18e-05]	[6.49e-07]	[3.84e-05]	[4.54e-05]
degtemper	2.12e-06	-1.78e-05	-1.02e-05	-1.30e-05	-1.67e-05	-1.17e-06	-1.80e-06	-7.53e-05	-9.54e-05
	[5.33e-06]	[1.43e-05]	[7.23e-06]	[1.16e-05]	[1.43e-05]	[2.87e-06]	[1.98e-06]	[7.60e-05]	[8.16e-05]
prec	-1.04e-07	-2.44e-08	8.36e-08	-9.59e-08***	-4.79e-08	2.35e-08	8.62e-09	-1.02e-07	-1.32e-07
	[1.01e-07]	[6.31e-08]	[8.05e-08]	[3.60e-08]	[5.69e-08]	[2.86e-08]	[9.06e-09]	[1.39e-07]	[1.47e-07]
1947.year	-6.22e-05	-0.000442***	-3.84e-05	-0.000402***	-0.000321***	-0.000120	3.02e-07	-0.000311***	-0.000328***
	[7.49e-05]	[0.000120]	[4.40e-05]	[0.000140]	[0.000101]	[0.000139]	[4.85e-07]	[5.13e-05]	[5.54e-05]
1948.year	9.45e-06	-0.000219	0.000187	-0.000336**	-9.81e-05	-0.000121	1.10e-06	-0.000267***	-0.000268***
	[0.000118]	[0.000259]	[0.000224]	[0.000162]	[0.000283]	[0.000139]	[1.18e-06]	[2.00e-05]	[2.02e-05]
1949.year	-0.000109	-0.000274	5.77e-05	-0.000226	-0.000152	-0.000122	3.75e-07	-0.000352***	0.000138
	[7.82e-05]	[0.000237]	[0.000120]	[0.000258]	[0.000256]	[0.000140]	[5.59e-07]	[6.14e-05]	[0.000246]
1950.year	-0.000106	-0.000440***	-6.43e-05	-0.000391**	-0.000318***	-0.000122	-1.47e-07	-0.000386***	9.46e-05
	[7.67e-05]	[0.000134]	[5.53e-05]	[0.000160]	[0.000112]	[0.000140]	[2.91e-07]	[8.28e-05]	[0.000235]
1951.year	-7.06e-05	-0.000471***	-5.81e-05	-0.000425***	-0.000349***	-0.000122	8.03e-07	-0.000367***	0.000119
