Regime change, within cells						
	(1)	(2)	(3)	(4)	(5)	(6)
	Onset Gov	Trend control		transition 5MA		
	Cell-FE	Cell-FE	IsoXCell-FE	Cell-FE	Cell-FE	Cell-FE
VARIABLES	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0	Polity <=0
						
1o.onsetGov	-	-	-	-		
						
logcapdist	0.0270	0.0241	0.169**	0.00822	0.0269	0.0269
	[0.0567]	[0.0265]	[0.0646]	[0.00991]	[0.0567]	[0.0567]
0b.onsetGov#co.logcapdist	0	0	0	0		
	[0]	[0]	[0]	[0]		
1.onsetGov#c.logcapdist	-0.321***	-0.375***	-0.463***	-0.129***		
	[0.0598]	[0.0340]	[0.0701]	[0.0108]		
1947.year	-0.0640	-0.0614	-0.0643	-0.0155	-0.0641	-0.0641
	[0.0592]	[0.0582]	[0.0591]	[0.0132]	[0.0592]	[0.0592]
1948.year	-0.0358	-0.0271	-0.0359	-0.0104	-0.0358	-0.0359
	[0.0634]	[0.0624]	[0.0634]	[0.0135]	[0.0634]	[0.0634]
1949.year	0.557*	0.561**	0.559**	0.109*	0.557*	0.557*
	[0.281]	[0.267]	[0.279]	[0.0573]	[0.281]	[0.281]
1950.year	0.414	0.414	0.417	0.0805	0.414	0.414
	[0.411]	[0.389]	[0.408]	[0.0830]	[0.411]	[0.411]
1951.year	0.424	0.423	0.427	0.0821	0.424	0.424
	[0.397]	[0.372]	[0.395]	[0.0807]	[0.397]	[0.397]
1952.year	0.428	0.421	0.430	0.0828	0.428	0.428
	[0.398]	[0.367]	[0.396]	[0.0811]	[0.398]	[0.398]
1953.year	0.400	0.400	0.402	0.0769	0.400	0.400
	[0.404]	[0.371]	[0.401]	[0.0817]	[0.404]	[0.404]
1954.year	-0.158	-0.166	-0.156	-0.0336	-0.158	-0.159
	[0.164]	[0.127]	[0.161]	[0.0330]	[0.164]	[0.164]
1955.year	-0.166	-0.174	-0.165	-0.0356	-0.166	-0.166
	[0.168]	[0.126]	[0.165]	[0.0340]	[0.168]	[0.168]
1956.year	-0.175	-0.204	-0.173	-0.0355	-0.175	-0.175
	[0.175]	[0.126]	[0.172]	[0.0353]	[0.175]	[0.175]
1957.year	-0.173	-0.200	-0.172	-0.0342	-0.173	-0.174
