	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	N	mean	sd	min	max	p10	p50	p90
								
gid	48,451	177,561	50,705	49,182	249,344	96,365	197,863	228,866
col	48,432	378.0	192.2	1	720	138	395	633
row	48,432	247.1	70.44	69	347	134	275	318
xcoord	48,432	8.761	96.08	-179.8	179.8	-111.2	17.25	136.2
ycoord	48,432	33.31	35.22	-55.75	83.25	-23.25	47.25	68.75
year	48,451	1,989	0.177	1,989	1,994	1,989	1,989	1,989
gwno	48,432	320.4	283.8	2	990	2	364	840
cellarea	48,432	1,856	882.8	2.56e-06	3,100	553.1	1,854	2,996
latitude_capital	48,298	27.08	32.23	-41.28	64.14	-33.45	41.89	55.75
longitude_capital	48,298	2.028	72.91	-175.2	178.4	-77.01	18.05	106.9
latitude_LNC	48,298	27.53	33.53	-36.85	64.12	-31.40	43.67	59.89
longitude_LNC	48,298	-0.310	72.72	-175.1	177.4	-79.42	14.51	112.8
latitude_largest	48,298	26.33	32.63	-36.85	64.14	-33.45	41.89	55.75
longitude_largest	48,298	1.771	73.28	-175.2	178.4	-79.34	18.05	106.9
latitude_2nd	48,298	26.91	33.33	-36.85	64.12	-31.40	43.67	59.89
longitude_2nd	48,298	-4.727	78.31	-175.1	177.4	-118.4	14.51	112.8
tag	48,298	0.0284	0.218	0	2	0	0	0
bdist1	43,978	832.8	947.3	0	10,997	51	532	1,994
bdist2	48,451	822.8	758.5	0	3,872	56	572	2,003
bdist3	48,451	220.9	261.2	0	1,349	7	110	645
capdist	48,451	2,094	1,718	2	7,958	276	1,558	4,771
ttime	48,451	1,322	1,686	0	12,350	113	587	3,473
capdist_nomove	48,451	2,094	1,718	2	7,958	276	1,558	4,771
dist_LNC	48,298	2,161	1,680	0	8,148	296.5	1,762	4,725
region	1,668	3.714	1.231	1	5	2	4	5
ConfInter	48,451	0.00188	0.0433	0	1	0	0	0
ConfIntra	48,451	0.0330	0.179	0	1	0	0	0
ConfTerr	48,451	0.00642	0.0799	0	1	0	0	0
ConfGov	48,451	0.0276	0.164	0	1	0	0	0
ConfIntense	48,451	0.0141	0.118	0	1	0	0	0
ConfNonIntense	48,451	0.0188	0.136	0	1	0	0	0
ConfTerrIntense	48,451	0.00120	0.0346	0	1	0	0	0
ConfGovIntense	48,451	0.0129	0.113	0	1	0	0	0
ConfType3	48,451	0.0256	0.158	0	1	0	0	0
ConfType4	48,451	0.00739	0.0856	0	1	0	0	0
gcpqual	48,291	-1.289	47.24	-999	1	1	1	1
gcppc	307	5,166	2,649	1,362	13,047	2,046	4,445	8,270
ppp	307	0.0659	0.213	0.000783	1.847	0.0131	0.0239	0.0916
pop	307	4,058	13,760	0	180,907	541	1,158	5,507
imr	46,553	256.6	288.4	24	2,031	51	178	617
prec	42,858	694.4	618.2	67.75	11,286	220.8	473.8	1,547
degtemper	42,858	6.825	14.14	-32.28	33.83	-12.52	6.088	25.74
spi6	43,596	0.474	0.894	0	2.500	0	0	2.500
spi6dist	43,596	130.2	125.9	0	499.7	0	105.0	326.1
mountain2000	48,429	0.211	0.343	0	1	0	0	0.906
forest2000	44,037	38.46	34.17	0.00100	100	0.535	29.19	91.74
irrigate2000	48,451	2.342	7.178	0	90.62	0	0	6.698
polity2	48,016	3.902	6.724	-9	10	-4	8	10
transition	48,081	0.314	0.464	0	1	0	0	1
transi_5MA	48,081	0.201	0.263	0	1	0	0	0.600
transi_5max	48,081	0.423	0.494	0	1	0	0	1
logcapdist	48,451	7.180	1.117	0.693	8.982	5.620	7.351	8.470
logcapdist_nomove	48,451	7.180	1.117	0.693	8.982	5.620	7.351	8.470
logdist_LNC	48,297	7.241	1.093	1.126	9.006	5.692	7.474	8.461
loggcppc	307	8.399	0.575	7.217	9.476	7.624	8.400	9.020
logpop	306	7.280	1.240	1.946	12.11	6.310	7.055	8.614
logttime	48,451	6.415	1.332	0	9.421	4.736	6.377	8.153
logbdist1	43,978	5.987	1.476	0	9.305	3.951	6.279	7.598
logbdist2	48,451	6.038	1.436	0	8.262	4.043	6.351	7.603
logbdist3	48,451	4.450	1.646	0	7.208	2.079	4.710	6.471
logcellarea	48,432	7.255	1.107	-12.88	8.039	6.316	7.525	8.005
logdens	306	-0.540	1.124	-3.463	4.344	-1.507	-0.852	0.666
avg_logcapdist	48,451	7.176	1.118	0.693	8.982	5.617	7.350	8.470
avg_logcapdist_nomove	48,451	7.176	1.118	0.693	8.982	5.617	7.350	8.470
avg_logdist_LNC	48,438	7.229	1.102	0.851	9.006	5.666	7.469	8.460
avg_logbdist1	43,978	5.876	1.446	0	9.305	3.892	6.132	7.452
avg_logbdist2	48,451	5.937	1.414	0	8.262	3.989	6.223	7.484
avg_logbdist3	48,451	4.401	1.611	0	7.030	2.079	4.673	6.358
avg_polity2	48,100	7.031	3.005	0.100	10	3.600	8	10
avg_degtemper	42,858	7.101	14.12	-29.62	35.13	-11.91	5.844	26.18
avg_spi6	43,596	0.318	0.198	0	1.475	0.0750	0.300	0.575
avg_prec	42,858	680.9	572.7	74.71	8,987	235.6	484.9	1,452
avg_ConfInter	48,451	0.000833	0.0212	0	0.600	0	0	0
avg_ConfIntra	48,451	0.0411	0.164	0	1	0	0	0.0500
avg_ConfTerr	48,451	0.00995	0.0758	0	1	0	0	0
avg_ConfGov	48,451	0.0320	0.148	0	1	0	0	0
avg_ConfIntense	48,451	0.00816	0.0460	0	0.700	0	0	0
avg_ConfNonIntense	48,451	0.0330	0.141	0	1	0	0	0.0500
avg_ConfTerrIntense	48,451	0.00315	0.0335	0	0.700	0	0	0
avg_ConfGovIntense	48,451	0.00501	0.0318	0	0.350	0	0	0
avg_ConfType3	48,451	0.0402	0.164	0	1	0	0	0.0500
avg_ConfType4	48,451	0.000896	0.00870	0	0.100	0	0	0
avg_loggcppc	47,651	9.336	1.134	5.627	11.31	7.613	9.721	10.37
avg_logpop	44,201	7.775	3.285	0	16.65	3.243	7.870	12.01
avg_logdens	44,196	0.411	3.129	-7.912	12.77	-3.918	0.373	4.516
population	48,163	1.118e+08	1.417e+08	8,949	8.514e+08	7.520e+06	8.433e+07	2.468e+08
gdppc	47,670	16,110	10,250	396.2	50,326	1,936	13,066	32,712
logpop_iso	48,163	17.77	1.474	9.099	20.56	15.83	18.25	19.32
loggdppc_iso	47,670	9.339	1.017	5.982	10.83	7.568	9.478	10.40
democ	47,638	7.991	1.998	2.700	10	6	8	10
democ_cap	47,638	4.112	5.559	-5.413	10	-2.144	5.076	10
autoc	47,638	0.286	0.598	0	3.300	0	0	0.500
autocracy	47,638	0.00783	0.0881	0	1	0	0	0
autocracy2	47,638	0.354	0.478	0	1	0	0	1
autocracy3	47,426	0.167	0.373	0	1	0	0	1
_isocode	48,432	112.1	72.18	5	225	26	135	211
tag_gid	48,451	1	0	1	1	1	1	1
								
