	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	N	mean	sd	min	max	p10	p50	p90
								
gid	32,933	180,623	39,064	50,624	241,051	125,197	187,077	225,338
col	32,933	480.4	116.0	1	720	355	480	617
row	32,933	251.2	54.16	71	335	174	260	313
xcoord	32,933	59.96	58.02	-179.8	179.8	-2.750	59.75	128.2
ycoord	32,933	35.35	27.08	-54.75	77.25	-3.250	39.75	66.25
year	32,933	1,952	11.76	1,946	1,993	1,946	1,946	1,962
gwno	32,933	488.6	176.0	40	850	364	436	710
cellarea	32,933	2,205	689.2	4.975	3,100	1,223	2,293	3,044
latitude_capital	31,961	33.92	25.55	-34.59	59.44	-6.133	39.92	55.75
longitude_capital	31,961	40.97	45.21	-99.12	127.0	-5.283	37.62	116.4
latitude_LNC	31,961	33.97	26.94	-31.40	59.89	-7.250	36.26	59.89
longitude_LNC	31,961	39.27	47.33	-103.3	129.8	-4.300	30.26	121.5
latitude_largest	31,961	32.51	25.33	-34.59	59.44	-6.133	35.67	55.75
longitude_largest	31,961	41.79	46.43	-99.12	127.0	-4.033	37.62	121.5
latitude_2nd	31,961	33.97	26.94	-31.40	59.89	-7.250	36.26	59.89
longitude_2nd	31,961	39.27	47.33	-103.3	129.8	-5.033	30.26	121.5
tag	31,961	0.00885	0.0937	0	1	0	0	0
bdist1	31,247	719.0	857.8	0	10,997	51	396	1,806
bdist2	32,933	667.7	656.7	0	2,942	53	407	1,710
bdist3	32,933	245.6	249.8	0	1,349	20	157	628
capdist	32,933	1,833	1,705	4	6,942	251	1,132	4,719
ttime	32,933	1,027	1,467	9	30,033	143	509	2,606
capdist_nomove	32,933	1,792	1,707	4	6,942	243	1,076	4,719
dist_LNC	31,961	1,906	1,687	0	6,826	280.9	1,206	4,710
confid	4,763	23.48	41.03	2	194	3	3	69
type	4,763	2.719	0.903	1	4	1	3	4
incompatibility	4,538	1.736	0.441	1	2	1	2	2
intensitylevel	4,538	1.759	0.428	1	2	1	2	2
cumulativeintensity	4,538	0.795	0.404	0	1	0	1	1
typeofconflict	4,538	2.715	0.908	1	4	1	3	4
region	4,538	3.102	0.548	1	4	3	3	4
ConfInter	32,933	0.0274	0.163	0	1	0	0	0
ConfIntra	32,933	0.111	0.314	0	1	0	0	1
ConfTerr	32,933	0.0100	0.0996	0	1	0	0	0
ConfGov	32,933	0.102	0.303	0	1	0	0	1
ConfIntense	32,933	0.104	0.305	0	1	0	0	1
ConfNonIntense	32,933	0.00823	0.0903	0	1	0	0	0
ConfTerrIntense	32,933	0.00246	0.0495	0	1	0	0	0
ConfGovIntense	32,933	0.102	0.302	0	1	0	0	1
ConfType3	32,933	0.0955	0.294	0	1	0	0	0
ConfType4	32,933	0.0155	0.123	0	1	0	0	0
onset	32,933	0.000334	0.0183	0	1	0	0	0
onsetInter	32,933	0	0	0	0	0	0	0
onsetIntra	32,933	0.000273	0.0165	0	1	0	0	0
onsetTerr	32,933	0.000152	0.0123	0	1	0	0	0
onsetGov	32,933	0.000152	0.0123	0	1	0	0	0
onsetIntense	32,933	0.000182	0.0135	0	1	0	0	0
onsetNonIntense	32,933	0.000121	0.0110	0	1	0	0	0
onsetTerrIntense	32,933	6.07e-05	0.00779	0	1	0	0	0
onsetGovIntense	32,933	0.000121	0.0110	0	1	0	0	0
onsetType3	32,933	0.000152	0.0123	0	1	0	0	0
onsetType4	32,933	0.000121	0.0110	0	1	0	0	0
gcpqual	32,932	-2.121	55.57	-999	1	1	1	1
gcppc	77	1,658	1,132	1,379	11,442	1,425	1,534	1,601
ppp	77	0.136	0.449	0.00170	3.914	0.00522	0.0484	0.202
pop	77	15,763	20,847	327	106,612	772	6,460	36,356
imr	32,933	485.7	409.3	49	2,031	166	284.5	1,187
prec	32,933	540.2	492.6	67.08	4,939	129.2	392.5	1,245
degtemper	32,933	8.414	14.37	-24.88	31.50	-12.36	8.308	26.55
spi6	9,395	0.341	0.779	0	2.500	0	0	1.500
spi6dist	8,970	149.6	126.8	0	499.8	0	121.1	338.1
mountain2000	32,933	0.267	0.376	0	1	0	0.000800	0.983
forest2000	25,695	40.79	34.03	0.00100	100	0.505	35.24	91.52
irrigate2000	32,933	3.072	7.673	0	86.96	0	0	10.51
PDSI	28,437	-0.560	2.497	-14.73	12.44	-3.520	-0.409	2.263
pdsi_a	32,933	10.00	0.104	10	14.73	10	10	10
pdsi_b	32,933	3.203	0.815	3	14.73	3	3	3.295
pdsi_c	32,933	1.048	1.660	0	14.73	0	0.0673	3.295
pdsi_d	28,437	15.56	2.497	2.559	29.73	12.74	15.41	18.52
polity2	32,630	-5.932	4.485	-10	10	-9	-8	0
transition	32,630	0.0927	0.290	0	1	0	0	0
transi_5MA	32,630	0.0800	0.114	0	0.400	0	0	0.200
transi_5max	32,630	0.358	0.480	0	1	0	0	1
logcapdist	32,933	7.004	1.115	1.386	8.845	5.525	7.032	8.459
logcapdist_nomove	32,933	6.969	1.122	1.386	8.845	5.493	6.981	8.459
logdist_LNC	31,960	7.073	1.089	0.106	8.828	5.638	7.095	8.457
loggcppc	77	7.358	0.234	7.229	9.345	7.262	7.336	7.378
logpop	77	8.614	1.645	5.790	11.58	6.649	8.773	10.50
logttime	32,933	6.340	1.086	2.303	10.31	4.970	6.234	7.866
logbdist1	31,247	5.847	1.427	0	9.305	3.951	5.984	7.499
logbdist2	32,933	5.842	1.376	0	7.987	3.989	6.011	7.445
logbdist3	32,933	4.863	1.341	0	7.208	3.045	5.063	6.444
logcellarea	32,933	7.637	0.379	1.604	8.039	7.109	7.738	8.021
logdens	77	0.690	1.726	-2.208	5.294	-1.341	0.773	2.576
avg_logcapdist	32,933	7.024	1.075	1.386	8.845	5.609	7.076	8.459
avg_logcapdist_nomove	32,933	7.018	1.081	1.386	8.845	5.595	7.071	8.459
avg_logdist_LNC	32,116	7.105	1.065	0.106	8.828	5.691	7.171	8.456
avg_logbdist1	32,693	5.678	1.370	0	9.305	3.888	5.789	7.362
avg_logbdist2	32,933	5.670	1.346	0	7.830	3.907	5.778	7.352
avg_logbdist3	32,933	4.892	1.311	0	6.954	3.135	5.100	6.426
avg_polity2	32,933	-4.846	1.929	-10	-0.0172	-7.400	-4.267	-2.550
avg_degtemper	32,933	8.622	14.08	-23.20	31.52	-11.23	7.972	26.62
avg_spi6	31,414	0.390	0.140	0	1.602	0.204	0.406	0.556
avg_prec	32,933	536.1	466.9	69.40	4,716	140.0	399.8	1,185
avg_ConfInter	32,933	0.00496	0.0282	0	0.404	0	0	0
avg_ConfIntra	32,933	0.0604	0.147	0	0.976	0	0	0.180
avg_ConfTerr	32,933	0.0151	0.0751	0	0.976	0	0	0
avg_ConfGov	32,933	0.0486	0.136	0	0.921	0	0	0.100
avg_ConfIntense	32,933	0.0345	0.0979	0	0.742	0	0	0.0870
avg_ConfNonIntense	32,933	0.0278	0.0891	0	0.970	0	0	0.0732
avg_ConfTerrIntense	32,933	0.00562	0.0304	0	0.370	0	0	0
avg_ConfGovIntense	32,933	0.0294	0.0934	0	0.742	0	0	0.0667
avg_ConfType3	32,933	0.0427	0.104	0	0.976	0	0	0.135
avg_ConfType4	32,933	0.0178	0.0745	0	0.613	0	0	0.0167
avg_loggcppc	32,933	8.409	1.285	5.391	15.75	6.639	8.681	10.02
avg_logpop	32,933	8.613	2.847	0	16.54	4.562	8.878	12.21
avg_logdens	32,933	0.976	2.626	-7.958	8.632	-2.644	1.126	4.407
avg_onset	32,933	8.59e-05	0.00163	0	0.0756	0	0	0
avg_onsetInter	32,933	1.44e-06	0.000193	0	0.0308	0	0	0
