	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	N	mean	sd	min	max	p10	p50	p90
								
gid	21,203	158,268	48,997	49,903	237,051	90,981	173,677	218,203
col	21,203	309.2	184.1	1	720	117	240	623
row	21,203	220.4	68.20	70	330	127	242	304
xcoord	21,203	-25.67	92.07	-179.8	179.8	-121.8	-60.25	131.2
ycoord	21,203	19.94	34.10	-55.25	74.75	-26.75	30.75	61.75
year	21,203	1,947	6.287	1,946	1,990	1,946	1,946	1,947
gwno	21,203	295.8	340.0	2	990	2	140	900
cellarea	21,203	2,352	625.5	0.984	3,100	1,394	2,510	3,062
latitude_capital	21,203	15.12	32.74	-41.28	64.14	-35.31	35.69	45.40
longitude_capital	21,203	-10.93	83.48	-171.8	178.4	-77.01	-47.92	149.1
latitude_LNC	21,203	13.80	33.33	-36.85	64.12	-33.87	35.44	43.67
longitude_LNC	21,203	-10.97	83.54	-171.8	177.4	-79.42	-46.62	151.2
latitude_largest	21,203	13.82	33.32	-36.85	64.14	-33.86	35.69	43.72
longitude_largest	21,203	-10.82	83.60	-171.8	178.4	-79.34	-46.63	151.2
latitude_2nd	21,203	12.50	32.35	-36.85	64.12	-33.87	34.09	43.67
longitude_2nd	21,203	-20.16	92.15	-171.8	177.4	-118.4	-46.62	151.2
tag	21,203	0.0608	0.315	0	2	0	0	0
bdist1	17,267	486.7	458.1	0	4,163	46	329	1,136
bdist2	21,203	718.3	808.5	0	5,214	58	453	1,680
bdist3	21,203	242.0	247.0	0	1,129	14	151	636
capdist	21,203	1,732	1,431	2	7,735	255	1,331	3,602
ttime	21,203	781.3	926.1	7	8,739	103	374	2,056
capdist_nomove	21,203	1,656	1,417	2	7,735	252	1,206	3,571
dist_LNC	21,203	1,773	1,413	4.003	7,947	272.4	1,406	3,611
confid	360	21.35	17.69	1	106	4	19	31
type	360	2.444	0.674	1	3	1	3	3
incompatibility	360	1.519	0.500	1	2	1	2	2
intensitylevel	360	1.656	0.476	1	2	1	2	2
cumulativeintensity	360	0.761	0.427	0	1	0	1	1
typeofconflict	360	2.444	0.674	1	3	1	3	3
region	360	2.828	0.658	1	5	2	3	3
ConfInter	21,203	0.00816	0.0900	0	1	0	0	0
ConfIntra	21,203	0.00990	0.0990	0	1	0	0	0
ConfTerr	21,203	0.00108	0.0329	0	1	0	0	0
ConfGov	21,203	0.00882	0.0935	0	1	0	0	0
ConfIntense	21,203	0.00882	0.0935	0	1	0	0	0
ConfNonIntense	21,203	0.00108	0.0329	0	1	0	0	0
ConfTerrIntense	21,203	0	0	0	0	0	0	0
ConfGovIntense	21,203	0.00882	0.0935	0	1	0	0	0
ConfType3	21,203	0.00990	0.0990	0	1	0	0	0
ConfType4	21,203	0	0	0	0	0	0	0
onset	21,203	0.000141	0.0119	0	1	0	0	0
onsetInter	21,203	0	0	0	0	0	0	0
onsetIntra	21,203	0.000141	0.0119	0	1	0	0	0
onsetTerr	21,203	0	0	0	0	0	0	0
onsetGov	21,203	0.000141	0.0119	0	1	0	0	0
onsetIntense	21,203	0.000141	0.0119	0	1	0	0	0
onsetNonIntense	21,203	0	0	0	0	0	0	0
onsetTerrIntense	21,203	0	0	0	0	0	0	0
onsetGovIntense	21,203	0.000141	0.0119	0	1	0	0	0
onsetType3	21,203	0.000141	0.0119	0	1	0	0	0
onsetType4	21,203	0	0	0	0	0	0	0
gcpqual	21,199	0.967	0.148	-1	1	1	1	1
gcppc	287	5,124	2,668	1,362	13,047	1,823	4,427	8,270
ppp	287	0.0683	0.219	0.00237	1.847	0.0135	0.0244	0.0916
pop	287	4,268	14,202	98	180,907	612	1,232	5,603
imr	21,203	205.0	237.0	30	1,185	44	72	559.5
prec	21,203	840.6	665.5	67	10,667	258.6	617.6	1,782
degtemper	21,203	12.96	11.42	-23.58	35.19	-3.808	15.31	26.09
spi6	843	0.346	0.784	0	2.500	0	0	1.500
spi6dist	838	143.4	121.2	0	498.5	0	116.5	320.7
mountain2000	21,203	0.232	0.352	0	1	0	0	0.928
forest2000	20,017	41.35	33.80	0.00200	100	1.518	33.66	92.84
irrigate2000	21,203	3.470	9.159	0	90.62	0	0.0490	10.83
PDSI	18,777	-0.501	2.743	-12.61	7.281	-3.734	-0.286	2.780
pdsi_a	21,203	10.01	0.151	10	12.61	10	10	10
pdsi_b	21,203	3.287	1.103	3	12.61	3	3	3.368
pdsi_c	21,203	1.090	1.913	0	12.61	0	0.103	3.368
pdsi_d	18,777	15.50	2.743	7.719	27.61	12.22	15.29	18.73
polity2	19,820	7.630	4.150	-9	10	2	10	10
transition	19,976	0.0164	0.127	0	1	0	0	0
transi_5MA	19,976	0.0489	0.0953	0	0.400	0	0	0.200
transi_5max	19,976	0.223	0.416	0	1	0	0	1
logcapdist	21,203	7.017	1.066	0.693	8.954	5.541	7.194	8.189
logcapdist_nomove	21,203	6.968	1.058	0.693	8.954	5.529	7.095	8.181
logdist_LNC	21,203	7.064	1.045	1.387	8.981	5.607	7.249	8.192
loggcppc	287	8.388	0.580	7.217	9.476	7.508	8.395	9.020
logpop	287	7.400	1.062	4.585	12.11	6.417	7.116	8.631
logttime	21,203	6.048	1.136	2.079	9.076	4.644	5.927	7.629
logbdist1	17,267	5.598	1.300	0	8.334	3.850	5.799	7.036
logbdist2	21,203	5.895	1.374	0	8.559	4.078	6.118	7.427
logbdist3	21,203	4.770	1.449	0	7.030	2.708	5.024	6.457
logcellarea	21,203	7.717	0.330	-0.0156	8.039	7.240	7.828	8.027
logdens	287	-0.550	1.045	-3.369	4.116	-1.506	-0.827	0.658
avg_logcapdist	21,203	6.995	1.038	0.693	8.954	5.587	7.116	8.181
avg_logcapdist_nomove	21,203	6.984	1.043	0.693	8.954	5.565	7.099	8.181
avg_logdist_LNC	21,203	7.076	1.035	1.387	8.981	5.625	7.249	8.192
avg_logbdist1	17,917	5.552	1.298	0	8.334	3.807	5.740	7.006
avg_logbdist2	21,203	5.807	1.327	0	8.102	4.025	6.043	7.306
avg_logbdist3	21,203	4.781	1.441	0	7.030	2.708	5.030	6.457
avg_polity2	21,071	7.497	3.467	0.350	10	2.217	10	10
avg_degtemper	21,203	12.99	11.35	-22.77	34.48	-3.337	15.02	26.21
avg_spi6	21,037	0.428	0.127	0	1.130	0.259	0.435	0.583
avg_prec	21,203	852.2	645.0	78.57	9,379	279.5	636.7	1,786
avg_ConfInter	21,203	0.00279	0.0197	0	0.474	0	0	0
avg_ConfIntra	21,203	0.0341	0.116	0	0.934	0	0	0.0833
avg_ConfTerr	21,203	0.0101	0.0664	0	0.934	0	0	0
avg_ConfGov	21,203	0.0257	0.102	0	0.738	0	0	0.0333
avg_ConfIntense	21,203	0.00849	0.0341	0	0.346	0	0	0
avg_ConfNonIntense	21,203	0.0263	0.0924	0	0.918	0	0	0.0833
avg_ConfTerrIntense	21,203	0.00281	0.0212	0	0.346	0	0	0
avg_ConfGovIntense	21,203	0.00567	0.0264	0	0.283	0	0	0
avg_ConfType3	21,203	0.0338	0.116	0	0.918	0	0	0.0833
avg_ConfType4	21,203	0.000281	0.00381	0	0.0851	0	0	0
avg_loggcppc	21,203	9.514	1.109	6.165	11.31	7.704	10.14	10.48
avg_logpop	21,203	8.056	3.516	0	16.65	3.067	8.277	12.53
avg_logdens	21,203	0.339	3.410	-7.912	8.961	-4.557	0.512	4.740
avg_onset	21,203	5.56e-05	0.00128	0	0.0641	0	0	0
avg_onsetInter	21,203	2.28e-06	0.000332	0	0.0484	0	0	0
avg_onsetIntra	21,203	5.09e-05	0.00122	0	0.0641	0	0	0
