"","ivvar3a1",""
"","b","se"
"arhisesl_sdf","-.0612166",".0276307"
"_smhi19701","-.0005512",".0036985"
"_smhi19702","-.0035215",".003566"
"_smhi19703","-.0063409",".0000856"
"_smhi19704",".008185",".0073712"
"_smhi19705","-.0141104",".0000623"
"_smhi19706","-.0188155",".0003292"
"_smhi19707",".0033823",".0039064"
"_smhi19708","-.0015823",".0035894"
"_smhi19709","-.003163",".0021224"
"_smhi197010",".0044658",".0035649"
"_smhi197011","-.014147",".0030961"
"_smhi197012",".0197337",".0053544"
"_smhi197013","-.0038758",".0013473"
"_smhi197014","-.0068654",".0014339"
"_smhi197015","-.0065462",".0005631"
"_smhi197016","-.0085046",".0014432"
"_smhi197017","-.0087652",".0022415"
"_smhi197018","-.0039733",".0010496"
"_smhi197019","-.005046",".0006841"
"_smhi197020","-.0083684",".0012006"
"_smhi197021","-.0039709",".0018119"
"_smhi197022","-.0069302",".0018023"
"_smhi197023","-.0069388",".0004507"
"_smhi197024","-.0069536",".0006609"
"_smhi197025","-.0073265",".0006468"
"_smhi197026","0","."
"_smhi197027","-.0121542",".0011151"
"_smhi197028","-.0016168",".0019182"
"_smhi197029","-.0099486",".0019396"
"_smhi197030",".0099788",".001524"
"_smhi197031","-.004313",".0009281"
"_smhi197032","-.0084936",".0001154"
"_smhi197033","-.0169441",".0007687"
"_smhi197034","0","."
"_smhi197035",".0056854",".0027698"
"_smhi197036","-.0068799",".0023766"
"_smhi197037","-.0056813",".0005292"
"_smhi197038","-.0039209",".0010297"
"_smhi197039","0","."
"_smhi197040","-.0065015",".0006723"
"_smhi197041",".0121798",".0067066"
"_smhi197042",".00147",".0050378"
"_smhi197043","-.0078396",".0017463"
"_smhi197044","-.0094676",".0007349"
"_cons",".0102985",".001331"
"N","229",""
