"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"oilandgasvalue2000_cap",".0334378",".0038365","8.715729","1.16e-14",".033362",".0038303","8.710016","4.62e-15",".0311128",".0031266","9.950881","2.82e-18"
"longitude1998","23.37442","34.89359",".6698772",".5041242","18.82631","30.53858",".6164762",".5384964","5.751961","24.0005",".2396601",".8109167"
"latitude1998","47.23063","22.67761","2.082698",".0392387","44.22098","20.71","2.135247",".0343329","39.38622","16.12581","2.442433",".0157351"
"coastal","0",".",".",".","0",".",".",".","0",".",".","."
"dist_federal_capital1998","-.4180371",".2014423","-2.075221",".0399378","-.4259376",".1797511","-2.369596",".0190549","-.3213407",".1431683","-2.244496",".0262444"
"dist_state_capital1998",".4756656",".265256","1.793232",".0752607",".4553617",".2527917","1.801332",".0736198",".3538736",".1971411","1.795027",".0746363"
"state_capital","272.4307","84.12504","3.238402",".0015258","273.3276","77.93524","3.507112",".0005948","191.3539","60.35752","3.170341",".0018418"
"_cons","724.5544","1423.226",".5090931",".61155","810.2207","1223.939",".661978",".5089811","1066.879","976.4388","1.092623",".2762882"
"N","153","","","","176","","","","175","","",""
"r2",".6285301","","","",".6367372","","","",".6394946","","",""
"df_m","6","","","","6","","","","6","","",""
"df_r","130","","","","153","","","","152","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
