"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"dmexfb_alt","-.0222182",".0942738","-.2356767",".8136835","-.1316742",".0626345","-2.102263",".0355302",".0493179",".0938959",".5252409",".5994157",".1965919",".075476","2.604693",".0091956","-.0915548",".0572592","-1.598955",".1098306","-.1051123",".0473119","-2.221689",".0263043","-.148766",".0805878","-1.846011",".0648906"
"deduc1","4.061187","7.136132",".569102",".5692869","1.590474","5.409787",".2939994",".7687584","-11.83584","7.099517","-1.667133",".0954879","7.087929","5.532734","1.28109",".2001621","-4.42114","5.816264","-.760134",".4471745","1.35119","4.677884",".2888464",".7726989","-10.72882","8.986774","-1.193846",".2325384"
"deduc2","5.976581","6.603825",".9050182",".3654557","-.0858534","5.064227","-.0169529",".9864742","-5.398426","7.412528","-.728284",".4664397","3.729257","5.137264",".7259228",".4678861",".47224","4.941422",".0955676",".923864","4.580233","4.437558","1.032152",".3020011","-1.387646","7.506072","-.1848698",".8533311"
"deduc3","1.105793","6.396165",".1728837",".8627428","-1.60387","4.542201","-.3531043",".7240103","-11.21438","7.17922","-1.562061",".1182737","1.410772","5.468099",".2580004",".7964066","-3.81131","5.035589","-.7568747",".449125",".0321303","4.186622",".0076745",".9938767","-4.849345","6.782585","-.71497",".4746276"
"deduc4","11.40264","8.862173","1.286664",".1982115",".5138428","6.91962",".0742588",".9408044","-7.719888","8.785862","-.8786716",".3795793",".2900615","6.914107",".0419521",".9665369","-.2127005","6.805224","-.0312555",".9750658","5.387058","5.61406",".9595654",".337274","-4.402186","10.09896","-.4359049",".6629057"
"dblack","4.384924","2.026182","2.164131",".0304543",".6422419","2.318536",".2770032",".7817777","6.584284","2.343247","2.809898",".0049557","6.179405","2.327034","2.655485",".0079194","4.628572","1.600049","2.89277",".0038186","4.324235","1.515134","2.854028",".0043169","8.512785","2.058648","4.135134",".0000355"
"dage0_14","-4.972176","4.910919","-1.012474",".3113117","-7.281336","3.722655","-1.955952",".0504708","-5.930206","5.419826","-1.094169",".2738808","-10.8322","4.96632","-2.181133",".0291736","-2.817016","3.844698","-.7327015",".4637405","-3.177202","2.789862","-1.138839",".2547705",".7048818","5.143449",".1370446",".8909956"
"dage15_24",".9413195","3.756352",".250594",".802128","-3.02412","3.46548","-.8726411",".3828587","-.4737269","3.426528","-.1382528",".8900407","-2.094139","3.643685","-.5747309",".5654733","-4.016577","2.420287","-1.659545",".0970059","1.032965","2.837511",".3640392",".7158288","-7.352866","4.939072","-1.488714",".1365627"
"dage25_39","-12.51927","7.887331","-1.587263",".1124532","-9.601219","6.272401","-1.530709",".1258414","-10.69677","9.321465","-1.147542",".2511578","1.10934","6.56918",".1688704",".8658986","-9.330282","5.140666","-1.814995",".0695247","-4.920772","4.768141","-1.032011",".3020672","-14.96264","7.369758","-2.030276",".0423285"
"dage40_54","-1.514826","7.808941","-.1939861",".8461868","-10.66538","6.834577","-1.560503",".1186411","-4.496602","8.951952","-.5023041",".6154536","1.906839","6.52533",".2922211",".7701176","-6.458458","4.72207","-1.367717",".1714005","-1.32166","5.148642","-.2567007",".7974098","-4.426739","7.211634","-.613833",".5393257"
"dage55","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"demployed","6.389055","2.908722","2.196516",".028055","5.528994","2.862944","1.931227",".053455","6.292726","3.766216","1.670835",".0947542","5.046761","2.699507","1.869512",".0615516","5.258818","1.892399","2.778916",".0054541","2.614712","2.068005","1.264365",".2060991","8.081432","2.758021","2.930156",".0033879"
"dusbirths",".0417464",".024464","1.706445",".0879253",".0301239",".0246356","1.222782",".2214122",".0210492",".0271954",".7740015",".4389299",".0169907",".025544",".6651528",".5059527",".023691",".0238502",".993324",".3205521",".0372799",".0193169","1.929918",".0536171",".0423776",".0338066","1.253531",".2100126"
"dfbnonmex","-.0084851",".0173084","-.4902269",".6239733","-.0304495",".0152212","-2.000465",".0454501","-.013757",".0199383","-.689979",".4902074",".0302149",".0175043","1.726144",".0843215","-.0191796",".0147041","-1.30437",".1921076",".0026624",".012319",".2161223",".8288925",".0184517",".0239241",".7712608",".4405524"
"dushisp",".052111",".029556","1.763127",".0778791",".0484487",".0297005","1.631241",".1028394",".0397074",".0362137","1.096474",".2728715","-.006947",".03833","-.181243",".8561769",".056479",".0238114","2.371927",".0176956",".0440356",".0214054","2.057221",".0396649",".0901482",".0390975","2.305727",".0211259"
"grp_1","-1.658524",".5350764","-3.099602",".0019378","-.4515652",".3988224","-1.132246",".2575309","-.9564568",".6259457","-1.528019",".1265079","-.9946304",".5082442","-1.956993",".0503483","-.0844334",".3475514","-.2429378",".8080536","-.5614081",".3955173","-1.419427",".1557744","-.1790659",".6760105","-.2648862",".7910971"
