year	cons	fire	cons_fire
1968	.0424205	.0296899	.0721103
1969	.0440654	.0295077	.0735732
1970	.0426637	.0322421	.0749058
1971	.0413167	.031803	.0731197
1972	.0464243	.0323369	.0787612
1973	.04722	.0340264	.0812465
1974	.0476684	.0353375	.0830059
1975	.0416212	.0342582	.0758794
1976	.042089	.0338088	.0758978
1977	.0432979	.0352889	.0785868
1978	.0468458	.0366865	.0835323
1979	.0499134	.039879	.0897923
1980	.0488946	.039338	.0882325
1981	.0459772	.0406387	.0866159
1982	.0437255	.0384545	.08218
1983	.0447234	.0382769	.0830003
1984	.0505663	.0408841	.0914504
1985	.0533842	.0422063	.0955905
1986	.0540595	.0429132	.0969727
1987	.0541764	.0448718	.0990482
1988	.0535261	.0464395	.0999656
1989	.0570696	.0461947	.1032643
1990	.0583917	.045081	.1034727
1991	.0530878	.0429139	.0960017
1992	.0497334	.042556	.0922894
1993	.049659	.0415647	.0912237
1994	.0490331	.0404418	.0894749
1995	.0541674	.0401624	.0943299
1996	.0555418	.0422051	.0977468
1997	.057912	.0417923	.0997043
1998	.0599608	.043901	.1038618
1999	.0620837	.0427887	.1048725
2000	.0633613	.0410318	.1043931
2001	.0663197	.042716	.1090357
2002	.0650522	.0401295	.1051817
2003	.0679235	.0411905	.109114
2004	.0701225	.0413318	.1114543
2005	.0734594	.0406901	.1141495
2006	.0767889	.0387409	.1155297
2007	.0792337	.0411987	.1204324
2008	.0722429	.0377936	.1100364
2009	.0618314	.0351857	.0970171
2010	.0565709	.0340058	.0905767
2011	.0550233	.0325603	.0875835
2012	.0549573	.0325076	.0874649
2013	.0553212	.0333681	.0886894
2014	.0582558	.0337546	.0920105
