year	smc1	smc2	smc	col1	col2	col	ywgt	wgt	year2	smc_xb
1980	.3653397	.4392408	.4392408	.05754	.1966669	.1966669	1	1	3920400	.434795
1981	.357493	.4325315	.4325315	.0545036	.1860118	.1860118	2	1	3924361	.437691
1982	.358983	.43401	.43401	.0547121	.1898831	.1898831	3	1	3928324	.4407888
1983	.3727115	.4473292	.4473292	.0564667	.1968484	.1968484	4	1	3932289	.4440885
1984	.3735549	.4481134	.4481134	.0520419	.1917311	.1917311	5	1	3936256	.4475899
1985	.3819028	.4547702	.4547702	.0502248	.1959474	.1959474	6	1	3940225	.4512931
1986	.3856688	.4601786	.4601786	.0492624	.1973652	.1973652	7	1	3944196	.4551982
1987	.3885733	.4595798	.4595798	.0478309	.1984158	.1984158	8	1	3948169	.4593051
1988	.3903661	.462319	.462319	.0498277	.2042389	.2042389	9	1	3952144	.4636137
1989	.3899502	.4663408	.4663408	.0513229	.2081848	.2081848	10	1	3956121	.4681242
1990	.3959527	.4742772	.4742772	.052198	.2144931	.2144931	11	1	3960100	.4728365
1991	.4004091	.4794624	.4794624	.0504928	.208784	.208784	12	1	3964081	.4777506
1992	.4725962		.4725962	.2072445		.2072445	13	1	3968064	.4828665
1993	.4904096		.4904096	.2102396		.2102396	14	1	3972049	.4881842
1994	.4961697		.4961697	.2079397		.2079397	15	1	3976036	.4937037
1995	.4967633		.4967633	.2176364		.2176364	16	1	3980025	.499425
1996	.5085105		.5085105	.2355969		.2355969	17	1	3984016	.5053481
1997	.5067697		.5067697	.2390863		.2390863	18	1	3988009	.5113721
1998	.5112834		.5112834	.2378812		.2378812	19	1	3992004	.5173962
1999	.5087925		.5087925	.2405398		.2405398	20	1	3996001	.5234202
2000	.5111966		.5111966	.2495871		.2495871	21	1	4000000	.5294443
2001	.5103463		.5103463	.2509083		.2509083	22	1	4004001	.5354683
2002	.5093028		.5093028	.2528409		.2528409	23	1	4008004	.5414923
2003	.5142848		.5142848	.2443282		.2443282	24	1	4012009	.5475163
2004	.5169055		.5169055	.2474265		.2474265	25	1	4016016	.5535404
2005	.5175072		.5175072	.247617		.247617	26	1	4020025	.5595644
2006	.5232207		.5232207	.2449712		.2449712	27	1	4024036	.5655885
2007	.5240405		.5240405	.2562835		.2562835	28	1	4028049	.5716125
2008	.5440676		.5440676	.2701307		.2701307	29	1	4032064	.5776365
2009	.5490186		.5490186	.2720681		.2720681	30	1	4036081	.5836605
2010	.5486552		.5486552	.2750615		.2750615	31	1	4040100	.5896845
2011	.5603639		.5603639	.2805001		.2805001	32	1	4044121	.5957086
2012	.5736097		.5736097	.2880055		.2880055	33	1	4048144	.6017326
2013	.5831389		.5831389	.2870283		.2870283	34	1	4052169	.6077567
2014	.5848373		.5848373	.291895		.291895	35	1	4056196	.6137807
