year	med_wage	cons_share	manuf_share	nonemp	nonemp_all	nonemp_high
1977	17.34	0.092	0.273	0.147	0.298	0.0689787
1978	17.11	0.101	0.269	0.135	0.278	0.0657926
1979	17.22	0.106	0.279	0.128	0.267	0.0579785
1980	17.07	0.103	0.268	0.145	0.265	0.0583154
1981	16.06	0.098	0.258	0.16	0.266	0.0553671
1982	15.62	0.094	0.24	0.183	0.278	0.0664583
1983	15.36	0.097	0.226	0.208	0.287	0.0784444
1984	15.14	0.107	0.229	0.17	0.26	0.0651891
1985	15.35	0.111	0.23	0.162	0.248	0.0652151
1986	15.4	0.112	0.225	0.164	0.244	0.0614235
1987	15.14	0.113	0.217	0.158	0.234	0.0662196
1988	15.31	0.111	0.225	0.154	0.225	0.0556988
1989	15.02	0.117	0.23	0.142	0.217	0.0592161
1990	14.68	0.123	0.217	0.147	0.216	0.0558836
1991	14.44	0.109	0.204	0.169	0.23	0.0668218
1992	14.61	0.101	0.198	0.181	0.232	0.0745202
1993	14.18	0.103	0.192	0.182	0.231	0.0750545
1994	13.76	0.101	0.2	0.178	0.227	0.070014
1995	13.78	0.11	0.201	0.166	0.216	0.0627257
1996	13.58	0.113	0.198	0.166	0.214	0.0679238
1997	13.59	0.118	0.198	0.161	0.206	0.0608061
1998	13.95	0.122	0.197	0.152	0.2	0.0567839
1999	14.17	0.125	0.196	0.15	0.198	0.0643831
2000	14.44	0.128	0.191	0.15	0.194	0.0610868
2001	14.42	0.134	0.181	0.158	0.2	0.0674179
2002	13.98	0.132	0.169	0.178	0.216	0.0781183
2003	13.82	0.136	0.154	0.186	0.224	0.0835834
2004	14.11	0.141	0.148	0.188	0.227	0.0837602
2005	14.02	0.147	0.145	0.181	0.225	0.080837
2006	13.43	0.151	0.146	0.171	0.219	0.0774933
2007	13.49	0.156	0.143	0.172	0.213	0.0651584
2008	13.74	0.143	0.138	0.188	0.221	0.0717395
2009	13.32	0.124	0.122	0.247	0.254	0.0980607
2010	13.88	0.116	0.116	0.263	0.266	0.1046643
2011	13.55	0.113	0.12	0.258	0.267	0.1024976
