year	med_wage	cons_share	manuf_share	nonemp	nonemp_all	nonemp_high
1977	10.951	0.0060952	0.1074258	0.4748766	0.298	0.3021704
1978	10.947	0.0062594	0.1115931	0.4482552	0.278	0.2742162
1979	10.917	0.0081589	0.1147814	0.4322254	0.267	0.260242
1980	10.732	0.0081272	0.1158529	0.4193543	0.265	0.2504669
1981	10.322	0.0076981	0.111902	0.4102376	0.266	0.2487316
1982	10.119	0.0072882	0.1077444	0.4185884	0.278	0.2390657
1983	10.242	0.0070684	0.1037378	0.4216768	0.287	0.2341589
1984	10.411	0.0086496	0.1112348	0.3991356	0.26	0.2123976
1985	10.379	0.0099292	0.1083599	0.3811629	0.248	0.2034674
1986	10.782	0.0099788	0.1045471	0.3738216	0.244	0.2042665
1987	10.594	0.0089195	0.1041061	0.3591688	0.234	0.1856574
1988	10.941	0.009098	0.1054185	0.3466894	0.225	0.1813098
1989	10.875	0.0102817	0.1075073	0.3384416	0.217	0.1810588
1990	10.674	0.0099924	0.1038711	0.3337745	0.216	0.1784063
1991	10.835	0.0105626	0.0995914	0.3453998	0.23	0.1803662
1992	10.753	0.0101196	0.0969808	0.3397851	0.232	0.1753935
1993	10.637	0.0090248	0.0918096	0.3360872	0.231	0.1792806
1994	10.635	0.0088651	0.0898843	0.3340111	0.227	0.1722847
1995	10.635	0.0100317	0.0923572	0.3230705	0.216	0.1705719
1996	10.321	0.0116286	0.0918752	0.3185741	0.214	0.1691665
1997	10.566	0.0104661	0.0945252	0.3070149	0.206	0.1655636
1998	10.749	0.0108398	0.0928656	0.3034528	0.2	0.1680663
1999	10.803	0.0123669	0.0871037	0.2975707	0.198	0.1707605
2000	10.972	0.0118665	0.0905801	0.2893148	0.194	0.1722996
2001	11.111	0.0127174	0.0853643	0.2906305	0.2	0.1910779
2002	11.181	0.011954	0.0727568	0.3124992	0.216	0.1905349
2003	11.506	0.012795	0.0693697	0.3184658	0.224	0.2032914
2004	11.304	0.0128651	0.068006	0.3256734	0.227	0.2048076
2005	11.0192	0.0131544	0.0643655	0.329179	0.225	0.1988558
2006	10.91	0.0133922	0.0628411	0.3265008	0.219	0.1915454
2007	10.872	0.013926	0.0646337	0.3158599	0.213	0.194619
2008	11.188	0.0126594	0.0587658	0.3263685	0.221	0.1861749
2009	10.658	0.0121169	0.0497282	0.3455072	0.254	0.2029254
2010	11.14	0.0095062	0.0444302	0.3615447	0.266	0.2065482
2011	11.054	0.00906	0.0504246	0.3704422	0.267	0.2112528
