region	statefip	metarea
99	99	-99
41	56	-56
21	55	-55
31	54	-54
42	53	-53
31	51	-51
11	50	-50
41	49	-49
33	48	-48
32	47	-47
22	46	-46
31	45	-45
11	44	-44
12	42	-42
42	41	-41
33	40	-40
21	39	-39
22	38	-38
31	37	-37
12	36	-36
41	35	-35
12	34	-34
11	33	-33
41	32	-32
22	31	-31
41	30	-30
22	29	-29
32	28	-28
22	27	-27
21	26	-26
11	25	-25
31	24	-24
11	23	-23
33	22	-22
32	21	-21
22	20	-20
22	19	-19
21	18	-18
21	17	-17
41	16	-16
42	15	-15
31	13	-13
31	12	-12
31	10	-10
11	9	-9
41	8	-8
42	6	-6
33	5	-5
41	4	-4
42	2	-2
32	1	-1
33	48	4
21	39	8
31	13	12
12	36	16
41	35	20
33	22	22
12	42	24
12	42	28
33	48	32
42	2	38
21	18	40
21	26	44
32	1	45
21	55	46
31	37	48
31	13	50
31	13	52
12	34	56
32	1	58
31	13	60
33	48	64
42	6	68
31	24	72
11	25	74
33	22	76
21	26	78
33	48	84
42	53	86
21	26	87
41	30	88
32	28	92
12	36	96
32	1	100
21	18	102
21	17	104
41	16	108
11	25	112
31	12	114
42	53	115
11	9	116
11	25	120
33	48	124
33	48	126
12	36	128
31	37	130
21	39	132
22	19	136
21	17	140
31	45	144
31	54	148
31	45	152
31	51	154
32	13	156
21	18	160
42	6	162
21	39	164
32	47	166
21	39	168
41	8	172
22	29	174
31	45	176
31	13	180
21	39	184
33	48	188
33	48	192
11	9	193
31	51	195
22	19	196
21	39	200
31	12	202
32	1	203
21	17	204
41	8	208
22	19	212
21	26	216
32	1	218
31	10	219
22	27	224
12	36	228
21	55	229
33	48	231
21	18	232
12	42	236
42	41	240
21	18	244
22	38	252
31	37	256
33	5	258
11	25	260
41	4	262
21	26	264
32	1	265
31	45	266
41	8	267
31	12	268
31	12	270
31	12	271
33	5	272
31	12	275
21	18	276
42	6	284
32	1	288
31	12	290
33	48	292
12	36	297
31	37	298
21	26	300
41	8	301
41	8	306
21	55	308
31	37	312
31	37	315
31	45	316
31	24	318
21	39	320
12	42	324
11	9	328
31	37	329
32	28	330
42	15	332
33	22	335
33	48	336
31	54	340
32	1	344
21	18	348
22	19	350
21	26	352
32	28	356
32	47	358
31	12	359
31	37	360
12	36	361
21	55	362
32	47	366
12	42	368
22	29	371
21	26	372
21	17	374
22	20	376
21	55	380
33	48	381
32	47	384
21	18	385
21	55	387
33	22	388
21	18	392
33	22	396
31	12	398
12	42	400
21	26	404
33	48	408
41	35	410
41	32	412
33	40	420
32	21	428
21	39	432
22	31	436
33	5	440
12	34	441
33	48	442
21	39	444
42	6	448
32	21	452
33	48	460
31	51	464
31	13	468
21	55	472
11	33	476
21	39	480
33	48	488
42	41	489
31	12	490
32	47	492
42	6	494
31	12	500
33	48	504
21	55	508
22	27	512
32	1	516
42	6	517
12	34	519
33	22	520
32	1	524
21	18	528
21	26	532
31	45	533
31	12	534
11	33	535
32	47	536
11	25	540
12	34	546
11	9	548
11	9	552
33	22	556
12	34	560
21	39	564
12	36	566
31	51	572
11	9	576
31	12	579
33	48	580
33	40	588
42	53	591
22	31	592
12	36	595
31	12	596
31	12	601
32	28	603
31	12	608
21	17	612
12	42	616
41	4	620
12	42	628
11	23	640
42	41	644
11	33	645
11	44	648
41	49	652
41	8	656
31	12	658
21	55	660
31	37	664
12	42	668
42	6	669
41	32	672
42	53	674
31	51	676
42	6	678
31	51	680
22	27	682
12	36	684
21	17	688
31	37	689
42	6	692
21	26	696
22	27	698
22	29	700
21	17	704
42	41	708
42	6	712
31	37	714
41	49	716
33	48	724
42	6	732
42	6	736
42	6	740
42	6	746
42	6	747
42	6	748
41	35	749
42	6	750
31	12	751
31	13	752
12	42	756
42	53	760
12	42	761
21	55	762
33	22	768
22	19	772
22	46	776
21	18	780
42	53	784
21	17	788
22	29	792
11	25	800
11	9	804
12	42	805
42	6	812
31	45	814
12	36	816
42	53	820
31	12	824
31	12	828
21	18	832
21	39	836
21	39	840
22	20	844
12	34	848
41	4	852
33	40	856
32	1	860
33	48	864
12	36	868
42	6	873
12	34	876
42	6	878
33	48	880
31	51	884
11	9	888
22	19	892
21	55	894
31	12	896
22	20	904
33	48	908
12	42	914
31	10	916
31	37	920
11	25	924
42	53	926
42	6	927
12	42	928
21	39	932
42	6	934
41	4	936
