N	mean	sd	p10	p25	p50	p75	p90	table19
275	.3959762	.3586684	.0413138	.1077896	.2935861	.6800822	.9370798	0
275	.1496904	.299085	-.2434026	-.0561862	.1458926	.321802	.4906429	0
275	.5456666	.549375	-.1264981	.1082506	.5102415	.8748813	1.213315	0
275	.0355992	.0621167	-.0327161	-.0181368	.0314432	.0720098	.1177139	0
275	-.0307359	.0409555	-.0755351	-.0530102	-.0304501	-.0036045	.0190696	0
275	-.0467279	.0785933	-.1207996	-.0936885	-.0540373	-.0043882	.0511574	0
242	-.0010135	.0172305	-.0145636	-.0045766	.0004686	.0059676	.0118366	0
209	.0038728	.0071915	-.0017601	.0010668	.0028866	.0053539	.0069707	0
242	.0355781	.0245454	.0127552	.0227291	.0339373	.0423901	.058816	0
212	.0215851	.018564	.0074733	.0114184	.018258	.0237643	.041699	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
