"","ols_1_totalemp_fmap_pc","","","","ols_2_totalemp_fmap_pc","","","","ols_3_totalemp_fmap_pc","","","","iv_1_totalemp_fmap_pc","","","","iv_2_totalemp_fmap_pc","","","","iv_3_totalemp_fmap_pc","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"fmap_pc","2.935128","1.350935","2.172664",".0346707","1.884822","1.827979","1.031096",".3093735",".8178702","1.061144",".7707437",".4460309","4.715958","1.308349","3.604511",".0003127","4.613571","1.56636","2.945409",".0032253","2.834586","1.011692","2.801826",".0050814"
"region_1","","","","","-.0091924",".0031971","-2.875193",".0067404","-.0078104",".0022334","-3.497039",".0012995","","","","","-.0027402",".0040477","-.6769866",".4984145","-.0015578",".0038586","-.4037157",".6864218"
"region_2","","","","","0",".",".",".","0",".",".",".","","","","",".0081372",".0045665","1.78192",".0747623",".0075877",".0035638","2.129075",".033248"
"region_3","","","","","-.0059934",".002331","-2.571141",".0144145","-.0061798",".0021586","-2.862906",".0070445","","","","",".0034282",".0050102",".6842478",".4938187",".0023179",".0039698",".5838946",".5592912"
"region_4","","","","","-.0045314",".0033097","-1.369131",".1794402","-.0045574",".002552","-1.785851",".0827905","","","","",".0043239",".0035812","1.207398",".227279",".0035293",".0029267","1.205891",".2278595"
"region_5","","","","","-.0099465",".0044699","-2.225243",".0324192","-.0065446",".0027389","-2.389488",".0223923","","","","","-.0020697",".0030373","-.6814324",".4955979",".0004412",".002985",".1478027",".8824985"
"region_6","","","","","-.0060027",".0042966","-1.397103",".1709354","-.0026896",".0029891","-.8998274",".3743618","","","","",".001112",".0033345",".3334726",".7387776",".0037809",".0034628","1.09187",".2748904"
"region_7","","","","","-.0064942",".0054871","-1.183543",".2443506","-.0064473",".0041798","-1.542498",".1319469","","","","","","","","","","","",""
"region_8","","","","","-.0201258",".005506","-3.655256",".0008134","-.0141846",".0042245","-3.357744",".0019058","","","","","-.0116171",".003111","-3.734175",".0001883","-.0070775",".0043471","-1.628096",".1035046"
"region_9","","","","","-.0067669",".0025957","-2.606985",".0132081","-.0048995",".0020085","-2.439403",".019921","","","","",".0032522",".0050334",".6461359",".5181913",".0037561",".0037693",".9964895",".3190124"
"share_kerry_10000","","","","",".2780115","2.017701",".1377863",".8911771","2.102245","1.573432","1.336089",".1901429","","","","","-.7913871","1.589388","-.4979194",".6185409","1.137459","1.141428",".9965233",".3189959"
"union_share_10000","","","","","-4.257892","3.601526","-1.182247",".244858","-2.925288","2.165861","-1.350635",".1854807","","","","","-5.998899","2.913481","-2.059014",".0394929","-4.292868","2.006952","-2.138999",".0324358"
"gdp_pc","","","","",".0054948",".071617",".0767251",".9392671","-.0325012",".0629901","-.5159724",".6091182","","","","","-.0098076",".0614626","-.1595694",".8732203","-.0383547",".0536853","-.7144365",".4749573"
"per_empl_manu_10000","","","","","-10.04856","3.048431","-3.296307",".0022087","-6.609091","2.391051","-2.764094",".0090428","","","","","-9.752311","2.815966","-3.46322",".0005338","-6.831195","2.118223","-3.224965",".0012599"
"popestimate2008_bil","","","","","-.4296132",".1183669","-3.629503",".0008749","-.3337297",".0809512","-4.122602",".0002187","","","","","-.4563339",".1031724","-4.423024","9.73e-06","-.3640767",".076737","-4.744475","2.09e-06"
"sachange_totalemp_lag_pc","","","","","","","","",".4215801",".2102839","2.004814",".0527663","","","","","","","","",".369281",".1746481","2.114429",".0344787"
"_cons","-.0261031",".0036889","-7.076158","5.06e-09",".0016137",".0100463",".160626",".873286","-.0055184",".0072912","-.7568638",".4541966","-.0305592",".0035536","-8.599481","0","-.0058986",".0064075","-.9205822",".3572686","-.0117898",".0047077","-2.504358",".0122674"
"N","51","","","","51","","","","51","","","","51","","","","51","","","","51","","",""
"r2",".1366757","","","",".6325757","","","",".7075197","","","",".0863625","","","",".598143","","","",".6899465","","",""
"df_m","1","","","","14","","","","15","","","","1","","","","14","","","","15","","",""
"df_r","49","","","","36","","","","35","","","","","","","","","","","","","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
