                              	uw1	uw2	uw3	uw4
                              	b/se	b/se	b/se	b/se
FMAP Instrument (100k)        	0.18***	0.15***	0.16***	0.15***
                              	0.01	0.01	0.01	0.01
Constant                      	0.00	-0.00	-0.00	-0.00
                              	0.00	0.00	0.00	0.00
Region 1                      		-0.00	-0.00	-0.00
                              		0.00	0.00	0.00
Region 2                      		-0.00**	-0.00**	-0.00**
                              		0.00	0.00	0.00
Region 3                      		-0.00	-0.00	-0.00*
                              		0.00	0.00	0.00
Region 4                      		-0.00**	-0.00*	-0.00**
                              		0.00	0.00	0.00
Region 5                      		-0.00	-0.00	-0.00
                              		0.00	0.00	0.00
Region 6                      		-0.00	-0.00*	-0.00
                              		0.00	0.00	0.00
Region 7                      		0.00	0.00	0.00
                              		.	.	.
Region 8                      		-0.00	-0.00	-0.00
                              		0.00	0.00	0.00
Region 9                      		-0.00*	-0.00*	-0.00*
                              		0.00	0.00	0.00
2004 Kerry share              		0.00***	0.00*	0.00***
                              		0.00	0.00	0.00
Union share                   		0.00**	0.00*	0.00**
                              		0.00	0.00	0.00
GDP per capita divided by 10000		-0.00	-0.00	-0.00
                              		0.00	0.00	0.00
Employment manufacturing share		0.00	-0.00	0.00
                              		0.00	0.00	0.00
Dec-2008                      		0.00*	0.00*	0.00*
                              		0.00	0.00	0.00
sachange_totalemp_lag_pc      			-0.01	
                              			0.01	
sachange_gov_broad_lag_pc     				0.02
                              				0.05
Observations                  	51.00	51.00	51.00	51.00
R-squared                     	0.84	0.93	0.93	0.93
Mean Dep Var                  	250.23	250.23	250.23	250.23
