                              	ols_1_gov_broad_fmap_pc	ols_2_gov_broad_fmap_pc	ols_3_gov_broad_fmap_pc	iv_1_gov_broad_fmap_pc	iv_2_gov_broad_fmap_pc	iv_3_gov_broad_fmap_pc
                              	b/se	b/se	b/se	b/se	b/se	b/se
ARRA FMAP Payouts per capita ($100k)	0.43	0.34	0.30	0.99*	1.19***	1.17***
                              	0.53	0.44	0.40	0.54	0.37	0.36
Constant                      	-0.00	0.00	0.00	-0.00	0.00**	0.00*
                              	0.00	0.00	0.00	0.00	0.00	0.00
Region 1                      		-0.00**	-0.00**		-0.00***	-0.00***
                              		0.00	0.00		0.00	0.00
Region 2                      		0.00	0.00		-0.00	-0.00
                              		.	.		0.00	0.00
Region 3                      		-0.00	-0.00		-0.00	-0.00
                              		0.00	0.00		0.00	0.00
Region 4                      		-0.00	-0.00		-0.00	-0.00
                              		0.00	0.00		0.00	0.00
Region 5                      		-0.00	-0.00		-0.00**	-0.00**
                              		0.00	0.00		0.00	0.00
Region 6                      		-0.00	-0.00		-0.00**	-0.00*
                              		0.00	0.00		0.00	0.00
Region 7                      		0.00	0.00			
                              		0.00	0.00			
Region 8                      		-0.00*	-0.00*		-0.00***	-0.00***
                              		0.00	0.00		0.00	0.00
Region 9                      		-0.00**	-0.00***		-0.00*	-0.00*
                              		0.00	0.00		0.00	0.00
share kerry / 10000           		-0.76*	-0.64		-1.10***	-1.01***
                              		0.39	0.39		0.30	0.32
union share/ 10000            		0.16	0.33		-0.38	-0.26
                              		0.95	0.96		0.76	0.80
GDP per capita divided by 10000		0.07***	0.07***		0.06***	0.06***
                              		0.02	0.02		0.02	0.02
per_empl_manu/10000           		-1.93**	-1.84*		-1.84**	-1.77**
                              		0.89	0.96		0.84	0.88
population estimate 2008 in billions		-0.11***	-0.10**		-0.12***	-0.11***
                              		0.03	0.04		0.03	0.03
sachange_gov_broad_lag_pc     			0.18			0.14
                              			0.18			0.17
Observations                  	51.00	51.00	51.00	51.00	51.00	51.00
R-squared                     	0.04	0.69	0.69	.	0.64	0.65
Mean Dep Var                  	0.97	0.97	0.97	0.97	0.97	0.97
