                              	ols_1_totalemp_fmap_pc	ols_2_totalemp_fmap_pc	ols_3_totalemp_fmap_pc	iv_1_totalemp_fmap_pc	iv_2_totalemp_fmap_pc	iv_3_totalemp_fmap_pc
                              	b/se	b/se	b/se	b/se	b/se	b/se
ARRA FMAP Payouts per capita ($100k)	2.94**	1.88	0.82	4.72***	4.61***	2.83***
                              	1.35	1.83	1.06	1.31	1.57	1.01
Constant                      	-0.03***	0.00	-0.01	-0.03***	-0.01	-0.01**
                              	0.00	0.01	0.01	0.00	0.01	0.00
Region 1                      		-0.01***	-0.01***		-0.00	-0.00
                              		0.00	0.00		0.00	0.00
Region 2                      		0.00	0.00		0.01*	0.01**
                              		.	.		0.00	0.00
Region 3                      		-0.01**	-0.01***		0.00	0.00
                              		0.00	0.00		0.01	0.00
Region 4                      		-0.00	-0.00*		0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 5                      		-0.01**	-0.01**		-0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 6                      		-0.01	-0.00		0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 7                      		-0.01	-0.01			
                              		0.01	0.00			
Region 8                      		-0.02***	-0.01***		-0.01***	-0.01
                              		0.01	0.00		0.00	0.00
Region 9                      		-0.01**	-0.00**		0.00	0.00
                              		0.00	0.00		0.01	0.00
share kerry / 10000           		0.28	2.10		-0.79	1.14
                              		2.02	1.57		1.59	1.14
union share/ 10000            		-4.26	-2.93		-6.00**	-4.29**
                              		3.60	2.17		2.91	2.01
GDP per capita divided by 10000		0.01	-0.03		-0.01	-0.04
                              		0.07	0.06		0.06	0.05
per_empl_manu/10000           		-10.05***	-6.61***		-9.75***	-6.83***
                              		3.05	2.39		2.82	2.12
population estimate 2008 in billions		-0.43***	-0.33***		-0.46***	-0.36***
                              		0.12	0.08		0.10	0.08
sachange_totalemp_lag_pc      			0.42*			0.37**
                              			0.21			0.17
Observations                  	51.00	51.00	51.00	51.00	51.00	51.00
R-squared                     	0.14	0.63	0.71	0.09	0.60	0.69
Mean Dep Var                  	-18.76	-18.76	-18.76	-18.76	-18.76	-18.76
