                              	CESfmap_pc_2009m12_1	CESfmap_pc_2009m12_2	CESfmap_pc_2009m12_3
                              	b/se	b/se	b/se
ARRA FMAP Payouts per capita ($100k)	2.92**	2.74**	2.81**
                              	1.44	1.34	1.27
Region 1                      	0.00	0.00	0.00
                              	0.01	0.01	0.01
Region 2                      	0.01**	0.01*	0.01**
                              	0.00	0.01	0.01
Region 3                      	0.01	0.01	0.01
                              	0.01	0.01	0.01
Region 4                      	0.00	0.00	0.01
                              	0.00	0.00	0.00
Region 5                      	0.00	0.00	0.00
                              	0.00	0.00	0.01
Region 6                      	0.01	0.01	0.01
                              	0.00	0.00	0.00
Region 8                      	-0.01	-0.01	-0.01
                              	0.01	0.01	0.01
Region 9                      	0.01	0.01	0.01
                              	0.01	0.01	0.01
share kerry / 10000           	1.08	1.09	0.75
                              	1.70	1.67	1.66
union share/ 10000            	-4.55*	-5.01	-5.34*
                              	2.73	3.17	2.89
GDP per capita divided by 10000	-0.02	0.03	0.00
                              	0.07	0.17	0.18
per_empl_manu/10000           	-6.94**	-6.85**	-6.48**
                              	3.20	3.28	3.25
population estimate 2008 in billions	-0.39***	-0.41**	-0.42**
                              	0.12	0.17	0.18
sachange_totalemp_lag_pc      	0.44*	0.44**	0.42**
                              	0.22	0.21	0.19
qcew_impute_2008_2009_pc      		0.15	0.12
                              		0.54	0.56
Constant                      	-0.02**	-0.01	-0.01
                              	0.01	0.01	0.01
Observations                  	51.00	51.00	51.00
R-squared                     	0.58	0.58	0.56
Mean Dep Var                  	-21.81	-21.81	-22.17
