                              	rainy_1	rainy_2	rainy_3	rainy_4	rainy_5	rainy_6
                              	b/se	b/se	b/se	b/se	b/se	b/se
ARRA FMAP Payouts per capita ($100k)	-0.26	0.01	-0.13	-0.04	0.08	0.05
                              	0.18	0.23	0.21	0.09	0.18	0.17
Constant                      	0.00	0.00*	0.00	-0.00	0.00	0.00
                              	0.00	0.00	0.00	0.00	0.00	0.00
Region 1                      		0.00	0.00		-0.00	-0.00
                              		0.00	0.00		0.00	0.00
Region 3                      		0.00	0.00		0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 4                      		0.00	0.00		0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 5                      		-0.00	-0.00		0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 6                      		0.00	0.00		0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 7                      		0.00	0.00		-0.00	-0.00
                              		0.00	0.00		0.00	0.00
Region 8                      		-0.00	-0.00		0.00	0.00
                              		0.00	0.00		0.00	0.00
Region 9                      		-0.00	-0.00		0.00	0.00
                              		0.00	0.00		0.00	0.00
share kerry / 10000           		-0.86***	-0.70***		0.15	0.18
                              		0.26	0.23		0.22	0.24
union share/ 10000            		0.25	0.38		-0.05	-0.02
                              		0.47	0.48		0.44	0.42
GDP per capita divided by 10000		0.02*	0.02		-0.03	-0.03
                              		0.01	0.01		0.02	0.02
per_empl_manu/10000           		-0.91*	-0.67		-0.13	-0.08
                              		0.51	0.43		0.30	0.28
population estimate 2008 in billions		0.01	0.02		0.01	0.02
                              		0.02	0.02		0.02	0.02
sachange_totalemp_lag_pc      			0.03*			0.01
                              			0.02			0.01
Observations                  	49.00	49.00	49.00	49.00	49.00	49.00
R-squared                     	0.09	0.41	0.44	0.01	0.18	0.18
Mean Dep Var                  	-29.22	-29.22	-29.22	-17.84	-17.84	-17.84
