"","m2","","",""
"","b","se","t","p"
"local_city","-.5065488",".1033303","-4.902229","1.62e-06"
"local_city_post2013",".1988575",".2216198",".8972911",".3703484"
"male",".3335244",".1305817","2.554144",".0111844"
"age",".0172709",".0161242","1.071122",".2850535"
"tenure","-.0909496",".0385037","-2.362097",".0188688"
"tenure2",".0114817",".0031898","3.599565",".000378"
"edulevel",".2415163",".0693001","3.48508",".0005724"
"edufin","-.4287097",".0964483","-4.444969",".0000128"
"fromaud",".0193466",".1208267",".1601187",".8729051"
"fromfin","-.5174416",".1783451","-2.90135",".004016"
"fromsup","-.1718586",".1618573","-1.061791",".289262"
"fromcitygov",".1989128",".1221103","1.62896",".1044664"
"lngdppc",".3700513",".2893396","1.278952",".2019923"
"sec","-.7228508",".8124083","-.889763",".3743708"
"lnpop",".2136511",".6198044",".3447072",".7305779"
"lngovrev","-.1163084",".201548","-.5770756",".5643605"
"govbalance",".0737429",".0476363","1.548042",".1227621"
"finv","-2.148905","2.66976","-.8049057",".4215694"
"edu",".1429723",".1480765",".9655302",".3351276"
"post2013","0",".",".","."
"post2013_male","-1.368086",".3206844","-4.266146",".0000274"
"post2013_age","-.0153115",".0282831","-.5413666",".5886932"
"post2013_tenure",".1216216",".0693426","1.753922",".0805577"
"post2013_tenure2","-.013002",".0058746","-2.213262",".0277006"
"post2013_edulevel","-.3466992",".1135825","-3.0524",".0024924"
"post2013_edufin",".2365867",".1530379","1.545935",".1232702"
"post2013_fromaud","-.099409",".2101133","-.4731211",".6365021"
"post2013_fromfin",".6730812",".2495394","2.697294",".0074223"
"post2013_fromsup","-.2337314",".2567238","-.9104393",".3633882"
"post2013_fromcitygov",".0207607",".220916",".0939754",".9251971"
"post2013_lngdppc","-.74797",".2390162","-3.129369",".0019403"
"post2013_sec","1.035337",".5970564","1.734069",".0840265"
"post2013_lnpop","-.5082842",".2027554","-2.506884",".0127572"
"post2013_lngovrev",".5922631",".217692","2.720647",".0069308"
"post2013_govbalance","-.0870728",".0593486","-1.467142",".14348"
"post2013_finv","6.123635","3.408994","1.796317",".0735415"
"post2013_edu","-.5373556",".1322736","-4.062457",".0000634"
"_cons","9.230473","5.394286","1.711158",".0881796"
"N","2939","","",""
"r2",".8404525","","",""
"df_m","36","","",""
"df_r","275","","",""
"df_b","","","",""
"df","","","",""
