"","est1","","est2","","est3","","est4","","est5","","est6","","est7",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"dividend_ratio","-0.96","0.20","-0.99","0.17","-0.84","0.22","-0.95","0.43","-0.91","0.41","-0.55","0.35","-2.38","0.86"
"div_ret","2.12","0.23","2.11","0.20","1.60","0.40","2.20","0.80","1.90","0.81","1.65","0.66","5.74","1.80"
"ipc_d","","","0.03","0.01","0.03","0.01","0.08","0.02","0.07","0.02","0.06","0.01","0.00","0.04"
"pop_d","","","0.01","0.05","-0.00","0.05","0.01","0.05","-0.00","0.05","0.03","0.04","-0.04","0.15"
"wage_d","","","-0.01","0.01","-0.02","0.01","-0.04","0.03","-0.02","0.02","-0.02","0.02","0.05","0.03"
"unemp_d","","","-0.09","0.04","-0.16","0.06","-0.14","0.11","-0.12","0.11","0.07","0.10","-0.50","0.24"
"white_ratio_d","","","-0.28","0.27","-0.27","0.22","-0.31","0.20","-0.27","0.18","-0.16","0.18","-0.20","0.84"
"hispanic_ratio_d","","","-0.21","0.19","-0.38","0.22","-0.72","0.25","-0.65","0.25","-0.34","0.22","-0.39","0.88"
"black_ratio_d","","","-0.33","0.26","-0.36","0.25","-0.21","0.18","-0.19","0.14","-0.13","0.17","0.08","0.95"
"under20_ratio_d","","","0.30","0.31","0.38","0.18","0.26","0.21","0.19","0.19","-0.02","0.19","1.97","0.65"
"above65_ratio_d","","","0.07","0.17","0.14","0.11","-0.31","0.23","-0.33","0.23","-0.20","0.15","1.70","0.76"
"white_ratio_d_demIncum","","","-0.54","0.27","-0.19","0.29","-0.69","0.31","-0.47","0.23","-0.73","0.32","0.18","1.07"
"hispanic_ratio_d_demIncum","","","-0.35","0.19","-0.16","0.26","-0.68","0.34","-0.47","0.28","-0.58","0.35","0.52","0.95"
"black_ratio_d_demIncum","","","-0.05","0.27","0.20","0.29","-0.21","0.24","-0.07","0.20","-0.12","0.28","2.04","1.06"
"under20_ratio_d_demIncum","","","-0.26","0.31","-0.29","0.20","-0.42","0.26","-0.26","0.22","-0.50","0.16","-0.17","0.68"
"above65_ratio_d_demIncum","","","0.33","0.17","0.26","0.17","-0.02","0.29","0.03","0.28","0.14","0.21","1.21","0.67"
"ipc_d_demIncum","","","-0.00","0.01","0.00","0.01","-0.03","0.02","-0.05","0.02","-0.01","0.01","0.03","0.04"
"pop_d_demIncum","","","0.09","0.05","0.07","0.05","0.10","0.06","0.08","0.05","0.12","0.05","0.14","0.15"
"wage_d_demIncum","","","-0.02","0.01","-0.02","0.01","-0.04","0.02","-0.03","0.02","-0.03","0.01","0.00","0.03"
"unemp_d_demIncum","","","0.03","0.05","0.08","0.05","0.11","0.12","0.05","0.13","0.30","0.15","0.22","0.22"
"white_ratio_l4","","","","","0.02","0.01","0.01","0.03","0.02","0.03","-0.03","0.02","0.07","0.05"
"hispanic_ratio_l4","","","","","0.04","0.04","0.03","0.02","0.03","0.02","-0.03","0.03","0.08","0.08"
"black_ratio_l4","","","","","0.05","0.02","0.02","0.03","0.02","0.04","-0.06","0.02","0.15","0.06"
"under20_ratio_l4","","","","","-0.06","0.08","-0.01","0.15","-0.01","0.14","0.03","0.11","0.15","0.17"
"above65_ratio_l4","","","","","0.05","0.04","0.20","0.09","0.19","0.08","0.14","0.06","0.47","0.29"
"ipc_l4_ln","","","","","-0.03","0.01","-0.00","0.01","0.00","0.01","-0.01","0.00","-0.12","0.02"
"pop_l4_ln","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.01","0.01"
"unemp_rate_l4","","","","","-0.10","0.08","-0.07","0.09","-0.09","0.07","0.10","0.14","-0.65","0.38"
"wage_l4_ln","","","","","0.01","0.00","0.01","0.01","0.00","0.01","0.01","0.01","0.09","0.02"
"white_ratio_l4_ret","","","","","-0.10","0.04","-0.04","0.06","-0.06","0.06","-0.01","0.05","-0.10","0.12"
"hispanic_ratio_l4_ret","","","","","-0.05","0.10","0.03","0.05","0.01","0.05","0.12","0.07","0.08","0.14"
"black_ratio_l4_ret","","","","","-0.04","0.05","0.01","0.06","0.00","0.06","0.14","0.04","-0.04","0.12"
"under20_ratio_l4_ret","","","","","0.28","0.25","0.13","0.28","0.12","0.27","0.06","0.21","0.97","0.31"
"above65_ratio_l4_ret","","","","","0.07","0.10","-0.19","0.15","-0.17","0.16","-0.15","0.11","-0.57","0.64"
"ipc_l4_ln_ret","","","","","0.08","0.02","-0.01","0.03","-0.01","0.03","-0.00","0.02","0.23","0.06"
"pop_l4_ln_ret","","","","","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02"
"unemp_rate_l4_ret","","","","","0.05","0.12","0.06","0.14","0.10","0.12","-0.15","0.27","-0.12","0.53"
"wage_l4_ln_ret","","","","","-0.01","0.01","0.03","0.02","0.03","0.02","0.01","0.02","-0.05","0.08"
"_cons","-0.03","0.00","-0.03","0.01","-0.09","0.08","-0.16","0.11","-0.18","0.12","-0.05","0.07","-0.33","0.34"
"N","24871","","24871","","24871","","24871","","24866","","24863","","24871",""
