"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"_Iyear_1961",".0020662",".0235188",".0878512",".9300008","","","","","","","",""
"_Iyear_1962",".0032821",".0194848",".1684423",".8662466","","","","","","","",""
"_Iyear_1963",".0058766",".0180193",".3261283",".7443498","","","","","","","",""
"_Iyear_1964","-.0095482",".0154756","-.6169882",".5372889","","","","","","","",""
"_Iyear_1965","-.0068321",".0159849","-.4274113",".6691102","","","","","","","",""
"_Iyear_1966",".0137185",".0220169",".6230925",".5332707","","","","","","","",""
"_Iyear_1967","-.0003055",".0179208","-.0170496",".9863981","","","","","","","",""
"_Iyear_1968","-.0156551",".0143824","-1.088492",".2764645","","","","","","","",""
"_Iyear_1969",".0178573",".0237369",".7523005",".4519289","","","","","","","",""
"_Iyear_1970","-.0045065",".0171887","-.2621771",".7932027","","","","","","","",""
"_Iyear_1971","-.0175373",".0130696","-1.341842",".1797479","","","","","","","",""
"_Iyear_1972","-.0193825",".0172018","-1.126774",".2599275","","","","","","","",""
"_Iyear_1973","-.0112082",".0198265","-.5653165",".5719004","","","","","","","",""
"_Iyear_1974","-.0050527",".0191547","-.2637827",".7919653","","","","","","","",""
"_Iyear_1975","-.0116589",".008568","-1.360748",".1736948","","","","","","","",""
"_Iyear_1976","-.0198448",".0155114","-1.279369",".2008651","","","","","","","",""
"_Iyear_1977","-.0080442",".0091153","-.8824946",".3775795","","","","","","","",""
"_Iyear_1978","-.0231409",".013641","-1.696417",".0899098","","","","","","","",""
"_Iyear_1979",".0053159",".0191248",".2779568",".7810645","","","","","","","",""
"_Iyear_1980","-.01633",".0153314","-1.06513",".286902","","","","","","","",""
"_Iyear_1981","-.0095191",".0160964","-.5913804",".5543098","","","","","","","",""
"_Iyear_1982","-.0231409",".013641","-1.696417",".0899098","","","","","","","",""
"_Iyear_1983","-.0137971",".0160108","-.8617389",".3888995","","","","","","","",""
"_Iyear_1984","-.0045097",".0191566","-.2354144",".8139031","","","","","","","",""
"_Iyear_1985","-.0231409",".013641","-1.696417",".0899098","","","","","","","",""
"_Iyear_1986","-.0168673",".0150905","-1.117743",".2637654","","","","","","","",""
"_Iyear_1987","-.0188262",".0143522","-1.311723",".189713","","","","","","","",""
"_Iyear_1988","-.012212",".0176216","-.6930126",".4883549","","","","","","","",""
"_U_urXyea_1_1961","-.0313951",".0486569","-.645234",".5188245","-.3630056",".2321005","-1.564002",".1179218","-.3605918",".2271932","-1.587159",".1125811"
"_U_urXyea_1_1962","-.0084319",".0494811","-.1704075",".8647011","-.0418137",".0759538","-.5505142",".5820074",".0170992",".0808454",".2115046",".8325078"
"_U_urXyea_1_1963",".0113926",".0546394",".2085048",".8348488",".1945314",".1929008","1.008453",".3133175",".2326489",".2378969",".9779397",".3281823"
"_U_urXyea_1_1964",".0894704",".0632101","1.415445",".157041","-.1010398",".0905309","-1.11608",".2644764","-.0828987",".1082923","-.7655088",".4440283"
"_U_urXyea_1_1965",".0690435",".0685751","1.00683",".314097","-.1564264",".1037749","-1.507363",".1318221","-.1454733",".0949536","-1.532046",".1256157"
"_U_urXyea_1_1966",".0890342",".072747","1.223888",".2210897",".0262864",".1327015",".1980869",".8429904",".0601339",".1881658",".3195793",".7493094"
"_U_urXyea_1_1967",".0666547",".0725817",".9183395",".3585143",".0021418",".2150653",".0099587",".9920549",".0460296",".2801017",".1643318",".8694809"
"_U_urXyea_1_1968",".0948404",".0845462","1.121758",".2620543","-.4618078",".2476552","-1.86472",".0623173","-.4186809",".203003","-2.062436",".0392514"
"_U_urXyea_1_1969",".0196921",".0667873",".2948475",".7681306","-.4056754",".3033017","-1.337531",".1811498","-.3618172",".2384379","-1.517448",".129258"
"_U_urXyea_1_1970","-.0006993",".0872442","-.0080155",".9936051",".0346754",".1099449",".315389",".7524881",".0787755",".1451418",".5427486",".5873429"
"_U_urXyea_1_1971",".0180512",".0933757",".1933181",".8467228","-.6106775",".3671608","-1.663243",".0963674","-.5582524",".2978451","-1.874305",".0609847"
"_U_urXyea_1_1972","-.0405289",".1159349","-.3495832",".7266758","-.3014354",".3021023","-.9977923",".3184599","-.2444187",".2203328","-1.109316",".2673821"
"_U_urXyea_1_1973","-.1107563",".090921","-1.218159",".2232584","-.4568158",".2652993","-1.721888",".0851919","-.4074643",".198134","-2.056508",".0398191"
"_U_urXyea_1_1974","-.0840675",".0837406","-1.003904",".3155052","-.2239222",".1639422","-1.365861",".1720841","-.1637997",".1140568","-1.436124",".1510704"
"_U_urXyea_1_1975","-.1082447",".0837044","-1.293177",".1960485","-.3826533",".1702899","-2.24707",".0247073","-.3161135",".133646","-2.365304",".018078"
"_U_urXyea_1_1976","-.0954049",".0777674","-1.226798",".2199939","-.24398",".1594956","-1.529698",".1261961","-.1996758",".092822","-2.15117",".0315417"
"_U_urXyea_1_1977","-.0969908",".0671458","-1.44448",".1487076","-.3359106",".2108525","-1.593107",".1112406","-.2792683",".1188289","-2.350171",".0188287"
"_U_urXyea_1_1978","-.0606917",".0579541","-1.047238",".2950737","-.4396981",".2361411","-1.862014",".0626979","-.3719392",".1342137","-2.771247",".0056183"
"_U_urXyea_1_1979","-.0964812",".0565697","-1.705527",".0881988","-.3892883",".2424936","-1.605355",".10852","-.313917",".1533854","-2.04659",".0407846"
"_U_urXyea_1_1980","-.0748113",".0531055","-1.40873",".1590179","-.1315672",".1104905","-1.190756",".2338427","-.0587386",".1166431","-.5035751",".6145967"
"_U_urXyea_1_1981","-.0288617",".0343836","-.8394007",".4013108","-.2074056",".1436671","-1.443654",".1489398","-.1373356",".0810881","-1.693658",".0904331"
"_U_urXyea_1_1982","-.025759",".0500949","-.5142034",".6071473","-.1669789",".1587722","-1.051688",".2930265","-.0941904",".0963116","-.9779749",".3281649"
"_U_urXyea_1_1983","-.0604923",".0479204","-1.26235",".2069201","-.2872951",".1868282","-1.537751",".1242141","-.2117882",".102393","-2.068386",".0386885"
"_U_urXyea_1_1984","-.0149183",".0372706","-.4002708",".6889853","-.269032",".2094799","-1.284285",".1991404","-.1908066",".0920511","-2.072833",".0382723"
"_U_urXyea_1_1985","-.0511486",".0471814","-1.084082",".2784146","-.3205627",".2305338","-1.390524",".1644722","-.2396188",".1075921","-2.227104",".0260136"
"_U_urXyea_1_1986","-.0142108",".0343645","-.4135311",".6792468","-.2658943",".2088164","-1.27334",".2029951","-.182232",".0832367","-2.189324",".0286494"
"_U_urXyea_1_1987","-.0554633",".047392","-1.170308",".241969","-.2687134",".1483581","-1.811249",".0702014","-.1823326",".1111961","-1.639739",".1011634"
"_U_urXyea_1_1988","-.0565651",".0487902","-1.159353",".246404","-.224049",".2056696","-1.089364",".2760802","-.1349498",".0874375","-1.543386",".1228418"
"_U_urXyea_2_1961",".0145311",".0322145",".4510738",".6519687","-.3472937",".2535999","-1.369455",".1709587","-.3470104",".2487969","-1.394754",".1631924"
"_U_urXyea_2_1962",".0218762",".0294165",".7436693",".4571343",".0110769",".0709188",".1561918",".8758923",".0608475",".0720448",".8445785",".398413"
"_U_urXyea_2_1963",".0632253",".0357626","1.767914",".077176",".218944",".2128341","1.028707",".3036994",".2525467",".2602236",".9704989",".3318754"
"_U_urXyea_2_1964",".127692",".0555973","2.296733",".021702","-.1534822",".0997748","-1.538287",".1240831","-.0961019",".1126275","-.8532726",".3935757"
"_U_urXyea_2_1965",".1801978",".0756304","2.382613",".0172517","-.0114138",".106267","-.1074071",".9144731",".0614624",".0878948",".699272",".4844358"
"_U_urXyea_2_1966",".1772382",".0842935","2.102631",".0355804",".0547118",".1387624",".3942838",".6933993",".1526312",".1960586",".7784979",".4363364"
"_U_urXyea_2_1967",".1862551",".079829","2.333178",".019704",".0307244",".2349787",".1307538",".8959787",".1284982",".3004388",".4277018",".6688987"
"_U_urXyea_2_1968",".1541114",".0687774","2.240727",".025116","-.4859384",".278489","-1.74491",".081102","-.3785894",".2280591","-1.66005",".097008"
"_U_urXyea_2_1969",".0527369",".0847344",".6223794",".5337393","-.4726738",".3448535","-1.370651",".1705854","-.3579144",".2779182","-1.287841",".1978998"
"_U_urXyea_2_1970",".0247772",".1000437",".2476634",".8044117",".0405833",".1189015",".3413189",".7328872",".1588441",".1495085","1.062442",".28812"
"_U_urXyea_2_1971",".0280604",".1153127",".2433415",".8077573","-.640465",".4110726","-1.558034",".1193298","-.5128513",".3372221","-1.520812",".1284116"
"_U_urXyea_2_1972","-.0650808",".1389873","-.4682504",".6396393","-.368501",".3427196","-1.075226",".2823594","-.2370438",".2631634","-.9007477",".3677942"
"_U_urXyea_2_1973","-.1208169",".1519758","-.7949742",".4266908","-.6080901",".3123212","-1.947002",".0516268","-.4821808",".2490997","-1.935694",".0529983"
"_U_urXyea_2_1974","-.1194726",".1453156","-.8221597",".4110508","-.3350449",".2094836","-1.599385",".1098395","-.1934452",".1656127","-1.168058",".2428755"
"_U_urXyea_2_1975","-.1408829",".0981888","-1.434816",".1514427","-.3609447",".1944983","-1.855773",".0635831","-.2168684",".1557706","-1.392229",".1639553"
"_U_urXyea_2_1976","-.1278306",".0882933","-1.447795",".1477779","-.2687739",".1783533","-1.506974",".1319216","-.1449426",".1118665","-1.295675",".1951864"
"_U_urXyea_2_1977","-.1095374",".080912","-1.353785",".1759061","-.2851437",".2327974","-1.224857",".2207243","-.1487377",".1369721","-1.085898",".2776107"
"_U_urXyea_2_1978","-.0508741",".0573689","-.8867876",".3752638","-.3998759",".2651763","-1.507962",".1316685","-.2694216",".1631744","-1.651127",".0988165"
"_U_urXyea_2_1979","-.0196015",".0519324","-.3774427",".7058711","-.3267074",".2774693","-1.177454",".2391067","-.1974901",".1907798","-1.035173",".3006709"
"_U_urXyea_2_1980",".0192895",".0490643",".3931473",".6942384",".0245699",".1310041",".1875505",".8512416",".1522737",".1304198","1.167566",".2430738"
"_U_urXyea_2_1981","-.0022292",".0470606","-.0473697",".9622217","-.1626087",".1681985","-.9667668",".3337379","-.0294238",".1029371","-.2858426",".7750182"
"_U_urXyea_2_1982",".0183108",".0464881",".3938814",".6936964","-.0604009",".1750631","-.3450237",".7301005",".077462",".1072607",".7221844",".4702369"
"_U_urXyea_2_1983",".0063458",".0522227",".1215141",".9032919","-.2097197",".210779","-.9949743",".3198283","-.0671787",".1262329","-.5321806",".59464"
"_U_urXyea_2_1984","-.0269241",".0469651","-.5732784",".5664988","-.2106908",".2324761","-.9062902",".3648544","-.0634718",".1043675","-.6081569",".5431291"
"_U_urXyea_2_1985",".0077062",".0470549",".163771",".8699224","-.2551539",".2582702","-.987934",".323264","-.1032568",".1352136","-.7636568",".4451313"
"_U_urXyea_2_1986",".025526",".0523899",".4872312",".6261298","-.2106635",".2369383","-.8891069",".3740163","-.0540884",".1119567","-.4831189",".6290463"
