	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	deaths_nw_police	deaths_nw_police	deaths_nw_police	deaths_w_police	deaths_w_police	deaths_w_police	deaths_w_police	deaths_w_police	deaths_w_police
									
_Ojoint_2	-0.0291	0.178	0.260	-0.260	-0.186	-0.0914	-0.260	-0.186	-0.0914
	[0.337]	[0.161]	[0.171]	[0.430]	[0.210]	[0.200]	[0.430]	[0.210]	[0.200]
_Ojoint_4	0.990	0.404*	0.399*	0.746**	0.673***	0.670***	0.746**	0.673***	0.670***
	[0.632]	[0.223]	[0.222]	[0.343]	[0.228]	[0.222]	[0.343]	[0.228]	[0.222]
_Ojoint_5	1.941*	1.018**	1.048***	0.528	0.643	0.680*	0.528	0.643	0.680*
	[1.017]	[0.396]	[0.391]	[0.556]	[0.400]	[0.393]	[0.556]	[0.400]	[0.393]
_Ojoint_6	1.889***	1.162***	1.286***	0.290	0.589**	0.728***	0.290	0.589**	0.728***
	[0.671]	[0.297]	[0.289]	[0.450]	[0.251]	[0.258]	[0.450]	[0.251]	[0.258]
									
Observations	87,783	87,783	87,783	88,856	88,856	88,856	88,856	88,856	88,856
R-squared	0.170	0.687	0.710	0.103	0.401	0.465	0.103	0.401	0.465
Number of fips	3,027	3,027	3,027	3,064	3,064	3,064	3,064	3,064	3,064
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
