"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"radio1",".0254443",".0079211","3.212216",".0024961",".0255369",".0082676","3.088799",".0035151"
"log_distance_full","-.0150651",".0076662","-1.965139",".0558793","-.0155805",".0100693","-1.547329",".129113"
"logpop","-.0035036",".003239","-1.081716",".285408","-.0019704",".0056268","-.3501841",".7279101"
"male_share","-.2233022",".3202766","-.6972168",".4894198","-.213922",".3458273","-.6185804",".539456"
"z2",".596761",".3298285","1.809307",".0773975",".5705318",".3360233","1.697893",".0967547"
"z3","-.0848213",".234746","-.3613322",".7196205","-.0931815",".2355312","-.3956227",".6943395"
"z6",".1464614",".1691475",".8658794",".3913619",".1488412",".1705391",".872769",".3876368"
"Croats",".1116104",".0398138","2.80331",".0075585",".104761",".0468198","2.237536",".0304859"
"higher_educ","-.5105042",".332914","-1.533442",".1324925","-.5105385",".3634207","-1.404814",".1672598"
"ec_active",".7167892",".3134047","2.287104",".0271723",".739179",".3211856","2.301408",".0262779"
"disable_share2","1.970614",".6818075","2.890279",".0060105","2.006669",".6873578","2.919395",".0055621"
"r1",".088779",".0138841","6.394286","9.76e-08",".0881394",".0159871","5.513163","1.86e-06"
"r2","0",".",".",".","0",".",".","."
"r3","0",".",".",".","0",".",".","."
"r4","0",".",".",".","0",".",".","."
"r5","0",".",".",".","0",".",".","."
"war","","","","","-.0045671",".0164927","-.2769142",".7831728"
"monument","","","","",".0001941",".010768",".0180254",".985702"
"name_of_the_streets_cyrillic","","","","","-.0047396",".0217894","-.2175208",".8288314"
"name_of_the_streets_in_hungarian","","","","",".0039606",".0137075",".288937",".774018"
"pivo_Serb","","","","","-.016751",".0169291","-.9894789",".3279643"
"bliz_forest","","","","",".0047382",".008449",".5607935",".577849"
"_cons","-.3552915",".2006847","-1.770397",".0837506","-.3656102",".2195531","-1.665247",".103134"
"N","139","","","","139","","",""
"r2",".5967789","","","",".6004689","","",""
"df_m","12","","","","18","","",""
"df_r","43","","","","43","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
