"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"radio1","1.008514",".3632316","2.776504",".0054947","1.010836",".4347704","2.324988",".0200726","1.034471",".4059635","2.548186",".0108285"
"log_distance_full","-.1370508",".1808494","-.7578174",".4485603","-.1396602",".1737075","-.8039965",".421399","-.0403936",".1921081","-.2102651",".8334607"
"r1","-.9304035",".3156514","-2.947566",".0032029","-.8596094",".3988191","-2.155386",".0311316","-.8823962",".4318538","-2.043275",".0410252"
"logpop","","","","",".4355316",".1303802","3.340474",".0008364",".2793029",".1300052","2.148399",".0316821"
"male_share","","","","","2.21349","9.182222",".2410626",".8095066","2.785326","8.313625",".3350315",".7376013"
"z2","","","","","-12.76153","8.014484","-1.592309",".1113154","-11.81701","6.926729","-1.706001",".0880079"
"z3","","","","","-2.056694","4.963253","-.4143843",".6785927",".5174102","4.388583",".1178992",".9061476"
"z6","","","","","-2.737619","3.934675","-.6957676",".4865744","-1.516059","3.559761","-.4258878",".6701896"
"Croats","","","","","-.6881254",".7069647","-.9733518",".3303785","-.3203142",".8825611","-.3629371",".7166519"
"higher_educ","","","","","1.328557","7.451404",".1782961",".8584904","-.4574109","7.825645","-.0584502",".95339"
"ec_active","","","","","-2.175322","6.049244","-.3596022",".7191446","-3.398949","6.200567","-.5481675",".5835769"
"disable_share2","","","","","13.0593","13.25859",".9849689",".3246394","7.132053","13.34607",".5343935",".5930693"
"war","","","","","","","","",".0699476",".5818711",".1202115",".9043156"
"monument","","","","","","","","",".6546443",".279736","2.340222",".0192723"
"name_of_the_streets_cyrillic","","","","","","","","",".2756783",".6115352",".4507972",".6521357"
"name_of_the_streets_in_hungarian","","","","","","","","","-.5397944",".3023874","-1.785108",".0742437"
"pivo_Serb","","","","","","","","",".2819915",".5147206",".5478534",".5837925"
"bliz_forest","","","","","","","","",".287707",".3027185",".9504112",".3419033"
"_cons","-.0480567",".4285389","-.1121408",".9107118","1.40741","6.41827",".2192818",".8264306",".8360772","5.447281",".1534852",".8780156"
"N","139","","","","139","","","","139","","",""
"r2","","","","","","","","","","","",""
"df_m","3","","","","12","","","","18","","",""
"df_r","","","","","","","","","","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
