"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"rural_distant","-5136.071","3105.013","-1.654122",".0984577","-2252.564","1243.311","-1.811746",".0703647","-2883.507","2441.541","-1.18102",".2379126","-2944.529","2401.245","-1.226251",".2204309","23.54783","183.0574",".1286363",".8976747","-35.66006","53.33923","-.6685522",".5039557","88.21914","79.47196","1.110066",".2672724","-4.389695","47.31041","-.092785",".9260954"
"rural_fringe","-7642.913","2965.732","-2.577075",".0101251","-4079.246","995.0821","-4.099406",".0000452","-3563.667","2389.654","-1.49129",".1362422","-3506.791","2352.218","-1.490844",".1363591","67.30742","188.2388",".357564",".720755","-48.89616","60.20402","-.8121743",".4169103","3.89502","55.89307",".069687",".9444585","-77.13601","39.48637","-1.953485",".0510773"
"town_locale","-7075.323","2931.976","-2.413158",".0160175","-4456.375","933.0304","-4.776238","2.09e-06","-2618.948","2401.814","-1.090404",".2758323","-2709.648","2361.726","-1.147317",".251561","140.7782","179.8262",".7828569",".4339208","-42.0759","51.08756","-.8236036",".410387","44.92011","50.0165",".8981058",".3693737","-47.38772","39.52998","-1.198779",".2309351"
"suburb_locale","-7154.241","2913.878","-2.45523",".0142711","-4676.359","927.0101","-5.044561","5.52e-07","-2477.882","2382.094","-1.040212",".298526","-3020.893","2348.506","-1.286304",".1986737","456.4448","170.1878","2.682008",".0074547","-55.48091","49.99018","-1.109836",".2673714","199.5809","50.79278","3.929316",".0000918","-43.638","39.83269","-1.095532",".2735819"
"urban_locale","-5378.27","3022.148","-1.779619",".0754819","-3825.684","1063.18","-3.598343",".000338","-1552.586","2403.382","-.6460004",".5184468","-2688.815","2350.598","-1.143885",".2529808","920.8518","235.8244","3.90482",".0001015","-84.71069","48.86454","-1.733582",".083341","300.8524","109.4801","2.748009",".0061179","10.27525","54.12092",".1898572",".8494646"
"_cons","22664.81","2905.116","7.801688","1.72e-14","16975.92","918.1702","18.48886","8.89e-65","5688.89","2377.854","2.392447",".0169444","4523.932","2346.769","1.927728",".054209","698.3098","153.2729","4.555991","5.95e-06","184.3415","46.7301","3.944813",".0000862","139.7726","44.19978","3.162292",".0016187","143.461","38.216","3.753951",".0001854"
"N","890","","","","890","","","","890","","","","890","","","","890","","","","890","","","","890","","","","890","","",""
"r2",".0600094","","","",".0456969","","","",".0467279","","","",".0196209","","","",".0566925","","","",".0067785","","","",".0522464","","","",".0340644","","",""
"df_m","5","","","","5","","","","5","","","","5","","","","5","","","","5","","","","5","","","","5","","",""
"df_r","884","","","","884","","","","884","","","","884","","","","884","","","","884","","","","884","","","","884","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
