	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	chginstruction_all_ex1	chgspedinstruction_ex1	chginstrelservs_all_ex1	chgpupservs_all_ex1	chgtransportservs_ex1	chgplantservs_ex1	chggenadmin_all_ex1	chgotherfunctions_ex1
								
rural_distant	7.617	22.95+	46.32+	30.66***	20.55*	-92.23	3.031	133.8
	(4.808)	(12.91)	(26.82)	(8.989)	(8.489)	(106.6)	(6.994)	(187.8)
rural_fringe	9.882**	30.08*	24.45***	24.02***	56.13+	-123.4	-0.218	137.6
	(3.401)	(12.23)	(5.564)	(5.765)	(32.17)	(103.9)	(5.063)	(173.6)
town_locale	9.694***	16.92+	23.28***	20.23***	24.51***	-71.45	3.322	1,732
	(2.417)	(9.411)	(4.842)	(3.991)	(6.990)	(104.8)	(5.194)	(1,776)
suburb_locale	11.26***	18.43*	24.85***	25.39***	150.6*	-108.9	10.40*	-78.12
	(2.252)	(9.246)	(4.145)	(3.837)	(73.51)	(103.6)	(4.947)	(56.88)
urban_locale	8.585**	83.34	22.27***	20.26***	25.62**	-123.7	-1.823	-50.46
	(2.673)	(70.83)	(4.347)	(3.911)	(8.143)	(103.7)	(6.423)	(59.38)
Constant	12.78***	14.72	8.013*	7.457*	4.684	174.7+	24.79***	111.0*
	(2.147)	(9.118)	(3.979)	(3.631)	(6.079)	(103.3)	(4.489)	(56.50)
								
Observations	890	812	890	887	840	890	890	823
R-squared	0.018	0.010	0.007	0.018	0.003	0.014	0.062	0.015
Robust standard errors in parentheses								
*** p<0.001, ** p<0.01, * p<0.05, + p<0.10								
